Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0205,464,171,635,1664,38.16%,12,613,625
"Judge, County Criminal Court No. 15",0206,362,462,824,2779,29.65%,233,547,780
"Judge, County Criminal Court No. 15",0207,265,261,526,1188,44.28%,158,339,497
"Judge, County Criminal Court No. 15",0208,322,262,584,2195,26.61%,167,388,555
"Judge, County Criminal Court No. 15",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Criminal Court No. 15",0210,502,467,969,2533,38.26%,106,826,932
"Judge, County Criminal Court No. 15",0211,307,386,693,2914,23.78%,249,405,654
"Judge, County Criminal Court No. 15",0212,96,155,251,1300,19.31%,54,192,246
"Judge, County Criminal Court No. 15",0213,826,913,1739,3350,51.91%,1400,214,1614
"Judge, County Criminal Court No. 15",0214,404,491,895,1854,48.27%,586,245,831
"Judge, County Criminal Court No. 15",0215,421,711,1132,2258,50.13%,699,341,1040
"Judge, County Criminal Court No. 15",0216,362,223,585,1945,30.08%,38,534,572
"Judge, County Criminal Court No. 15",0217,844,631,1475,2678,55.08%,997,342,1339
"Judge, County Criminal Court No. 15",0218,391,402,793,2292,34.60%,235,504,739
"Judge, County Criminal Court No. 15",0219,496,436,932,2767,33.68%,52,839,891
"Judge, County Criminal Court No. 15",0220,325,187,512,2310,22.16%,373,122,495
"Judge, County Criminal Court No. 15",0221,332,369,701,2529,27.72%,294,375,669
"Judge, County Criminal Court No. 15",0222,623,674,1297,2501,51.86%,648,533,1181
"Judge, County Criminal Court No. 15",0223,563,377,940,3582,26.24%,263,613,876
"Judge, County Criminal Court No. 15",0224,530,456,986,2238,44.06%,474,438,912
"Judge, County Criminal Court No. 15",0225,376,405,781,3305,23.63%,392,355,747
"Judge, County Criminal Court No. 15",0226,227,307,534,2436,21.92%,119,389,508
"Judge, County Criminal Court No. 15",0227,558,423,981,1785,54.96%,743,145,888
"Judge, County Criminal Court No. 15",0228,362,195,557,1050,53.05%,28,508,536
"Judge, County Criminal Court No. 15",0229,31,96,127,815,15.58%,57,66,123
"Judge, County Criminal Court No. 15",0230,185,116,301,1089,27.64%,5,287,292
"Judge, County Criminal Court No. 15",0231,233,264,497,2232,22.27%,120,346,466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0232,361,474,835,1760,47.44%,480,292,772
"Judge, County Criminal Court No. 15",0233,890,801,1691,4445,38.04%,836,706,1542
"Judge, County Criminal Court No. 15",0234,1192,913,2105,3993,52.72%,1625,316,1941
"Judge, County Criminal Court No. 15",0235,240,158,398,1356,29.35%,13,372,385
"Judge, County Criminal Court No. 15",0236,354,235,589,2079,28.33%,14,558,572
"Judge, County Criminal Court No. 15",0237,416,253,669,2161,30.96%,10,640,650
"Judge, County Criminal Court No. 15",0238,339,245,584,1925,30.34%,15,555,570
"Judge, County Criminal Court No. 15",0239,383,236,619,1964,31.52%,23,586,609
"Judge, County Criminal Court No. 15",0240,585,243,828,2649,31.26%,18,789,807
"Judge, County Criminal Court No. 15",0241,222,229,451,2372,19.01%,191,235,426
"Judge, County Criminal Court No. 15",0242,173,162,335,1596,20.99%,196,120,316
"Judge, County Criminal Court No. 15",0243,138,43,181,457,39.61%,3,177,180
"Judge, County Criminal Court No. 15",0244,480,425,905,3117,29.03%,510,346,856
"Judge, County Criminal Court No. 15",0245,946,799,1745,5828,29.94%,1226,478,1704
"Judge, County Criminal Court No. 15",0246,584,513,1197,3315,36.11%,864,293,1157
"Judge, County Criminal Court No. 15",0247,173,254,427,1582,26.99%,14,406,420
"Judge, County Criminal Court No. 15",0248,161,167,328,2100,15.62%,91,222,313
"Judge, County Criminal Court No. 15",0249,461,348,809,2719,29.75%,569,213,782
"Judge, County Criminal Court No. 15",0250,109,164,273,964,28.32%,9,259,268
"Judge, County Criminal Court No. 15",0251,278,436,714,2089,34.18%,29,671,700
"Judge, County Criminal Court No. 15",0252,504,312,816,2377,34.33%,17,780,797
"Judge, County Criminal Court No. 15",0253,379,222,601,2177,27.61%,11,573,584
"Judge, County Criminal Court No. 15",0254,93,112,205,1550,13.23%,65,131,196
"Judge, County Criminal Court No. 15",0255,525,648,1173,2482,47.26%,568,518,1086
"Judge, County Criminal Court No. 15",0256,575,449,1024,3254,31.47%,492,470,962
"Judge, County Criminal Court No. 15",0257,204,245,449,2523,17.80%,134,293,427
"Judge, County Criminal Court No. 15",0258,839,800,1539,3322,49.34%,1214,299,1513
"Judge, County Criminal Court No. 15",0259,555,382,1038,2361,43.96%,32,978,1010
"Judge, County Criminal Court No. 15",0260,162,145,307,1260,24.37%,178,107,285
"Judge, County Criminal Court No. 15",0261,124,120,244,1417,17.22%,100,134,234
"Judge, County Criminal Court No. 15",0262,758,600,1358,4397,30.88%,854,420,1274
"Judge, County Criminal Court No. 15",0263,858,712,1570,3693,42.51%,1217,293,1510
"Judge, County Criminal Court No. 15",0264,480,457,937,2963,31.62%,576,300,876
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0265,988,759,1747,3584,48.74%,1336,279,1615
"Judge, County Criminal Court No. 15",0266,259,257,516,2104,24.52%,257,228,485
"Judge, County Criminal Court No. 15",0267,146,166,312,1327,23.51%,155,133,288
"Judge, County Criminal Court No. 15",0268,435,717,1152,2493,46.21%,678,343,1021
"Judge, County Criminal Court No. 15",0269,702,453,1155,2030,56.90%,937,148,1085
"Judge, County Criminal Court No. 15",0270,817,672,1489,3605,41.30%,832,567,1399
"Judge, County Criminal Court No. 15",0271,656,382,1038,2518,41.22%,33,988,1021
"Judge, County Criminal Court No. 15",0272,264,292,555,2162,25.72%,220,305,525
"Judge, County Criminal Court No. 15",0273,548,689,1237,2470,50.08%,1016,158,1174
"Judge, County Criminal Court No. 15",0274,588,346,934,2153,43.38%,641,222,863
"Judge, County Criminal Court No. 15",0275,207,236,443,1850,23.95%,105,322,427
"Judge, County Criminal Court No. 15",0276,572,231,803,2536,31.66%,11,772,783
"Judge, County Criminal Court No. 15",0277,170,186,356,1492,23.86%,170,170,340
"Judge, County Criminal Court No. 15",0278,421,320,741,2454,30.20%,411,296,707
"Judge, County Criminal Court No. 15",0279,250,223,473,1941,24.37%,280,171,451
"Judge, County Criminal Court No. 15",0280,130,188,318,1524,20.87%,131,169,300
"Judge, County Criminal Court No. 15",0281,655,742,1397,2633,53.06%,713,538,1251
"Judge, County Criminal Court No. 15",0282,314,455,769,2042,37.66%,493,226,719
"Judge, County Criminal Court No. 15",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0284,574,335,910,3172,28.69%,426,439,865
"Judge, County Criminal Court No. 15",0285,448,378,826,2540,32.52%,66,730,796
"Judge, County Criminal Court No. 15",0286,1255,821,2076,6170,33.65%,187,1808,1995
"Judge, County Criminal Court No. 15",0287,370,477,847,1621,52.25%,420,369,789
"Judge, County Criminal Court No. 15",0288,532,313,845,2210,38.24%,18,810,828
"Judge, County Criminal Court No. 15",0289,186,212,398,1564,25.45%,195,183,378
"Judge, County Criminal Court No. 15",0290,245,298,543,1642,33.07%,403,121,524
"Judge, County Criminal Court No. 15",0291,325,235,560,1225,45.71%,287,233,520
"Judge, County Criminal Court No. 15",0292,207,147,354,1356,26.11%,38,304,342
"Judge, County Criminal Court No. 15",0293,356,447,803,1759,45.65%,378,366,744
"Judge, County Criminal Court No. 15",0294,488,221,709,2097,33.81%,8,683,691
"Judge, County Criminal Court No. 15",0295,148,103,251,885,28.36%,9,236,245
"Judge, County Criminal Court No. 15",0296,327,340,667,1713,38.94%,382,230,612
"Judge, County Criminal Court No. 15",0297,280,249,529,2012,26.29%,241,251,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0298,415,358,773,2121,36.45%,457,263,720
"Judge, County Criminal Court No. 15",0299,178,117,295,1353,21.80%,114,157,271
"Judge, County Criminal Court No. 15",0300,1389,1016,2405,5406,44.49%,1922,378,2300
"Judge, County Criminal Court No. 15",0301,210,255,465,2352,19.77%,186,256,442
"Judge, County Criminal Court No. 15",0302,353,343,696,2720,25.59%,407,263,670
"Judge, County Criminal Court No. 15",0303,922,784,1706,3245,52.57%,1387,225,1612
"Judge, County Criminal Court No. 15",0304,606,505,1111,2298,48.35%,649,378,1027
"Judge, County Criminal Court No. 15",0305,524,432,956,4191,22.81%,411,516,927
"Judge, County Criminal Court No. 15",0306,649,342,991,1879,52.74%,729,200,929
