Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0212,96,155,251,1300,19.31%,52,190,242
"District Judge, 180th Judicial District",0213,826,913,1739,3350,51.91%,1396,233,1629
"District Judge, 180th Judicial District",0214,404,491,895,1854,48.27%,594,251,845
"District Judge, 180th Judicial District",0215,421,711,1132,2258,50.13%,700,360,1060
"District Judge, 180th Judicial District",0216,362,223,585,1945,30.08%,45,526,571
"District Judge, 180th Judicial District",0217,844,631,1475,2678,55.08%,992,364,1356
"District Judge, 180th Judicial District",0218,391,402,793,2292,34.60%,269,463,732
"District Judge, 180th Judicial District",0219,496,436,932,2767,33.68%,53,843,896
"District Judge, 180th Judicial District",0220,325,187,512,2310,22.16%,371,125,496
"District Judge, 180th Judicial District",0221,332,369,701,2529,27.72%,306,351,657
"District Judge, 180th Judicial District",0222,623,674,1297,2501,51.86%,649,548,1197
"District Judge, 180th Judicial District",0223,563,377,940,3582,26.24%,276,608,884
"District Judge, 180th Judicial District",0224,530,456,986,2238,44.06%,487,431,918
"District Judge, 180th Judicial District",0225,375,405,781,3305,23.63%,402,352,754
"District Judge, 180th Judicial District",0226,227,307,534,2436,21.92%,141,364,505
"District Judge, 180th Judicial District",0227,558,423,981,1785,54.96%,754,151,905
"District Judge, 180th Judicial District",0228,362,195,557,1050,53.05%,32,500,532
"District Judge, 180th Judicial District",0229,31,96,127,815,15.58%,60,59,119
"District Judge, 180th Judicial District",0230,185,116,301,1089,27.64%,12,284,296
"District Judge, 180th Judicial District",0231,233,264,497,2232,22.27%,134,335,469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0232,351,474,835,1760,47.44%,497,285,782
"District Judge, 180th Judicial District",0233,890,801,1691,4445,38.04%,849,718,1567
"District Judge, 180th Judicial District",0234,1192,913,2105,3993,52.72%,1630,333,1963
"District Judge, 180th Judicial District",0235,240,158,398,1356,29.35%,11,377,388
"District Judge, 180th Judicial District",0236,354,235,589,2079,28.33%,18,557,575
"District Judge, 180th Judicial District",0237,415,253,669,2161,30.96%,18,637,655
"District Judge, 180th Judicial District",0238,339,245,584,1925,30.34%,17,550,567
"District Judge, 180th Judicial District",0239,383,236,619,1964,31.52%,26,584,610
"District Judge, 180th Judicial District",0240,585,243,828,2649,31.26%,21,789,810
"District Judge, 180th Judicial District",0241,222,229,451,2372,19.01%,190,244,434
"District Judge, 180th Judicial District",0242,173,162,335,1596,20.99%,201,118,319
"District Judge, 180th Judicial District",0243,138,43,181,457,39.61%,4,177,181
"District Judge, 180th Judicial District",0244,480,425,905,3117,29.03%,516,348,864
"District Judge, 180th Judicial District",0245,946,799,1745,5828,29.94%,1244,464,1708
"District Judge, 180th Judicial District",0246,584,513,1197,3315,36.11%,867,293,1160
"District Judge, 180th Judicial District",0247,173,254,427,1582,26.99%,16,404,420
"District Judge, 180th Judicial District",0248,161,167,328,2100,15.62%,97,217,314
"District Judge, 180th Judicial District",0249,461,348,809,2719,29.75%,571,211,782
"District Judge, 180th Judicial District",0250,109,164,273,964,28.32%,10,259,269
"District Judge, 180th Judicial District",0251,278,436,714,2089,34.18%,29,672,701
"District Judge, 180th Judicial District",0252,504,312,816,2377,34.33%,17,780,797
"District Judge, 180th Judicial District",0253,379,222,601,2177,27.61%,17,571,588
"District Judge, 180th Judicial District",0254,93,112,205,1550,13.23%,70,126,196
"District Judge, 180th Judicial District",0255,525,648,1173,2482,47.26%,571,526,1097
"District Judge, 180th Judicial District",0256,575,449,1024,3254,31.47%,502,466,968
"District Judge, 180th Judicial District",0257,204,245,449,2523,17.80%,141,286,427
"District Judge, 180th Judicial District",0258,839,800,1539,3322,49.34%,1223,314,1537
"District Judge, 180th Judicial District",0259,555,382,1038,2361,43.96%,38,974,1012
"District Judge, 180th Judicial District",0260,152,145,307,1260,24.37%,184,104,288
"District Judge, 180th Judicial District",0261,124,120,244,1417,17.22%,107,128,235
"District Judge, 180th Judicial District",0262,758,600,1358,4397,30.88%,863,418,1281
"District Judge, 180th Judicial District",0263,858,712,1570,3693,42.51%,1217,299,1516
"District Judge, 180th Judicial District",0264,480,457,937,2963,31.62%,586,299,885
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0265,988,759,1747,3584,48.74%,1346,291,1637
"District Judge, 180th Judicial District",0266,259,257,516,2104,24.52%,264,221,485
"District Judge, 180th Judicial District",0267,146,166,312,1327,23.51%,166,128,294
"District Judge, 180th Judicial District",0268,435,717,1152,2493,46.21%,686,356,1042
"District Judge, 180th Judicial District",0269,702,453,1155,2030,56.90%,936,156,1092
"District Judge, 180th Judicial District",0270,817,672,1489,3605,41.30%,855,554,1409
"District Judge, 180th Judicial District",0271,656,382,1038,2518,41.22%,32,993,1025
"District Judge, 180th Judicial District",0272,264,292,555,2162,25.72%,234,299,533
"District Judge, 180th Judicial District",0273,548,689,1237,2470,50.08%,1015,160,1175
"District Judge, 180th Judicial District",0274,588,346,934,2153,43.38%,647,228,875
"District Judge, 180th Judicial District",0275,207,236,443,1850,23.95%,115,314,429
"District Judge, 180th Judicial District",0276,572,231,803,2536,31.66%,14,779,793
"District Judge, 180th Judicial District",0277,170,186,356,1492,23.86%,175,168,343
"District Judge, 180th Judicial District",0278,421,320,741,2454,30.20%,424,290,714
"District Judge, 180th Judicial District",0279,250,223,473,1941,24.37%,286,168,454
"District Judge, 180th Judicial District",0280,130,188,318,1524,20.87%,143,156,299
"District Judge, 180th Judicial District",0281,655,742,1397,2633,53.06%,707,558,1265
"District Judge, 180th Judicial District",0282,314,455,769,2042,37.66%,500,225,725
"District Judge, 180th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 180th Judicial District",0284,574,336,910,3172,28.69%,432,441,873
"District Judge, 180th Judicial District",0285,448,378,826,2540,32.52%,78,722,800
"District Judge, 180th Judicial District",0286,1255,821,2076,6170,33.65%,205,1814,2019
"District Judge, 180th Judicial District",0287,370,477,847,1621,52.25%,425,365,790
"District Judge, 180th Judicial District",0288,532,313,845,2210,38.24%,18,815,833
"District Judge, 180th Judicial District",0289,186,212,398,1564,25.45%,208,169,377
"District Judge, 180th Judicial District",0290,245,298,543,1642,33.07%,411,115,526
"District Judge, 180th Judicial District",0291,325,235,560,1225,45.71%,301,230,531
"District Judge, 180th Judicial District",0292,207,147,354,1356,26.11%,44,300,344
"District Judge, 180th Judicial District",0293,356,447,803,1759,45.65%,386,363,749
