Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0280,130,188,318,1524,20.87%,132,164,296
"Family District Judge, 313th Judicial District",0281,655,742,1397,2633,53.06%,657,595,1252
"Family District Judge, 313th Judicial District",0282,314,455,769,2042,37.66%,484,235,719
"Family District Judge, 313th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0284,574,336,910,3172,28.69%,422,442,864
"Family District Judge, 313th Judicial District",0285,448,378,826,2540,32.52%,72,727,799
"Family District Judge, 313th Judicial District",0286,1255,821,2076,6170,33.65%,195,1818,2013
"Family District Judge, 313th Judicial District",0287,370,477,847,1621,52.25%,401,390,791
"Family District Judge, 313th Judicial District",0288,532,313,845,2210,38.24%,16,815,831
"Family District Judge, 313th Judicial District",0289,186,212,398,1564,25.45%,195,179,374
"Family District Judge, 313th Judicial District",0290,245,298,543,1642,33.07%,406,118,524
"Family District Judge, 313th Judicial District",0291,325,235,560,1225,45.71%,279,244,523
"Family District Judge, 313th Judicial District",0292,207,147,354,1356,26.11%,40,307,347
"Family District Judge, 313th Judicial District",0293,356,447,803,1759,45.65%,365,376,741
"Family District Judge, 313th Judicial District",0294,488,221,709,2097,33.81%,10,685,695
"Family District Judge, 313th Judicial District",0295,148,103,251,885,28.36%,7,240,247
"Family District Judge, 313th Judicial District",0296,327,340,667,1713,38.94%,380,230,610
"Family District Judge, 313th Judicial District",0297,280,249,529,2012,26.29%,230,264,494
"Family District Judge, 313th Judicial District",0298,415,358,773,2121,36.45%,446,281,727
"Family District Judge, 313th Judicial District",0299,178,117,295,1353,21.80%,115,158,273
"Family District Judge, 313th Judicial District",0300,1389,1016,2405,5406,44.49%,1892,412,2304
"Family District Judge, 313th Judicial District",0301,210,255,465,2352,19.77%,186,251,437
"Family District Judge, 313th Judicial District",0302,353,343,696,2720,25.59%,399,273,672
"Family District Judge, 313th Judicial District",0303,922,784,1706,3245,52.57%,1368,246,1614
"Family District Judge, 313th Judicial District",0304,606,505,1111,2298,48.35%,606,415,1021
"Family District Judge, 313th Judicial District",0305,524,432,956,4191,22.81%,405,519,924
"Family District Judge, 313th Judicial District",0306,649,342,991,1879,52.74%,715,213,928
"Family District Judge, 313th Judicial District",0307,733,670,1403,3099,45.27%,957,361,1318
"Family District Judge, 313th Judicial District",0308,199,130,329,1296,25.39%,111,206,317
"Family District Judge, 313th Judicial District",0309,708,593,1301,2524,51.55%,1022,195,1217
"Family District Judge, 313th Judicial District",0310,386,279,665,1435,46.34%,447,173,620
"Family District Judge, 313th Judicial District",0311,486,421,907,2986,30.38%,485,358,843
"Family District Judge, 313th Judicial District",0312,742,457,1199,3636,32.98%,777,369,1146
"Family District Judge, 313th Judicial District",0313,9,0,9,62,14.52%,7,1,8
