Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0166,158,233,391,1028,38.04%,98,271,12,4,385
Lieutenant Governor,0167,3,0,3,24,12.50%,1,2,0,0,3
Lieutenant Governor,0168,92,58,150,503,29.82%,2,142,2,0,146
Lieutenant Governor,0169,516,251,767,2513,30.52%,15,729,5,2,751
Lieutenant Governor,0170,271,141,412,1869,22.04%,216,174,11,1,402
Lieutenant Governor,0171,202,198,400,1604,24.94%,9,381,3,2,395
Lieutenant Governor,0172,86,80,166,621,26.73%,62,97,0,4,163
Lieutenant Governor,0173,819,739,1558,3599,43.29%,1222,284,32,3,1541
Lieutenant Governor,0174,830,733,1563,3296,47.42%,1002,477,40,10,1529
Lieutenant Governor,0175,560,749,1309,2618,50.00%,573,686,29,8,1296
Lieutenant Governor,0176,344,451,795,1602,49.63%,349,412,18,9,788
Lieutenant Governor,0177,278,326,604,1496,40.37%,294,268,22,4,588
Lieutenant Governor,0178,504,365,869,1765,49.24%,498,320,35,2,855
Lieutenant Governor,0179,256,188,444,1575,28.19%,230,186,10,10,436
Lieutenant Governor,0180,470,343,813,2834,28.69%,28,747,10,7,792
Lieutenant Governor,0181,175,262,437,2061,21.20%,132,273,14,8,427
Lieutenant Governor,0182,590,974,1564,3405,45.93%,819,652,44,10,1525
Lieutenant Governor,0183,520,794,1314,2491,52.75%,725,510,35,7,1277
Lieutenant Governor,0184,106,135,241,994,24.25%,85,134,7,0,226
Lieutenant Governor,0185,283,292,575,1933,29.75%,198,353,6,3,560
Lieutenant Governor,0186,97,106,203,798,25.44%,32,165,2,2,201
Lieutenant Governor,0187,21,25,46,311,14.79%,13,31,2,0,46
Lieutenant Governor,0188,153,146,299,1637,18.27%,140,139,8,5,292
Lieutenant Governor,0189,239,360,599,1465,40.89%,287,270,30,5,592
Lieutenant Governor,0190,120,177,297,1723,17.24%,122,157,7,2,288
Lieutenant Governor,0191,79,126,205,1366,15.01%,94,105,1,0,200
Lieutenant Governor,0192,381,225,606,1959,30.93%,28,561,2,2,593
Lieutenant Governor,0193,173,187,360,1074,33.52%,11,336,2,3,352
Lieutenant Governor,0194,351,431,782,1912,40.90%,203,521,29,17,770
Lieutenant Governor,0195,269,278,547,1694,32.29%,24,506,7,3,540
Lieutenant Governor,0196,52,32,84,316,26.58%,8,73,3,0,84
Lieutenant Governor,0197,543,309,852,2914,29.24%,26,809,8,4,847
Lieutenant Governor,0198,53,74,127,642,19.78%,5,118,0,2,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0199,812,661,1473,3216,45.80%,1098,298,48,9,1453
Lieutenant Governor,0200,962,536,1498,3382,44.29%,599,826,39,6,1470
Lieutenant Governor,0201,98,87,185,724,25.55%,4,176,1,1,182
Lieutenant Governor,0202,217,189,406,1464,27.73%,12,386,4,0,402
Lieutenant Governor,0203,107,68,175,960,18.23%,39,122,4,3,168
Lieutenant Governor,0204,817,784,1601,3487,45.91%,845,679,38,21,1583
Lieutenant Governor,0205,465,171,636,1664,38.22%,10,612,4,2,628
Lieutenant Governor,0206,364,462,826,2779,29.72%,224,552,28,13,817
Lieutenant Governor,0207,265,261,526,1188,44.28%,156,347,10,5,518
Lieutenant Governor,0208,322,262,584,2195,26.61%,182,382,6,3,573
Lieutenant Governor,0209,0,2,2,0,0.00%,1,1,0,0,2
Lieutenant Governor,0210,502,467,969,2533,38.26%,85,846,14,11,956
Lieutenant Governor,0211,307,386,693,2914,23.78%,260,389,17,7,673
Lieutenant Governor,0212,95,155,251,1300,19.31%,48,193,4,2,247
Lieutenant Governor,0213,826,913,1739,3350,51.91%,1233,418,39,9,1699
Lieutenant Governor,0214,404,491,895,1854,48.27%,505,348,30,5,888
Lieutenant Governor,0215,423,711,1134,2258,50.22%,557,493,45,13,1108
Lieutenant Governor,0216,362,223,585,1945,30.08%,40,528,3,3,574
Lieutenant Governor,0217,844,631,1475,2678,55.08%,788,607,45,4,1444
Lieutenant Governor,0218,392,402,794,2292,34.64%,232,526,11,9,778
Lieutenant Governor,0219,497,436,933,2767,33.72%,56,853,7,4,920
Lieutenant Governor,0220,325,187,512,2310,22.16%,375,120,7,1,503
Lieutenant Governor,0221,332,369,701,2529,27.72%,308,360,10,5,683
Lieutenant Governor,0222,623,674,1297,2501,51.86%,437,798,34,8,1277
Lieutenant Governor,0223,563,377,940,3582,26.24%,231,653,31,12,927
Lieutenant Governor,0224,531,456,987,2238,44.10%,397,546,24,7,974
Lieutenant Governor,0225,376,405,781,3305,23.63%,386,354,24,5,769
Lieutenant Governor,0226,227,307,534,2436,21.92%,125,379,13,3,520
Lieutenant Governor,0227,558,423,981,1785,54.96%,583,338,33,5,959
Lieutenant Governor,0228,362,195,557,1050,53.05%,29,511,8,4,552
Lieutenant Governor,0229,31,96,127,815,15.58%,57,60,3,1,121
Lieutenant Governor,0230,185,116,301,1089,27.64%,10,278,4,1,293
Lieutenant Governor,0231,233,264,497,2232,22.27%,123,350,5,6,484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0232,351,474,835,1760,47.44%,407,392,16,10,825
Lieutenant Governor,0233,892,801,1693,4445,38.09%,688,929,48,9,1674
Lieutenant Governor,0234,1192,913,2105,3993,52.72%,1400,600,45,6,2051
Lieutenant Governor,0235,240,158,398,1356,29.35%,13,369,4,5,391
Lieutenant Governor,0236,354,235,589,2079,28.33%,14,552,4,6,576
Lieutenant Governor,0237,417,253,670,2161,31.00%,14,643,4,0,661
Lieutenant Governor,0238,340,245,585,1925,30.39%,19,545,7,2,573
Lieutenant Governor,0239,383,236,619,1964,31.52%,15,588,6,4,613
Lieutenant Governor,0240,585,243,828,2649,31.26%,19,790,4,3,816
Lieutenant Governor,0241,222,229,451,2372,19.01%,190,240,7,2,439
Lieutenant Governor,0242,173,162,335,1596,20.99%,195,120,10,4,329
Lieutenant Governor,0243,138,43,181,457,39.61%,2,175,2,2,181
Lieutenant Governor,0244,480,425,905,3117,29.03%,497,367,15,9,888
Lieutenant Governor,0245,945,799,1745,5828,29.94%,1201,479,47,8,1735
Lieutenant Governor,0246,584,513,1197,3315,36.11%,837,328,16,6,1187
Lieutenant Governor,0247,173,254,427,1582,26.99%,20,395,7,2,424
Lieutenant Governor,0248,161,167,328,2100,15.62%,91,211,12,3,317
Lieutenant Governor,0249,461,348,809,2719,29.75%,544,230,20,3,797
Lieutenant Governor,0250,109,164,273,964,28.32%,12,247,8,2,269
Lieutenant Governor,0251,278,436,714,2089,34.18%,28,668,3,3,702
Lieutenant Governor,0252,504,312,816,2377,34.33%,23,770,8,1,802
Lieutenant Governor,0253,379,222,601,2177,27.61%,10,575,3,3,591
Lieutenant Governor,0254,93,112,205,1550,13.23%,64,134,5,1,204
Lieutenant Governor,0255,526,648,1174,2482,47.30%,473,645,36,6,1160
Lieutenant Governor,0256,575,449,1024,3254,31.47%,462,513,20,4,999
Lieutenant Governor,0257,204,245,449,2523,17.80%,135,290,5,4,434
Lieutenant Governor,0258,840,800,1540,3322,49.37%,1083,478,44,7,1612
Lieutenant Governor,0259,555,382,1038,2361,43.96%,35,974,8,6,1023
Lieutenant Governor,0260,152,145,307,1260,24.37%,181,116,4,2,303
Lieutenant Governor,0261,124,120,244,1417,17.22%,99,131,6,2,238
Lieutenant Governor,0262,758,600,1358,4397,30.88%,794,479,44,17,1334
Lieutenant Governor,0263,858,712,1570,3693,42.51%,1157,351,40,6,1554
Lieutenant Governor,0264,482,457,939,2963,31.69%,579,320,24,8,931
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0265,988,759,1747,3584,48.74%,1170,469,57,10,1706
Lieutenant Governor,0266,259,257,516,2104,24.52%,266,232,6,2,506
Lieutenant Governor,0267,146,166,312,1327,23.51%,164,123,15,5,307
Lieutenant Governor,0268,435,717,1152,2493,46.21%,568,520,21,15,1124
Lieutenant Governor,0269,702,453,1155,2030,56.90%,779,311,24,6,1120
Lieutenant Governor,0270,819,672,1491,3605,41.36%,782,635,38,15,1470
Lieutenant Governor,0271,656,382,1038,2518,41.22%,30,993,3,6,1032
Lieutenant Governor,0272,264,292,555,2162,25.72%,204,313,23,7,547
Lieutenant Governor,0273,548,689,1237,2470,50.08%,896,259,45,5,1205
Lieutenant Governor,0274,588,346,934,2153,43.38%,554,331,33,3,921
Lieutenant Governor,0275,207,236,443,1850,23.95%,107,322,5,4,438
Lieutenant Governor,0276,572,231,803,2536,31.66%,15,765,5,6,791
Lieutenant Governor,0277,170,186,356,1492,23.86%,174,169,6,1,350
Lieutenant Governor,0278,421,320,741,2454,30.20%,399,316,10,3,728
Lieutenant Governor,0279,251,223,474,1941,24.42%,279,169,17,2,467
Lieutenant Governor,0280,130,188,318,1524,20.87%,131,166,8,6,311
Lieutenant Governor,0281,655,742,1397,2633,53.06%,555,787,25,5,1372
Lieutenant Governor,0282,314,455,769,2042,37.66%,447,276,29,5,757
