Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0338,730,391,1121,4934,22.72%,450,450
"Judge, County Criminal Court No.11",0339,202,222,424,1757,24.13%,131,131
"Judge, County Criminal Court No.11",0340,1038,594,1632,3765,43.35%,1260,1260
"Judge, County Criminal Court No.11",0341,91,167,258,1290,20.00%,106,106
"Judge, County Criminal Court No.11",0342,675,605,1280,6526,19.61%,326,326
"Judge, County Criminal Court No.11",0343,189,271,460,1964,23.42%,185,185
"Judge, County Criminal Court No.11",0344,154,172,326,1160,28.10%,30,30
"Judge, County Criminal Court No.11",0345,156,165,321,1804,17.79%,125,125
"Judge, County Criminal Court No.11",0346,0,1,1,3,33.33%,1,1
"Judge, County Criminal Court No.11",0347,592,436,1028,3387,30.35%,744,744
"Judge, County Criminal Court No.11",0348,438,208,646,1708,37.82%,512,512
"Judge, County Criminal Court No.11",0349,188,267,455,1349,33.73%,303,303
"Judge, County Criminal Court No.11",0350,524,526,1050,2909,36.09%,510,510
"Judge, County Criminal Court No.11",0351,1491,710,2201,4712,46.71%,1793,1793
"Judge, County Criminal Court No.11",0352,520,339,859,3205,26.80%,662,662
"Judge, County Criminal Court No.11",0353,665,451,1116,3862,28.90%,289,289
"Judge, County Criminal Court No.11",0354,715,338,1053,3388,31.08%,325,325
"Judge, County Criminal Court No.11",0355,301,264,565,1560,36.22%,91,91
"Judge, County Criminal Court No.11",0356,594,538,1132,2972,38.09%,791,791
"Judge, County Criminal Court No.11",0357,837,575,1412,3517,40.15%,1082,1082
"Judge, County Criminal Court No.11",0358,212,254,466,2492,18.70%,94,94
"Judge, County Criminal Court No.11",0359,234,224,458,3061,14.96%,98,98
"Judge, County Criminal Court No.11",0360,522,380,902,2146,42.03%,504,504
"Judge, County Criminal Court No.11",0361,41,295,336,1673,20.08%,110,110
"Judge, County Criminal Court No.11",0362,1136,887,2025,5086,39.82%,1564,1564
"Judge, County Criminal Court No.11",0363,620,412,1032,3677,28.07%,530,530
"Judge, County Criminal Court No.11",0364,488,405,893,2658,33.60%,559,559
"Judge, County Criminal Court No.11",0365,478,231,709,1305,54.33%,92,92
