Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0968,119,30,149,692,21.53%,32,115,147
"Judge, County Criminal Court No. 5",0969,156,73,229,604,37.91%,1,226,227
"Judge, County Criminal Court No. 5",0970,83,36,119,731,16.28%,18,99,117
"Judge, County Criminal Court No. 5",0971,11,8,19,147,12.93%,1,16,17
"Judge, County Criminal Court No. 5",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Criminal Court No. 5",0973,24,19,43,111,38.74%,20,19,39
"Judge, County Criminal Court No. 5",0974,57,36,93,299,31.10%,58,33,91
"Judge, County Criminal Court No. 5",0975,55,30,85,193,44.04%,41,38,79
"Judge, County Criminal Court No. 5",0976,58,62,130,683,19.03%,86,41,127
"Judge, County Criminal Court No. 5",0977,50,43,93,572,16.26%,39,53,92
"Judge, County Criminal Court No. 5",0978,77,79,156,546,28.57%,30,123,153
"Judge, County Criminal Court No. 5",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No. 5",0980,280,321,601,1389,43.27%,458,112,570
"Judge, County Criminal Court No. 5",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0982,312,312,624,1567,39.82%,517,82,599
"Judge, County Criminal Court No. 5",0983,11,21,32,161,19.88%,20,11,31
"Judge, County Criminal Court No. 5",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No. 5",0985,117,63,180,351,51.28%,96,72,168
"Judge, County Criminal Court No. 5",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Criminal Court No. 5",0987,231,90,321,1155,27.79%,28,286,314
"Judge, County Criminal Court No. 5",0988,24,12,36,123,29.27%,34,2,36
"Judge, County Criminal Court No. 5",0989,e,6,12,43,27.91%,9,3,12
"Judge, County Criminal Court No. 5",0990,16,1,17,140,12.14%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0992,157,107,264,1048,25.19%,147,103,250
"Judge, County Criminal Court No. 5",0993,169,101,270,568,47.54%,222,38,260
"Judge, County Criminal Court No. 5",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No. 5",0995,295,156,451,1393,32.38%,29,410,439
"Judge, County Criminal Court No. 5",0996,135,140,275,694,39.63%,157,98,255
"Judge, County Criminal Court No. 5",0997,101,163,264,1656,15.94%,59,201,260
"Judge, County Criminal Court No. 5",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No. 5",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No. 5",1000,42,6,48,405,11.85%,13,34,47
"Judge, County Criminal Court No. 5",1001,228,136,364,1565,23.26%,96,249,345
"Judge, County Criminal Court No. 5",1002,170,139,309,1744,17.72%,57,235,292
"Judge, County Criminal Court No. 5",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 5",1004,111,139,250,654,38.23%,130,95,225
"Judge, County Criminal Court No. 5",1005,0,8,8,0,0.00%,3,4,7
"Judge, County Criminal Court No. 5",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 5",1007,208,188,396,1547,25.60%,97,284,381
"Judge, County Criminal Court No. 5",1008,32,12,44,151,29.14%,32,8,40
"Judge, County Criminal Court No. 5",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Criminal Court No. 5",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No. 5",1012,134,201,335,1365,24.54%,101,225,326
"Judge, County Criminal Court No. 5",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Criminal Court No. 5",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No. 5",1015,5,4,9,25,36.00%,2,6,8
"Judge, County Criminal Court No. 5",1016,252,212,464,1691,27.44%,235,212,447
"Judge, County Criminal Court No. 5",1017,51,44,105,330,31.82%,32,71,103
"Judge, County Criminal Court No. 5",1018,93,64,157,494,31.78%,72,81,153
"Judge, County Criminal Court No. 5",1019,130,107,237,1456,16.28%,14,219,233
"Judge, County Criminal Court No. 5",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1022,97,79,176,441,39.91%,133,33,166
"Judge, County Criminal Court No. 5",1023,430,315,745,2026,36.77%,538,177,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",1024,55,61,116,249,46.59%,65,41,106
"Judge, County Criminal Court No. 5",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No. 5",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1027,1,0,1,8,12.50%,0,1,1
"Judge, County Criminal Court No. 5",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1029,537,719,1256,2927,42.91%,998,206,1204
"Judge, County Criminal Court No. 5",1030,231,151,382,785,48.66%,339,38,377
"Judge, County Criminal Court No. 5",1031,59,71,130,792,16.41%,36,86,122
"Judge, County Criminal Court No. 5",1032,31,25,56,244,22.95%,35,17,52
"Judge, County Criminal Court No. 5",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Criminal Court No. 5",1036,65,24,89,449,19.82%,74,14,88
"Judge, County Criminal Court No. 5",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Criminal Court No. 5",1038,62,6,68,327,20.80%,10,54,64
"Judge, County Criminal Court No. 5",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Criminal Court No. 5",1040,91,66,157,771,20.36%,75,76,151
"Judge, County Criminal Court No. 5",1041,0,2,2,0,0.00%,0,2,2
"Judge, County Criminal Court No. 5",1042,105,67,172,521,33.01%,56,110,166
"Judge, County Criminal Court No. 5",1043,5,6,12,33,36.36%,4,8,12
"Judge, County Criminal Court No. 5",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Criminal Court No. 5",1045,197,173,370,1788,20.69%,51,305,356
"Judge, County Criminal Court No. 5",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Criminal Court No. 5",1047,255,186,441,1568,28.13%,163,265,428
"Judge, County Criminal Court No. 5",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Criminal Court No. 5",1049,14,45,59,290,20.34%,21,36,57
"Judge, County Criminal Court No. 5",1050,60,63,123,537,22.91%,33,86,119
"Judge, County Criminal Court No. 5",1051,0,31,31,0,0.00%,17,11,28
"Judge, County Criminal Court No. 5",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1056,4,2,6,8,75.00%,1,5,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",1057,7,9,16,118,13.56%,3,12,15
"Judge, County Criminal Court No. 5",1058,241,285,526,1243,42.32%,103,410,513
"Judge, County Criminal Court No. 5",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Criminal Court No. 5",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Criminal Court No. 5",1061,332,184,516,1716,30.07%,279,216,495
"Judge, County Criminal Court No. 5",1062,17,6,23,201,11.44%,4,17,21
"Judge, County Criminal Court No. 5",1063,66,59,125,857,14.59%,20,101,121
"Judge, County Criminal Court No. 5",1064,25,11,36,119,30.25%,28,8,36
"Judge, County Criminal Court No. 5",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Criminal Court No. 5",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Criminal Court No. 5",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",1068,22,8,30,121,24.79%,12,17,29
"Judge, County Criminal Court No. 5",1069,434,256,690,2580,26.74%,322,323,645
"Judge, County Criminal Court No. 5",Totals:,378846,308736,687582,2044361,,362829,292023,654852
