Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0220,325,187,512,2310,22.16%,363,123,10,496
"Judge, Court of Criminal Appeals, Place 3",0221,332,369,701,2529,27.72%,302,345,17,664
"Judge, Court of Criminal Appeals, Place 3",0222,623,674,1297,2501,51.86%,616,553,39,1208
"Judge, Court of Criminal Appeals, Place 3",0223,563,377,940,3582,26.24%,260,601,40,901
"Judge, Court of Criminal Appeals, Place 3",0224,531,456,987,2238,44.10%,450,447,35,932
"Judge, Court of Criminal Appeals, Place 3",0225,376,405,781,3305,23.63%,389,348,19,756
"Judge, Court of Criminal Appeals, Place 3",0226,227,307,534,2436,21.92%,121,370,17,508
"Judge, Court of Criminal Appeals, Place 3",0227,558,423,981,1785,54.96%,749,148,23,920
"Judge, Court of Criminal Appeals, Place 3",0228,362,195,557,1050,53.05%,18,507,10,535
"Judge, Court of Criminal Appeals, Place 3",0229,31,96,127,815,15.58%,58,54,6,118
"Judge, Court of Criminal Appeals, Place 3",0230,185,116,301,1089,27.64%,8,285,5,298
"Judge, Court of Criminal Appeals, Place 3",0231,233,264,497,2232,22.27%,122,332,15,469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0232,361,474,835,1760,47.44%,467,306,27,800
"Judge, Court of Criminal Appeals, Place 3",0233,892,801,1693,4445,38.09%,796,722,74,1592
"Judge, Court of Criminal Appeals, Place 3",0234,1192,913,2105,3993,52.72%,1619,337,38,1994
"Judge, Court of Criminal Appeals, Place 3",0235,240,158,398,1356,29.35%,13,374,5,392
"Judge, Court of Criminal Appeals, Place 3",0236,354,235,589,2079,28.33%,11,554,8,573
"Judge, Court of Criminal Appeals, Place 3",0237,417,253,670,2161,31.00%,13,644,3,660
"Judge, Court of Criminal Appeals, Place 3",0238,340,245,585,1925,30.39%,16,550,5,571
"Judge, Court of Criminal Appeals, Place 3",0239,383,236,619,1964,31.52%,18,583,7,608
"Judge, Court of Criminal Appeals, Place 3",0240,585,243,828,2649,31.26%,15,789,7,811
"Judge, Court of Criminal Appeals, Place 3",0241,222,229,451,2372,19.01%,186,243,6,435
"Judge, Court of Criminal Appeals, Place 3",0242,173,162,335,1596,20.99%,189,116,15,320
"Judge, Court of Criminal Appeals, Place 3",0243,138,43,181,457,39.61%,0,178,3,181
"Judge, Court of Criminal Appeals, Place 3",0244,480,425,905,3117,29.03%,497,351,25,873
"Judge, Court of Criminal Appeals, Place 3",0245,945,799,1745,5828,29.94%,1196,455,59,1710
"Judge, Court of Criminal Appeals, Place 3",0246,584,513,1197,3315,36.11%,846,297,26,1169
"Judge, Court of Criminal Appeals, Place 3",0247,173,254,427,1582,26.99%,16,398,6,420
"Judge, Court of Criminal Appeals, Place 3",0248,161,167,328,2100,15.62%,86,217,15,318
"Judge, Court of Criminal Appeals, Place 3",0249,461,348,809,2719,29.75%,559,208,18,785
"Judge, Court of Criminal Appeals, Place 3",0250,109,164,273,964,28.32%,8,259,2,269
"Judge, Court of Criminal Appeals, Place 3",0251,278,435,714,2089,34.18%,28,674,2,704
"Judge, Court of Criminal Appeals, Place 3",0252,504,312,816,2377,34.33%,16,782,3,801
"Judge, Court of Criminal Appeals, Place 3",0253,379,222,601,2177,27.61%,6,577,3,586
"Judge, Court of Criminal Appeals, Place 3",0254,93,112,205,1550,13.23%,63,129,4,196
"Judge, Court of Criminal Appeals, Place 3",0255,526,648,1174,2482,47.30%,539,534,38,1111
"Judge, Court of Criminal Appeals, Place 3",0256,575,449,1024,3254,31.47%,480,462,25,967
"Judge, Court of Criminal Appeals, Place 3",0257,204,245,449,2523,17.80%,137,287,7,431
"Judge, Court of Criminal Appeals, Place 3",0258,840,800,1640,3322,49.37%,1195,311,46,1552
"Judge, Court of Criminal Appeals, Place 3",0259,555,382,1038,2361,43.96%,30,977,7,1014
"Judge, Court of Criminal Appeals, Place 3",0260,162,145,307,1260,24.37%,172,109,9,290
"Judge, Court of Criminal Appeals, Place 3",0261,124,120,244,1417,17.22%,99,131,6,236
"Judge, Court of Criminal Appeals, Place 3",0262,758,600,1358,4397,30.88%,827,409,64,1300
"Judge, Court of Criminal Appeals, Place 3",0263,858,712,1570,3693,42.51%,1198,299,38,1535
"Judge, Court of Criminal Appeals, Place 3",0264,482,457,939,2963,31.69%,575,294,37,906
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0265,988,759,1747,3584,48.74%,1309,302,51,1662
"Judge, Court of Criminal Appeals, Place 3",0266,259,257,516,2104,24.52%,255,219,14,488
"Judge, Court of Criminal Appeals, Place 3",0267,146,166,312,1327,23.51%,165,121,10,296
"Judge, Court of Criminal Appeals, Place 3",0268,435,717,1152,2493,46.21%,665,358,34,1057
"Judge, Court of Criminal Appeals, Place 3",0269,702,453,1155,2030,56.90%,915,157,27,1099
