Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0256,575,449,1024,3254,31.47%,542,542
"Judge, County Criminal Court No. 9",0257,204,245,449,2523,17.80%,171,171
"Judge, County Criminal Court No. 9",0258,839,800,1539,3322,49.34%,1228,1228
"Judge, County Criminal Court No. 9",0259,555,382,1038,2361,43.96%,68,68
"Judge, County Criminal Court No. 9",0260,162,145,307,1260,24.37%,199,199
"Judge, County Criminal Court No. 9",0261,124,120,244,1417,17.22%,120,120
"Judge, County Criminal Court No. 9",0262,758,600,1358,4397,30.88%,918,918
"Judge, County Criminal Court No. 9",0263,858,712,1570,3693,42.51%,1237,1237
"Judge, County Criminal Court No. 9",0264,480,457,937,2963,31.62%,620,620
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0265,988,759,1747,3584,48.74%,1338,1338
"Judge, County Criminal Court No. 9",0266,259,257,516,2104,24.52%,296,296
"Judge, County Criminal Court No. 9",0267,146,166,312,1327,23.51%,186,186
"Judge, County Criminal Court No. 9",0268,435,717,1152,2493,46.21%,712,712
"Judge, County Criminal Court No. 9",0269,702,453,1155,2030,56.90%,919,919
"Judge, County Criminal Court No. 9",0270,817,672,1489,3605,41.30%,924,924
"Judge, County Criminal Court No. 9",0271,656,382,1038,2518,41.22%,71,71
"Judge, County Criminal Court No. 9",0272,264,292,556,2162,25.72%,267,267
"Judge, County Criminal Court No. 9",0273,548,689,1237,2470,50.08%,1013,1013
"Judge, County Criminal Court No. 9",0274,588,346,934,2153,43.38%,656,656
"Judge, County Criminal Court No. 9",0275,207,236,443,1850,23.95%,139,139
"Judge, County Criminal Court No. 9",0276,572,231,803,2536,31.66%,37,37
"Judge, County Criminal Court No. 9",0277,170,186,356,1492,23.86%,194,194
"Judge, County Criminal Court No. 9",0278,421,320,741,2454,30.20%,455,455
"Judge, County Criminal Court No. 9",0279,250,223,473,1941,24.37%,311,311
"Judge, County Criminal Court No. 9",0280,130,188,318,1524,20.87%,153,153
"Judge, County Criminal Court No. 9",0281,655,742,1397,2633,53.06%,747,747
"Judge, County Criminal Court No. 9",0282,314,455,769,2042,37.66%,515,515
"Judge, County Criminal Court No. 9",0283,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0284,574,336,910,3172,28.69%,477,477
"Judge, County Criminal Court No. 9",0285,448,378,826,2540,32.52%,126,126
"Judge, County Criminal Court No. 9",0286,1255,821,2076,6170,33.65%,350,350
"Judge, County Criminal Court No. 9",0287,370,477,847,1621,52.25%,454,454
"Judge, County Criminal Court No. 9",0288,532,313,845,2210,38.24%,55,55
"Judge, County Criminal Court No. 9",0289,186,212,398,1564,25.45%,236,236
"Judge, County Criminal Court No. 9",0290,245,298,543,1642,33.07%,424,424
"Judge, County Criminal Court No. 9",0291,325,235,560,1225,45.71%,303,303
"Judge, County Criminal Court No. 9",0292,207,147,354,1356,26.11%,65,65
"Judge, County Criminal Court No. 9",0293,356,447,803,1759,45.65%,418,418
"Judge, County Criminal Court No. 9",0294,488,221,709,2097,33.81%,30,30
"Judge, County Criminal Court No. 9",0295,148,103,251,885,28.36%,18,18
"Judge, County Criminal Court No. 9",0296,327,340,667,1713,38.94%,416,416
"Judge, County Criminal Court No. 9",0297,280,249,529,2012,26.29%,273,273
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0298,415,358,773,2121,36.45%,487,487
"Judge, County Criminal Court No. 9",0299,178,117,295,1353,21.80%,140,140
"Judge, County Criminal Court No. 9",0300,1389,1016,2405,5406,44.49%,1999,1999
"Judge, County Criminal Court No. 9",0301,210,255,465,2352,19.77%,220,220
"Judge, County Criminal Court No. 9",0302,353,343,696,2720,25.59%,463,463
"Judge, County Criminal Court No. 9",0303,922,784,1706,3245,52.57%,1371,1371
"Judge, County Criminal Court No. 9",0304,606,505,1111,2298,48.35%,674,674
"Judge, County Criminal Court No. 9",0305,524,432,956,4191,22.81%,467,467
"Judge, County Criminal Court No. 9",0306,649,342,991,1879,52.74%,744,744
"Judge, County Criminal Court No. 9",0307,733,670,1403,3099,45.27%,1005,1005
"Judge, County Criminal Court No. 9",0308,199,130,329,1296,25.39%,142,142
"Judge, County Criminal Court No. 9",0309,708,593,1301,2524,51.55%,1052,1052
"Judge, County Criminal Court No. 9",0310,386,279,665,1435,46.34%,468,468
"Judge, County Criminal Court No. 9",0311,486,421,907,2986,30.38%,537,537
"Judge, County Criminal Court No. 9",0312,742,457,1199,3636,32.98%,829,829
"Judge, County Criminal Court No. 9",0313,9,0,9,62,14.52%,7,7
"Judge, County Criminal Court No. 9",0314,1121,913,2034,5647,36.02%,1374,1374
"Judge, County Criminal Court No. 9",0315,478,388,866,1608,53.86%,542,542
"Judge, County Criminal Court No. 9",0316,412,341,753,1537,48.99%,440,440
"Judge, County Criminal Court No. 9",0317,248,209,457,1588,28.78%,180,180
"Judge, County Criminal Court No. 9",0318,834,568,1402,3660,38.31%,171,171
"Judge, County Criminal Court No. 9",0319,512,230,742,2158,34.38%,87,87
"Judge, County Criminal Court No. 9",0320,234,168,402,1537,26.15%,234,234
"Judge, County Criminal Court No. 9",0321,262,191,453,2346,19.31%,207,207
"Judge, County Criminal Court No. 9",0322,181,129,310,1226,25.29%,123,123
"Judge, County Criminal Court No. 9",0323,278,211,489,1722,28.40%,253,253
"Judge, County Criminal Court No. 9",0324,532,646,1178,2336,50.43%,760,760
"Judge, County Criminal Court No. 9",0325,289,193,482,2112,22.82%,133,133
"Judge, County Criminal Court No. 9",0326,87,74,161,698,23.07%,94,94
"Judge, County Criminal Court No. 9",0327,380,129,509,1729,29.44%,37,37
"Judge, County Criminal Court No. 9",0328,151,140,291,1434,20.29%,154,154
"Judge, County Criminal Court No. 9",0329,189,184,373,1397,26.70%,170,170
"Judge, County Criminal Court No. 9",0330,334,253,587,1936,30.32%,363,363
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0331,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0332,18,7,25,138,18.12%,14,14
"Judge, County Criminal Court No. 9",0333,524,714,1238,3021,40.98%,915,915
"Judge, County Criminal Court No. 9",0334,83,42,125,742,16.85%,29,29
"Judge, County Criminal Court No. 9",0335,121,98,219,1300,16.85%,98,98
"Judge, County Criminal Court No. 9",0336,866,624,1490,4051,36.78%,289,289
"Judge, County Criminal Court No. 9",0337,124,103,227,1029,22.06%,58,58
