Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0199,812,661,1473,3216,45.80%,1115,309,26,10,0,1450
Governor,0200,962,536,1498,3382,44.29%,643,823,18,4,0,1455
Governor,0201,98,87,185,724,25.55%,3,179,1,1,0,154
Governor,0202,217,189,406,1464,27.73%,13,386,1,2,0,402
Governor,0203,107,68,175,960,18.23%,48,125,0,1,0,174
Governor,0204,817,784,1601,3487,45.91%,860,697,22,8,0,1587
Governor,0205,465,171,636,1664,38.22%,11,616,1,2,0,530
Governor,0206,364,462,826,2779,29.72%,233,567,12,6,0,818
Governor,0207,255,261,526,1188,44.28%,172,344,2,4,0,522
Governor,0208,322,262,584,2195,26.61%,188,382,5,1,0,575
Governor,0209,0,2,2,0,0.00%,2,0,0,0,0,2
Governor,0210,502,467,969,2533,38.26%,91,855,10,4,0,960
Governor,0211,307,386,693,2914,23.78%,279,376,13,4,0,572
Governor,0212,96,155,251,1300,19.31%,51,192,1,1,1,245
Governor,0213,525,913,1739,3350,51.91%,1343,380,9,0,0,1732
Governor,0214,404,491,895,1854,48.27%,520,355,12,3,0,890
Governor,0215,423,711,1134,2258,50.22%,609,495,19,4,0,1127
Governor,0216,362,223,585,1945,30.08%,42,527,3,0,0,572
Governor,0217,844,631,1475,2678,55.08%,888,563,11,1,0,1453
Governor,0218,392,402,794,2292,34.64%,249,513,11,5,1,779
Governor,0219,497,436,933,2767,33.72%,52,863,4,3,0,922
Governor,0220,325,187,512,2310,22.16%,376,120,1,6,0,503
Governor,0221,332,369,701,2529,27.72%,307,363,9,3,0,582
Governor,0222,623,674,1297,2501,51.86%,534,743,9,3,0,1289
Governor,0223,563,377,940,3582,26.24%,247,672,16,0,0,935
Governor,0224,531,456,987,2238,44.10%,427,537,8,4,0,975
Governor,0225,376,405,781,3305,23.63%,383,375,11,3,0,772
Governor,0226,227,307,534,2436,21.92%,136,378,8,1,0,523
Governor,0227,558,423,981,1785,54.96%,696,274,4,2,0,975
Governor,0228,362,195,557,1050,53.05%,20,526,3,2,0,551
Governor,0229,31,96,127,815,15.58%,57,61,2,1,0,121
Governor,0230,185,116,301,1089,27.64%,11,282,2,2,0,297
Governor,0231,233,264,497,2232,22.27%,136,346,3,4,0,489
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0232,361,474,835,1760,47.44%,440,384,7,2,0,833
Governor,0233,892,801,1693,4445,38.09%,735,919,28,3,0,1555
Governor,0234,1192,913,2105,3993,52.72%,1559,507,8,3,0,2077
Governor,0235,240,158,398,1356,29.35%,15,376,1,3,0,395
Governor,0236,354,235,589,2079,28.33%,15,559,2,5,0,581
Governor,0237,417,253,670,2161,31.00%,9,653,1,1,0,554
Governor,0238,340,245,585,1925,30.39%,17,553,3,3,0,575
Governor,0239,383,236,619,1964,31.52%,18,589,5,0,0,512
Governor,0240,585,243,828,2649,31.26%,13,798,1,2,0,514
Governor,0241,222,229,451,2372,19.01%,192,237,5,5,0,439
Governor,0242,173,162,335,1596,20.99%,197,123,7,4,0,331
Governor,0243,138,43,181,457,39.61%,2,177,0,1,0,180
Governor,0244,480,425,905,311,7,29.03%,496,383,13,2,1,895
Governor,0245,946,799,1745,5828,29.94%,1196,503,30,7,0,1735
Governor,0246,554,513,1197,3315,36.11%,852,322,13,0,0,1187
Governor,0247,173,254,427,1582,26.99%,16,407,2,0,0,425
Governor,0248,161,167,328,2100,15.62%,90,221,9,1,0,321
Governor,0249,461,348,809,2719,29.75%,563,230,3,2,1,799
Governor,0250,109,164,273,964,28.32%,7,255,3,1,0,266
Governor,0251,278,436,714,2089,34.18%,21,673,2,4,0,700
Governor,0252,504,312,816,2377,34.33%,18,782,4,1,0,505
Governor,0253,379,222,601,2177,27.61%,10,580,1,2,0,593
Governor,0254,93,112,205,1550,13.23%,64,134,3,1,0,202
Governor,0255,526,648,1174,2482,47.30%,499,651,17,0,0,1157
Governor,0256,575,449,1024,3254,31.47%,468,517,14,5,0,1004
Governor,0257,204,245,449,2523,17.80%,146,289,2,3,0,440
Governor,0258,840,500,1540,3322,49.37%,1168,443,19,2,0,1532
Governor,0259,555,382,1038,2361,43.96%,27,997,2,0,0,1025
Governor,0260,162,145,307,1260,24.37%,184,116,3,2,0,305
Governor,0261,124,120,244,1417,17.22%,98,133,2,5,0,238
Governor,0262,758,600,1358,4397,30.88%,817,486,34,6,0,1343
Governor,0263,858,712,1570,3693,42.51%,1180,352,27,1,0,1550
Governor,0264,482,457,939,2963,31.69%,576,340,10,6,0,932
