Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0753,55,73,128,259,49.42%,81,34,6,2,123
Railroad Commissioner,0754,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0755,442,584,1026,4294,23.89%,436,506,17,34,993
Railroad Commissioner,0756,251,177,428,1600,26.75%,170,236,9,2,417
Railroad Commissioner,0757,520,508,1028,4035,25.48%,172,804,9,18,1003
Railroad Commissioner,0758,1114,692,1806,4096,44.09%,1431,264,54,21,1770
Railroad Commissioner,0759,465,413,878,2730,32.16%,549,272,23,10,854
Railroad Commissioner,0760,1432,639,2071,4367,47.42%,1740,242,39,5,2026
Railroad Commissioner,0761,548,253,801,1550,51.68%,560,188,21,9,778
Railroad Commissioner,0762,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0763,108,146,254,1212,20.96%,99,129,10,10,248
Railroad Commissioner,0764,1133,774,1907,5217,36.55%,1188,622,43,16,1869
Railroad Commissioner,0765,648,426,1074,4055,26.49%,424,555,38,26,1043
Railroad Commissioner,0766,40,25,65,392,16.58%,16,42,2,2,62
Railroad Commissioner,0767,10,2,12,86,13.95%,6,6,0,0,12
Railroad Commissioner,0768,1359,1015,2374,5857,40.53%,1921,338,52,24,2335
Railroad Commissioner,0769,54,16,70,183,38.25%,4,62,0,1,67
Railroad Commissioner,0770,31,25,56,323,17.34%,24,29,2,1,56
Railroad Commissioner,0771,324,254,578,2426,23.83%,323,203,24,12,562
Railroad Commissioner,0772,1792,851,2643,5709,46.30%,2007,480,74,20,2581
Railroad Commissioner,0773,473,312,785,2918,26.90%,215,495,12,15,737
Railroad Commissioner,0774,30,41,71,378,18.78%,15,53,1,0,69
Railroad Commissioner,0775,18,3,21,92,22.83%,0,21,0,0,21
Railroad Commissioner,0776,551,496,1047,3053,34.29%,606,362,35,15,1018
Railroad Commissioner,0777,46,40,86,652,13.19%,31,51,0,3,85
Railroad Commissioner,0778,0,0,0,0,0.00%,0,0,0,0,0
