Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0268,435,717,1152,2493,46.21%,636,383,1019
"Judge, County Probate Court No. 3",0269,702,453,1155,2030,56.90%,865,218,1083
"Judge, County Probate Court No. 3",0270,817,672,1489,3605,41.30%,809,583,1392
"Judge, County Probate Court No. 3",0271,656,382,1038,2518,41.22%,24,1000,1024
"Judge, County Probate Court No. 3",0272,254,292,556,2162,25.72%,215,314,529
"Judge, County Probate Court No. 3",0273,548,689,1237,2470,50.08%,979,195,1174
"Judge, County Probate Court No. 3",0274,588,346,934,2153,43.38%,616,252,868
"Judge, County Probate Court No. 3",0275,207,236,443,1850,23.95%,104,323,427
"Judge, County Probate Court No. 3",0276,572,231,803,2536,31.66%,10,775,785
"Judge, County Probate Court No. 3",0277,170,186,356,1492,23.86%,163,173,336
"Judge, County Probate Court No. 3",0278,421,320,741,2454,30.20%,418,288,706
"Judge, County Probate Court No. 3",0279,250,223,473,1941,24.37%,280,171,451
"Judge, County Probate Court No. 3",0280,130,188,318,1524,20.87%,142,158,300
"Judge, County Probate Court No. 3",0281,655,742,1397,2633,53.06%,621,627,1248
"Judge, County Probate Court No. 3",0282,314,455,769,2042,37.66%,480,241,721
"Judge, County Probate Court No. 3",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0284,574,336,910,3172,28.69%,421,445,866
"Judge, County Probate Court No. 3",0285,448,378,826,2540,32.52%,75,718,793
"Judge, County Probate Court No. 3",0286,1255,821,2076,6170,33.65%,194,1807,2001
"Judge, County Probate Court No. 3",0287,370,477,847,1621,52.25%,398,390,788
"Judge, County Probate Court No. 3",0288,532,313,845,2210,38.24%,18,812,830
"Judge, County Probate Court No. 3",0289,186,212,398,1564,25.45%,203,173,376
"Judge, County Probate Court No. 3",0290,245,298,543,1642,33.07%,409,116,525
"Judge, County Probate Court No. 3",0291,325,235,560,1225,45.71%,275,246,521
"Judge, County Probate Court No. 3",0292,207,147,354,1356,26.11%,40,303,343
"Judge, County Probate Court No. 3",0293,356,447,803,1759,45.65%,357,388,745
"Judge, County Probate Court No. 3",0294,488,221,709,2097,33.81%,7,686,693
"Judge, County Probate Court No. 3",0295,148,103,251,885,28.36%,8,237,245
"Judge, County Probate Court No. 3",0296,327,340,667,1713,38.94%,379,233,612
"Judge, County Probate Court No. 3",0297,280,249,529,2012,26.29%,229,264,493
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0298,415,358,773,2121,36.45%,447,275,722
"Judge, County Probate Court No. 3",0299,178,117,295,1353,21.80%,114,157,271
"Judge, County Probate Court No. 3",0300,1389,1016,2405,5406,44.49%,1904,396,2300
"Judge, County Probate Court No. 3",0301,210,255,465,2352,19.77%,188,251,439
"Judge, County Probate Court No. 3",0302,353,343,696,2720,25.59%,410,262,672
"Judge, County Probate Court No. 3",0303,922,784,1706,3245,52.57%,1319,290,1609
"Judge, County Probate Court No. 3",0304,606,505,1111,2298,48.35%,598,416,1014
"Judge, County Probate Court No. 3",0305,524,432,956,4191,22.81%,403,524,927
"Judge, County Probate Court No. 3",0306,649,342,991,1879,52.74%,690,239,929
"Judge, County Probate Court No. 3",0307,733,670,1403,3099,45.27%,940,367,1307
"Judge, County Probate Court No. 3",0308,199,130,329,1296,25.39%,116,200,316
"Judge, County Probate Court No. 3",0309,708,593,1301,2524,51.55%,1005,210,1215
"Judge, County Probate Court No. 3",0310,386,279,665,1435,46.34%,441,177,618
"Judge, County Probate Court No. 3",0311,486,421,907,2986,30.38%,492,350,842
"Judge, County Probate Court No. 3",0312,742,457,1199,3636,32.98%,742,397,1139
"Judge, County Probate Court No. 3",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Probate Court No. 3",0314,1121,913,2034,5647,36.02%,1280,684,1964
"Judge, County Probate Court No. 3",0315,478,388,866,1608,53.86%,494,308,802
"Judge, County Probate Court No. 3",0316,412,341,753,1537,48.99%,377,322,699
"Judge, County Probate Court No. 3",0317,248,209,457,1588,28.78%,145,288,433
"Judge, County Probate Court No. 3",0318,834,568,1402,3660,38.31%,75,1279,1354
"Judge, County Probate Court No. 3",0319,512,230,742,2158,34.38%,44,672,716
"Judge, County Probate Court No. 3",0320,234,168,402,1537,26.15%,208,179,387
"Judge, County Probate Court No. 3",0321,262,191,453,2346,19.31%,171,258,429
"Judge, County Probate Court No. 3",0322,181,129,310,1226,25.29%,101,197,298
"Judge, County Probate Court No. 3",0323,278,211,489,1722,28.40%,229,229,458
