Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0199,812,661,1473,3216,45.80%,1133,275,1408
"Family District Judge, 311th Judicial District",0200,962,536,1498,3382,44.29%,626,770,1396
"Family District Judge, 311th Judicial District",0201,98,87,185,724,25.55%,3,178,181
"Family District Judge, 311th Judicial District",0202,217,189,406,1464,27.73%,12,388,400
"Family District Judge, 311th Judicial District",0203,107,68,175,960,18.23%,41,124,165
"Family District Judge, 311th Judicial District",0204,816,784,1600,3487,45.88%,865,618,1483
"Family District Judge, 311th Judicial District",0205,464,171,635,1664,38.16%,9,611,620
"Family District Judge, 311th Judicial District",0206,362,462,824,2779,29.65%,244,531,775
"Family District Judge, 311th Judicial District",0207,265,261,526,1188,44.28%,165,325,490
"Family District Judge, 311th Judicial District",0208,322,262,584,2195,26.61%,174,385,559
"Family District Judge, 311th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"Family District Judge, 311th Judicial District",0210,502,467,969,2533,38.26%,105,836,941
"Family District Judge, 311th Judicial District",0211,307,386,693,2914,23.78%,262,393,655
"Family District Judge, 311th Judicial District",0212,96,155,251,1300,19.31%,52,189,241
"Family District Judge, 311th Judicial District",0213,826,913,1739,3350,51.91%,1301,320,1621
"Family District Judge, 311th Judicial District",0214,404,491,895,1854,48.27%,541,292,833
"Family District Judge, 311th Judicial District",0215,421,711,1132,2258,50.13%,622,429,1051
"Family District Judge, 311th Judicial District",0216,362,223,585,1945,30.08%,42,530,572
"Family District Judge, 311th Judicial District",0217,844,631,1475,2678,55.08%,859,503,1362
"Family District Judge, 311th Judicial District",0218,391,402,793,2292,34.60%,244,488,732
"Family District Judge, 311th Judicial District",0219,496,436,932,2767,33.68%,44,850,894
"Family District Judge, 311th Judicial District",0220,325,187,512,2310,22.16%,369,128,497
"Family District Judge, 311th Judicial District",0221,332,369,701,2529,27.72%,305,357,662
"Family District Judge, 311th Judicial District",0222,623,674,1297,2501,51.86%,524,666,1190
"Family District Judge, 311th Judicial District",0223,563,377,940,3582,26.24%,247,634,881
"Family District Judge, 311th Judicial District",0224,530,456,986,2238,44.06%,422,488,910
"Family District Judge, 311th Judicial District",0225,376,405,781,3305,23.63%,391,360,751
"Family District Judge, 311th Judicial District",0226,227,307,534,2436,21.92%,139,368,507
"Family District Judge, 311th Judicial District",0227,558,423,981,1785,54.96%,655,240,895
"Family District Judge, 311th Judicial District",0228,362,195,557,1050,53.05%,22,516,538
"Family District Judge, 311th Judicial District",0229,31,96,127,815,15.58%,62,58,120
"Family District Judge, 311th Judicial District",0230,185,116,301,1089,27.64%,7,286,293
"Family District Judge, 311th Judicial District",0231,233,264,497,2232,22.27%,125,344,469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0232,361,474,835,1760,47.44%,425,351,776
"Family District Judge, 311th Judicial District",0233,890,801,1691,4445,38.04%,748,817,1565
"Family District Judge, 311th Judicial District",0234,1192,913,2105,3993,52.72%,1479,478,1957
"Family District Judge, 311th Judicial District",0235,240,158,398,1356,29.35%,12,376,388
"Family District Judge, 311th Judicial District",0236,354,235,589,2079,28.33%,20,558,578
"Family District Judge, 311th Judicial District",0237,416,253,669,2161,30.96%,13,644,657
"Family District Judge, 311th Judicial District",0238,339,245,584,1925,30.34%,16,552,568
"Family District Judge, 311th Judicial District",0239,383,236,619,1964,31.52%,21,586,607
"Family District Judge, 311th Judicial District",0240,585,243,828,2649,31.26%,15,794,809
"Family District Judge, 311th Judicial District",0241,222,229,451,2372,19.01%,183,246,429
"Family District Judge, 311th Judicial District",0242,173,162,335,1596,20.99%,196,124,320
"Family District Judge, 311th Judicial District",0243,138,43,181,457,39.61%,2,178,180
"Family District Judge, 311th Judicial District",0244,480,425,905,311,7,29.03%,500,364,864
"Family District Judge, 311th Judicial District",0245,946,799,1745,5828,29.94%,1225,482,1707
"Family District Judge, 311th Judicial District",0246,584,513,1197,3315,36.11%,852,310,1162
"Family District Judge, 311th Judicial District",0247,173,254,427,1582,26.99%,14,407,421
"Family District Judge, 311th Judicial District",0248,161,167,328,2100,15.62%,96,219,315
"Family District Judge, 311th Judicial District",0249,461,348,809,2719,29.75%,562,217,779
"Family District Judge, 311th Judicial District",0250,109,164,273,964,28.32%,10,259,269
"Family District Judge, 311th Judicial District",0251,278,436,714,2089,34.18%,28,673,701
"Family District Judge, 311th Judicial District",0252,504,312,816,2377,34.33%,12,786,798
"Family District Judge, 311th Judicial District",0253,379,222,601,2177,27.61%,10,578,588
"Family District Judge, 311th Judicial District",0254,93,112,205,1550,13.23%,68,127,195
"Family District Judge, 311th Judicial District",0255,525,648,1173,2482,47.26%,509,583,1092
"Family District Judge, 311th Judicial District",0256,575,449,1024,3254,31.47%,488,482,970
"Family District Judge, 311th Judicial District",0257,204,245,449,2523,17.80%,138,286,424
"Family District Judge, 311th Judicial District",0258,839,800,1539,3322,49.34%,1139,390,1529
"Family District Judge, 311th Judicial District",0259,555,382,1038,2361,43.96%,25,984,1009
"Family District Judge, 311th Judicial District",0260,162,145,307,1260,24.37%,179,108,287
"Family District Judge, 311th Judicial District",0261,124,120,244,1417,17.22%,105,130,235
"Family District Judge, 311th Judicial District",0262,758,600,1358,4397,30.88%,831,446,1277
"Family District Judge, 311th Judicial District",0263,858,712,1570,3693,42.51%,1191,322,1513
"Family District Judge, 311th Judicial District",0264,480,457,937,2963,31.62%,573,309,882
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0265,988,759,1747,3584,48.74%,1240,384,1624
"Family District Judge, 311th Judicial District",0266,259,257,516,2104,24.52%,262,225,487
"Family District Judge, 311th Judicial District",0267,146,166,312,1327,23.51%,166,125,291
"Family District Judge, 311th Judicial District",0268,435,717,1152,2493,46.21%,621,411,1032
"Family District Judge, 311th Judicial District",0269,702,453,1155,2030,56.90%,848,238,1086
"Family District Judge, 311th Judicial District",0270,817,672,1489,3605,41.30%,807,605,1412
"Family District Judge, 311th Judicial District",0271,656,382,1038,2518,41.22%,23,1005,1028
"Family District Judge, 311th Judicial District",0272,264,292,555,2162,25.72%,222,309,531
"Family District Judge, 311th Judicial District",0273,548,689,1237,2470,50.08%,969,211,1180
"Family District Judge, 311th Judicial District",0274,588,346,934,2153,43.38%,593,278,871
"Family District Judge, 311th Judicial District",0275,207,236,443,1850,23.95%,106,323,429
"Family District Judge, 311th Judicial District",0276,572,231,803,2536,31.66%,7,783,790
"Family District Judge, 311th Judicial District",0277,170,186,356,1492,23.86%,167,174,341
"Family District Judge, 311th Judicial District",0278,421,320,741,2454,30.20%,417,292,709
"Family District Judge, 311th Judicial District",0279,250,223,473,1941,24.37%,278,173,451
"Family District Judge, 311th Judicial District",0280,130,188,318,1524,20.87%,139,161,300
"Family District Judge, 311th Judicial District",0281,655,742,1397,2633,53.06%,610,653,1263
"Family District Judge, 311th Judicial District",0282,314,455,769,2042,37.66%,468,260,728
"Family District Judge, 311th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0284,574,336,910,3172,28.69%,420,447,867
"Family District Judge, 311th Judicial District",0285,448,378,826,2540,32.52%,78,721,799
"Family District Judge, 311th Judicial District",0286,1255,821,2076,6170,33.65%,192,1824,2016
"Family District Judge, 311th Judicial District",0287,370,477,847,1621,52.25%,395,403,798
"Family District Judge, 311th Judicial District",0288,532,313,845,2210,38.24%,20,812,832
"Family District Judge, 311th Judicial District",0289,186,212,398,1564,25.45%,199,175,374
"Family District Judge, 311th Judicial District",0290,245,298,543,1642,33.07%,409,117,526
"Family District Judge, 311th Judicial District",0291,325,235,560,1225,45.71%,273,251,524
"Family District Judge, 311th Judicial District",0292,207,147,354,1356,26.11%,42,304,346
"Family District Judge, 311th Judicial District",0293,356,447,803,1759,45.65%,354,390,744
"Family District Judge, 311th Judicial District",0294,488,221,709,2097,33.81%,9,685,694
"Family District Judge, 311th Judicial District",0295,148,103,251,885,28.36%,6,241,247
"Family District Judge, 311th Judicial District",0296,327,340,667,1713,38.94%,379,237,616
"Family District Judge, 311th Judicial District",0297,280,249,529,2012,26.29%,232,264,496
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0298,415,358,773,2121,36.45%,448,276,724
"Family District Judge, 311th Judicial District",0299,178,117,295,1353,21.80%,115,159,274
"Family District Judge, 311th Judicial District",0300,1389,1016,2405,5406,44.49%,1893,421,2314
"Family District Judge, 311th Judicial District",0301,210,255,465,2352,19.77%,188,251,439
"Family District Judge, 311th Judicial District",0302,353,343,696,2720,25.59%,404,264,668
"Family District Judge, 311th Judicial District",0303,922,784,1706,3245,52.57%,1304,310,1614
"Family District Judge, 311th Judicial District",0304,606,505,1111,2298,48.35%,568,463,1031
"Family District Judge, 311th Judicial District",0305,524,432,956,4191,22.81%,402,523,925
"Family District Judge, 311th Judicial District",0306,649,342,991,1879,52.74%,683,251,934
"Family District Judge, 311th Judicial District",0307,733,670,1403,3099,45.27%,938,386,1324
"Family District Judge, 311th Judicial District",0308,199,130,329,1296,25.39%,116,195,311
"Family District Judge, 311th Judicial District",0309,708,593,1301,2524,51.55%,997,225,1222
"Family District Judge, 311th Judicial District",0310,386,279,665,1435,46.34%,443,178,621
"Family District Judge, 311th Judicial District",0311,486,421,907,2986,30.38%,489,355,844
"Family District Judge, 311th Judicial District",0312,742,457,1199,3636,32.98%,749,398,1147
"Family District Judge, 311th Judicial District",0313,9,0,9,62,14.52%,7,1,8
"Family District Judge, 311th Judicial District",0314,1121,913,2034,5647,36.02%,1267,698,1965
"Family District Judge, 311th Judicial District",0315,478,388,866,1608,53.86%,482,328,810
"Family District Judge, 311th Judicial District",0316,412,341,753,1537,48.99%,370,329,699
