Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0279,251,223,474,1941,24.42%,293,166,7,1,467
Attorney General,0280,130,188,318,1524,20.87%,128,162,9,6,305
Attorney General,0281,655,742,1397,2633,53.06%,603,738,16,7,1364
Attorney General,0282,314,455,769,2042,37.66%,469,271,19,3,762
Attorney General,0283,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0284,574,335,910,3172,28.69%,405,451,19,10,885
Attorney General,0285,448,378,826,2540,32.52%,77,721,6,6,810
Attorney General,0286,1255,821,2076,6170,33.65%,191,1816,16,16,2039
Attorney General,0287,371,477,848,1621,52.31%,388,419,24,4,835
Attorney General,0288,532,313,845,2210,38.24%,19,807,1,10,837
Attorney General,0289,186,212,398,1564,25.45%,208,175,7,1,391
Attorney General,0290,245,298,543,1642,33.07%,403,127,8,4,542
Attorney General,0291,325,235,560,1225,45.71%,269,266,7,7,549
Attorney General,0292,207,147,354,1356,26.11%,45,298,2,1,346
Attorney General,0293,357,447,804,1759,45.71%,359,400,19,5,783
Attorney General,0294,488,221,709,2097,33.81%,11,676,4,6,697
Attorney General,0295,148,103,251,885,28.36%,5,238,1,4,248
Attorney General,0296,327,340,667,1713,38.94%,378,245,19,4,646
Attorney General,0297,280,249,529,2012,26.29%,230,270,9,6,515
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0298,415,358,773,2121,36.45%,441,286,21,7,755
Attorney General,0299,179,117,296,1353,21.88%,115,159,11,3,288
Attorney General,0300,1389,1016,2405,5406,44.49%,1895,443,33,6,2377
Attorney General,0301,210,255,465,2352,19.77%,188,246,8,5,447
Attorney General,0302,353,343,696,2720,25.59%,412,259,12,3,686
Attorney General,0303,924,784,1708,3245,52.63%,1288,357,31,9,1685
Attorney General,0304,606,505,1111,2298,48.35%,574,479,24,8,1085
Attorney General,0305,524,432,956,4191,22.81%,397,515,21,11,944
Attorney General,0306,550,342,992,1879,52.79%,693,266,15,5,979
Attorney General,0307,733,670,1403,3099,45.27%,915,417,39,15,1386
Attorney General,0308,199,130,329,1296,25.39%,111,199,10,5,325
Attorney General,0309,708,593,1301,2524,51.55%,1007,261,12,3,1283
Attorney General,0310,386,279,665,1435,46.34%,446,198,5,3,652
Attorney General,0311,485,421,907,2986,30.38%,475,366,16,11,868
Attorney General,0312,742,457,1199,3636,32.98%,734,415,25,7,1181
Attorney General,0313,9,0,9,62,14.52%,7,2,0,0,9
Attorney General,0314,1121,913,2034,5647,36.02%,1270,687,39,15,2011
Attorney General,0315,478,388,866,1608,53.86%,476,343,12,13,844
Attorney General,0316,412,341,753,1537,48.99%,371,349,12,7,739
Attorney General,0317,250,209,459,1588,28.90%,145,288,13,8,454
Attorney General,0318,834,568,1402,3660,38.31%,71,1298,7,9,1385
Attorney General,0319,512,230,742,2158,34.38%,45,667,2,12,726
Attorney General,0320,234,168,402,1537,26.15%,197,185,4,0,386
Attorney General,0321,262,191,453,2346,19.31%,170,255,5,10,440
Attorney General,0322,182,129,311,1226,25.37%,98,199,6,2,305
Attorney General,0323,278,211,489,1722,28.40%,226,231,10,5,472
Attorney General,0324,532,545,1178,2336,50.43%,710,419,25,3,1157
Attorney General,0325,289,193,482,2112,22.82%,105,355,7,7,474
Attorney General,0326,87,74,161,698,23.07%,78,73,4,2,157
Attorney General,0327,380,129,509,1729,29.44%,8,487,2,7,504
Attorney General,0328,151,140,291,1434,20.29%,120,148,9,5,282
Attorney General,0329,191,184,375,1397,26.84%,142,209,12,6,369
Attorney General,0330,334,253,587,1936,30.32%,328,227,14,3,572
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0331,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0332,18,7,25,138,18.12%,10,12,0,0,22
Attorney General,0333,524,714,1238,3021,40.98%,844,331,44,3,1222
Attorney General,0334,83,42,125,742,16.85%,21,100,1,1,123
Attorney General,0335,121,98,219,1300,16.85%,84,121,7,2,214
Attorney General,0336,870,624,1494,4051,36.88%,127,1313,19,15,1474
Attorney General,0337,124,103,227,1029,22.06%,38,171,4,1,214
Attorney General,0338,731,391,1122,4934,22.74%,385,653,16,11,1065
Attorney General,0339,202,222,424,1757,24.13%,96,295,11,7,409
Attorney General,0340,1038,594,1632,3765,43.35%,1212,353,36,11,1612
Attorney General,0341,91,167,258,1290,20.00%,81,158,5,5,249
Attorney General,0342,675,605,1280,6526,19.61%,220,1015,17,11,1263
Attorney General,0343,189,271,460,1964,23.42%,132,289,13,2,436
Attorney General,0344,154,172,326,1160,28.10%,13,302,3,0,318
Attorney General,0345,156,165,321,1804,17.79%,96,207,6,6,315
Attorney General,0346,0,1,1,3,33.33%,1,0,0,0,1
Attorney General,0347,592,436,1028,3387,30.35%,677,309,27,8,1021
