Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0268,435,717,1152,2493,46.21%,637,423,24,9,1093
Comptroller of Public Accounts,0269,702,453,1155,2030,56.90%,862,245,13,3,1123
Comptroller of Public Accounts,0270,819,672,1491,3605,41.36%,788,604,29,27,1448
Comptroller of Public Accounts,0271,656,382,1038,2518,41.22%,20,996,6,6,1028
Comptroller of Public Accounts,0272,264,292,555,2162,25.72%,203,295,30,13,541
Comptroller of Public Accounts,0273,548,689,1237,2470,50.08%,947,228,25,6,1206
Comptroller of Public Accounts,0274,588,346,934,2153,43.38%,600,268,24,10,902
Comptroller of Public Accounts,0275,207,236,443,1850,23.95%,107,321,5,4,437
Comptroller of Public Accounts,0276,572,231,803,2536,31.66%,6,775,7,4,792
Comptroller of Public Accounts,0277,170,186,356,1492,23.86%,165,171,10,4,350
Comptroller of Public Accounts,0278,421,320,741,2454,30.20%,398,311,11,3,723
Comptroller of Public Accounts,0279,251,223,474,1941,24.42%,274,173,16,3,466
Comptroller of Public Accounts,0280,130,188,318,1524,20.87%,126,167,12,3,308
Comptroller of Public Accounts,0281,655,742,1397,2633,53.06%,612,690,20,14,1336
Comptroller of Public Accounts,0282,314,455,769,2042,37.66%,467,260,23,3,753
Comptroller of Public Accounts,0283,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0284,574,335,910,3172,28.69%,402,449,21,12,884
Comptroller of Public Accounts,0285,448,378,826,2540,32.52%,72,725,7,5,809
Comptroller of Public Accounts,0286,1255,821,2076,6170,33.65%,184,1825,11,12,2032
Comptroller of Public Accounts,0287,371,477,848,1621,52.31%,389,410,21,6,826
Comptroller of Public Accounts,0288,532,313,845,2210,38.24%,13,810,5,9,837
Comptroller of Public Accounts,0289,186,212,398,1564,25.45%,197,171,11,7,386
Comptroller of Public Accounts,0290,245,298,543,1642,33.07%,403,122,11,5,541
Comptroller of Public Accounts,0291,325,235,560,1225,45.71%,264,266,7,7,544
Comptroller of Public Accounts,0292,207,147,354,1356,26.11%,41,303,5,0,349
Comptroller of Public Accounts,0293,357,447,804,1759,45.71%,354,400,21,11,786
