Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0422,731,402,1133,3345,33.87%,30,1087,1117
"Member, State Board of Education, District 4",0423,108,120,228,1376,16.57%,78,144,222
"Member, State Board of Education, District 4",0429,445,314,759,3197,23.74%,217,502,719
"Member, State Board of Education, District 4",0448,590,778,1388,3138,43.59%,745,543,1288
"Member, State Board of Education, District 4",0449,12,23,35,198,17.68%,3,32,35
"Member, State Board of Education, District 4",0450,435,328,763,2635,28.96%,236,503,739
"Member, State Board of Education, District 4",0453,231,262,493,1937,25.45%,202,272,474
"Member, State Board of Education, District 4",0454,594,248,842,2561,32.88%,13,815,828
"Member, State Board of Education, District 4",0455,387,165,532,1689,31.50%,21,504,525
"Member, State Board of Education, District 4",0457,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0458,471,237,708,1924,36.80%,37,655,692
"Member, State Board of Education, District 4",0460,554,331,885,2837,31.19%,242,625,867
"Member, State Board of Education, District 4",0462,874,619,1293,3384,38.21%,470,780,1250
"Member, State Board of Education, District 4",0467,213,189,402,1270,31.65%,99,292,391
"Member, State Board of Education, District 4",0468,352,443,795,3598,22.10%,259,506,765
"Member, State Board of Education, District 4",0475,189,267,456,1809,25.21,%,225,212,437
"Member, State Board of Education, District 4",0489,350,290,640,1893,33.81%,219,397,616
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0490,444,368,812,1975,41.11%,286,494,780
"Member, State Board of Education, District 4",0494,381,247,628,2467,25.46%,87,523,610
"Member, State Board of Education, District 4",0497,526,243,769,2257,34.07%,23,731,754
"Member, State Board of Education, District 4",0505,631,562,1193,3773,31.62%,546,590,1136
"Member, State Board of Education, District 4",0506,665,670,1335,3502,38.12%,242,1055,1297
"Member, State Board of Education, District 4",0511,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0520,473,457,930,4580,20.31%,170,737,907
"Member, State Board of Education, District 4",0525,707,482,1189,3091,38.47%,273,881,1154
"Member, State Board of Education, District 4",0526,68,84,152,780,19.49%,49,96,145
"Member, State Board of Education, District 4",0527,37,40,77,574,13.41%,45,30,75
"Member, State Board of Education, District 4",0528,14,12,26,90,28.89%,3,22,25
"Member, State Board of Education, District 4",0530,114,107,221,1196,18.48%,66,146,212
"Member, State Board of Education, District 4",0535,33,29,62,416,14.90%,32,29,61
"Member, State Board of Education, District 4",0536,554,780,1334,5139,25.96%,561,732,1293
"Member, State Board of Education, District 4",0538,204,160,364,1303,27.94%,8,348,356
"Member, State Board of Education, District 4",0540,378,316,694,1567,44.29%,256,387,643
"Member, State Board of Education, District 4",0541,784,505,1289,4599,28.03%,187,1059,1246
"Member, State Board of Education, District 4",0542,360,382,742,2557,29.02%,53,667,720
"Member, State Board of Education, District 4",0543,141,213,354,1565,22.62%,135,206,341
"Member, State Board of Education, District 4",0544,35,41,77,310,24.84%,11,65,76
"Member, State Board of Education, District 4",0549,343,418,761,2663,28.58%,114,627,741
"Member, State Board of Education, District 4",0550,501,431,932,3031,30.75%,532,376,908
"Member, State Board of Education, District 4",0554,261,199,460,1757,26.18%,99,330,429
"Member, State Board of Education, District 4",0555,225,277,502,2219,22.62%,109,377,486
"Member, State Board of Education, District 4",0556,276,186,462,2319,19.92%,143,303,446
"Member, State Board of Education, District 4",0560,72,131,203,1120,18.13%,67,126,193
"Member, State Board of Education, District 4",0562,113,68,181,694,26.08%,30,150,180
"Member, State Board of Education, District 4",0564,470,426,896,3155,28.40%,242,621,863
"Member, State Board of Education, District 4",0571,155,149,304,1827,16.64%,129,163,292
"Member, State Board of Education, District 4",0573,290,151,441,1619,27.24%,8,426,434
"Member, State Board of Education, District 4",0574,31,42,73,402,18.16%,11,62,73
"Member, State Board of Education, District 4",0576,485,318,803,2734,29.37%,28,758,786
"Member, State Board of Education, District 4",0578,409,538,947,1799,52.64%,563,344,907
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0579,75,101,176,1056,16.67%,36,136,172
"Member, State Board of Education, District 4",0580,179,118,297,1031,28.81%,3,285,288
"Member, State Board of Education, District 4",0581,212,174,386,1032,37.40%,7,370,377
"Member, State Board of Education, District 4",0582,258,171,429,1588,27.02%,24,399,423
"Member, State Board of Education, District 4",0583,225,131,356,1262,28.21%,11,337,348
"Member, State Board of Education, District 4",0584,182,93,275,1014,27.12%,14,257,271
"Member, State Board of Education, District 4",0585,417,172,589,2511,23.46%,19,563,582
"Member, State Board of Education, District 4",0587,436,284,720,2598,27.71%,283,420,703
"Member, State Board of Education, District 4",0591,183,231,414,2121,19.52%,138,261,399
"Member, State Board of Education, District 4",0594,561,326,887,2490,35.62%,260,607,867
"Member, State Board of Education, District 4",0595,201,178,379,1693,22.39%,76,295,371
"Member, State Board of Education, District 4",0599,850,578,1428,4950,28.85%,519,874,1393
"Member, State Board of Education, District 4",0605,907,556,1463,5582,26.21%,383,1054,1437
"Member, State Board of Education, District 4",0606,176,70,246,937,26.25%,6,236,242
"Member, State Board of Education, District 4",0607,62,51,113,728,15.52%,14,95,109
"Member, State Board of Education, District 4",0608,31,47,78,537,14.53%,42,30,72
"Member, State Board of Education, District 4",0611,495,242,737,2488,29.62%,24,699,723
"Member, State Board of Education, District 4",0613,186,204,390,1554,25.10%,65,319,384
"Member, State Board of Education, District 4",0627,346,322,668,3049,21.91%,246,393,639
"Member, State Board of Education, District 4",0629,37,53,90,696,12.93%,16,73,89
"Member, State Board of Education, District 4",0630,975,600,1575,3905,40.33%,116,1419,1535
"Member, State Board of Education, District 4",0632,7,4,11,343,3.21%,3,8,11
"Member, State Board of Education, District 4",0637,409,362,771,2512,30.69%,222,504,726
"Member, State Board of Education, District 4",0638,304,245,549,2204,24.91%,45,486,531
"Member, State Board of Education, District 4",0649,687,434,1121,4576,24.50%,382,682,1064
"Member, State Board of Education, District 4",0652,467,515,982,2815,34.88%,175,783,958
"Member, State Board of Education, District 4",0653,0,4,4,0,0.00%,0,4,4
"Member, State Board of Education, District 4",0656,579,393,972,2674,36.35%,41,909,950
"Member, State Board of Education, District 4",0657,246,172,418,1292,32.35%,177,230,407
"Member, State Board of Education, District 4",0660,950,825,1775,5372,33.04%,174,1570,1744
"Member, State Board of Education, District 4",0663,717,797,1514,3346,45.25%,756,678,1434
"Member, State Board of Education, District 4",0664,352,250,602,2869,20.98%,150,429,579
"Member, State Board of Education, District 4",0666,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0675,0,1,1,0,0.00%,1,0,1
"Member, State Board of Education, District 4",0676,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0677,127,127,254,1266,20.06%,96,144,240
"Member, State Board of Education, District 4",0680,21,14,35,162,21.60%,13,21,34
"Member, State Board of Education, District 4",0683,29,20,49,276,17.75%,10,35,45
