Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0265,988,759,1747,3584,48.74%,1362,279,1641
"District Judge, 190th Judicial District",0266,259,257,516,2104,24.52%,264,223,487
"District Judge, 190th Judicial District",0267,146,166,312,1327,23.51%,164,132,296
"District Judge, 190th Judicial District",0268,435,717,1152,2493,46.21%,703,343,1046
"District Judge, 190th Judicial District",0269,702,453,1155,2030,56.90%,936,155,1091
"District Judge, 190th Judicial District",0270,817,672,1489,3605,41.30%,842,563,1405
"District Judge, 190th Judicial District",0271,656,382,1038,2518,41.22%,28,996,1024
"District Judge, 190th Judicial District",0272,264,292,555,2162,25.72%,220,311,531
"District Judge, 190th Judicial District",0273,548,689,1237,2470,50.08%,1032,149,1181
"District Judge, 190th Judicial District",0274,588,346,934,2153,43.38%,659,210,869
"District Judge, 190th Judicial District",0275,207,236,443,1850,23.95%,110,321,431
"District Judge, 190th Judicial District",0276,572,231,803,2536,31.66%,14,776,790
"District Judge, 190th Judicial District",0277,170,186,356,1492,23.86%,174,169,343
"District Judge, 190th Judicial District",0278,421,320,741,2454,30.20%,419,297,716
"District Judge, 190th Judicial District",0279,250,223,473,1941,24.37%,286,167,453
"District Judge, 190th Judicial District",0280,130,188,318,1524,20.87%,136,162,298
"District Judge, 190th Judicial District",0281,655,742,1397,2633,53.06%,741,519,1260
"District Judge, 190th Judicial District",0282,314,455,769,2042,37.66%,510,217,727
"District Judge, 190th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 190th Judicial District",0284,574,336,910,3172,28.69%,424,443,867
"District Judge, 190th Judicial District",0285,448,378,826,2540,32.52%,77,723,800
"District Judge, 190th Judicial District",0286,1255,821,2076,6170,33.65%,195,1823,2018
"District Judge, 190th Judicial District",0287,370,477,847,1621,52.25%,424,372,796
"District Judge, 190th Judicial District",0288,532,313,845,2210,38.24%,18,813,831
"District Judge, 190th Judicial District",0289,186,212,398,1564,25.45%,200,180,380
"District Judge, 190th Judicial District",0290,245,298,543,1642,33.07%,409,119,528
"District Judge, 190th Judicial District",0291,325,235,560,1225,45.71%,303,228,531
"District Judge, 190th Judicial District",0292,207,147,354,1356,26.11%,43,302,345
"District Judge, 190th Judicial District",0293,356,447,803,1759,45.65%,387,359,746
"District Judge, 190th Judicial District",0294,488,221,709,2097,33.81%,13,679,692
"District Judge, 190th Judicial District",0295,148,103,251,885,28.36%,8,238,246
"District Judge, 190th Judicial District",0296,327,340,667,1713,38.94%,393,225,618
"District Judge, 190th Judicial District",0297,280,249,529,2012,26.29%,248,254,502
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0298,415,358,773,2121,36.45%,471,256,727
"District Judge, 190th Judicial District",0299,178,117,295,1353,21.80%,116,159,275
"District Judge, 190th Judicial District",0300,1389,1016,2405,5406,44.49%,1931,381,2312
"District Judge, 190th Judicial District",0301,210,255,465,2352,19.77%,187,252,439
