Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0220,325,187,512,2310,22.16%,369,128,497
"District Judge, 184th Judicial District",0221,332,369,701,2529,27.72%,309,346,655
"District Judge, 184th Judicial District",0222,623,674,1297,2501,51.86%,552,637,1189
"District Judge, 184th Judicial District",0223,563,377,940,3582,26.24%,258,626,884
"District Judge, 184th Judicial District",0224,530,456,986,2238,44.06%,443,472,915
"District Judge, 184th Judicial District",0225,376,405,781,3305,23.63%,393,360,753
"District Judge, 184th Judicial District",0226,227,307,534,2436,21.92%,139,367,506
"District Judge, 184th Judicial District",0227,558,423,981,1785,54.96%,681,221,902
"District Judge, 184th Judicial District",0228,362,195,557,1050,53.05%,28,505,533
"District Judge, 184th Judicial District",0229,31,96,127,815,15.58%,58,62,120
"District Judge, 184th Judicial District",0230,185,116,301,1089,27.64%,7,287,294
"District Judge, 184th Judicial District",0231,233,264,497,2232,22.27%,133,335,468
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0232,351,474,835,1760,47.44%,439,334,773
"District Judge, 184th Judicial District",0233,890,801,1691,4445,38.04%,791,761,1552
"District Judge, 184th Judicial District",0234,1192,913,2105,3993,52.72%,1522,442,1964
"District Judge, 184th Judicial District",0235,240,158,398,1356,29.35%,12,374,386
"District Judge, 184th Judicial District",0236,354,235,589,2079,28.33%,13,564,577
"District Judge, 184th Judicial District",0237,415,253,669,2161,30.96%,13,643,656
"District Judge, 184th Judicial District",0238,339,245,584,1925,30.34%,15,552,567
"District Judge, 184th Judicial District",0239,383,236,619,1964,31.52%,22,587,609
"District Judge, 184th Judicial District",0240,585,243,828,2649,31.26%,26,785,811
"District Judge, 184th Judicial District",0241,222,229,451,2372,19.01%,189,245,434
"District Judge, 184th Judicial District",0242,173,162,335,1596,20.99%,200,119,319
"District Judge, 184th Judicial District",0243,138,43,181,457,39.61%,1,179,180
"District Judge, 184th Judicial District",0244,480,425,905,3117,29.03%,510,352,862
"District Judge, 184th Judicial District",0245,945,799,1745,5828,29.94%,1227,479,1706
"District Judge, 184th Judicial District",0246,584,513,1197,3315,36.11%,851,308,1159
"District Judge, 184th Judicial District",0247,173,254,427,1582,26.99%,15,404,419
"District Judge, 184th Judicial District",0248,161,167,328,2100,15.62%,96,218,314
"District Judge, 184th Judicial District",0249,461,348,809,2719,29.75%,564,217,781
"District Judge, 184th Judicial District",0250,109,164,273,964,28.32%,9,260,269
"District Judge, 184th Judicial District",0251,278,436,714,2089,34.18%,22,680,702
"District Judge, 184th Judicial District",0252,504,312,816,2377,34.33%,14,785,799
"District Judge, 184th Judicial District",0253,379,222,601,2177,27.61%,10,577,587
"District Judge, 184th Judicial District",0254,93,112,205,1550,13.23%,68,127,195
"District Judge, 184th Judicial District",0255,525,648,1173,2482,47.26%,528,566,1094
"District Judge, 184th Judicial District",0256,575,449,1024,3254,31.47%,481,487,968
"District Judge, 184th Judicial District",0257,204,245,449,2523,17.80%,130,293,423
"District Judge, 184th Judicial District",0258,839,800,1539,3322,49.34%,1166,367,1533
"District Judge, 184th Judicial District",0259,555,382,1038,2361,43.96%,29,981,1010
"District Judge, 184th Judicial District",0260,152,145,307,1260,24.37%,184,102,286
"District Judge, 184th Judicial District",0261,124,120,244,1417,17.22%,101,133,234
"District Judge, 184th Judicial District",0262,758,600,1358,4397,30.88%,835,446,1281
"District Judge, 184th Judicial District",0263,858,712,1570,3693,42.51%,1201,314,1515
"District Judge, 184th Judicial District",0264,480,457,937,2963,31.62%,577,303,880
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0265,988,759,1747,3584,48.74%,1264,366,1630
"District Judge, 184th Judicial District",0266,259,257,516,2104,24.52%,254,232,486
"District Judge, 184th Judicial District",0267,146,166,312,1327,23.51%,164,129,293
"District Judge, 184th Judicial District",0268,435,717,1152,2493,46.21%,653,382,1035
"District Judge, 184th Judicial District",0269,702,453,1155,2030,56.90%,880,205,1085
"District Judge, 184th Judicial District",0270,817,672,1489,3605,41.30%,824,584,1408
"District Judge, 184th Judicial District",0271,656,382,1038,2518,41.22%,26,999,1025
"District Judge, 184th Judicial District",0272,264,292,555,2162,25.72%,227,306,533
"District Judge, 184th Judicial District",0273,548,689,1237,2470,50.08%,981,192,1173
"District Judge, 184th Judicial District",0274,588,346,934,2153,43.38%,616,250,866
"District Judge, 184th Judicial District",0275,207,236,443,1850,23.95%,105,324,429
"District Judge, 184th Judicial District",0276,572,231,803,2536,31.66%,8,783,791
