Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0238,340,245,585,1925,30.39%,17,549,6,2,574
Commissioner of the General Land Office,0239,383,236,619,1964,31.52%,16,584,6,3,609
Commissioner of the General Land Office,0240,585,243,828,2649,31.26%,18,786,1,5,810
Commissioner of the General Land Office,0241,222,229,451,2372,19.01%,196,228,6,7,437
Commissioner of the General Land Office,0242,173,162,335,1596,20.99%,202,112,6,5,325
Commissioner of the General Land Office,0243,138,43,181,457,39.61%,1,177,0,2,180
Commissioner of the General Land Office,0244,480,425,905,3117,29.03%,511,337,19,17,884
Commissioner of the General Land Office,0245,946,799,1745,5828,29.94%,1201,445,53,24,1723
Commissioner of the General Land Office,0246,684,513,1197,3315,36.11%,859,295,26,6,1186
Commissioner of the General Land Office,0247,173,254,427,1582,26.99%,14,399,5,4,422
Commissioner of the General Land Office,0248,161,167,328,2100,15.62%,95,211,10,2,318
Commissioner of the General Land Office,0249,461,348,809,2719,29.75%,570,202,17,8,797
Commissioner of the General Land Office,0250,109,164,273,964,28.32%,11,255,1,2,269
Commissioner of the General Land Office,0251,278,436,714,2089,34.18%,22,676,1,5,704
Commissioner of the General Land Office,0252,504,312,816,2377,34.33%,13,783,4,1,801
Commissioner of the General Land Office,0253,379,222,601,2177,27.61%,6,581,1,2,590
Commissioner of the General Land Office,0254,93,112,205,1550,13.23%,65,128,4,2,199
Commissioner of the General Land Office,0255,526,648,1174,2482,47.30%,576,535,21,17,1149
Commissioner of the General Land Office,0256,575,449,1024,3254,31.47%,488,461,21,17,987
Commissioner of the General Land Office,0257,204,245,449,2523,17.80%,143,278,5,6,432
Commissioner of the General Land Office,0258,840,800,1640,3322,49.37%,1259,301,33,16,1609
Commissioner of the General Land Office,0259,656,382,1038,2361,43.96%,33,975,4,12,1024
Commissioner of the General Land Office,0260,162,145,307,1260,24.37%,188,102,4,6,300
Commissioner of the General Land Office,0261,124,120,244,1417,17.22%,105,128,2,3,238
Commissioner of the General Land Office,0262,758,600,1358,4397,30.88%,852,403,42,24,1321
Commissioner of the General Land Office,0263,858,712,1570,3693,42.51%,1205,303,29,11,1548
Commissioner of the General Land Office,0264,482,457,939,2963,31.69%,610,274,24,17,925
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0265,988,759,1747,3584,48.74%,1374,292,31,8,1705
