Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0412,74,44,118,468,25.21%,6,106,112
County Clerk,0413,767,386,1153,2992,38.54%,460,652,1112
County Clerk,0414,654,480,1134,3453,32.84%,877,217,1094
County Clerk,0415,539,598,1137,2203,51.61%,768,323,1091
County Clerk,0416,538,558,1096,3791,28.91%,609,450,1059
County Clerk,0417,353,385,738,2448,30.15%,373,338,711
County Clerk,0418,403,469,872,3584,24.33%,361,470,831
County Clerk,0419,571,324,895,2658,33.67%,601,263,864
County Clerk,0420,1036,874,1910,4762,40.11%,1559,283,1842
County Clerk,0421,35,37,73,410,17.80%,25,44,69
County Clerk,0422,731,402,1133,3345,33.87%,30,1085,1115
County Clerk,0423,108,120,228,1376,16.57%,78,142,220
County Clerk,0424,240,111,351,967,36.30%,215,120,335
County Clerk,0425,107,123,230,883,26.05%,92,131,223
County Clerk,0426,260,183,443,1218,36.37%,267,156,423
