Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0302,353,343,696,2720,25.59%,401,269,670
"Judge, County Court at Law No. 2",0303,922,784,1706,3245,52.57%,1395,222,1617
"Judge, County Court at Law No. 2",0304,606,505,1111,2298,48.35%,671,366,1037
"Judge, County Court at Law No. 2",0305,524,432,956,4191,22.81%,409,517,926
"Judge, County Court at Law No. 2",0306,649,342,991,1879,52.74%,740,195,935
"Judge, County Court at Law No. 2",0307,733,670,1403,3099,45.27%,983,334,1317
"Judge, County Court at Law No. 2",0308,199,130,329,1296,25.39%,113,200,313
"Judge, County Court at Law No. 2",0309,708,593,1301,2524,51.55%,1068,167,1235
"Judge, County Court at Law No. 2",0310,386,279,665,1435,46.34%,462,159,621
"Judge, County Court at Law No. 2",0311,486,421,907,2986,30.38%,537,323,860
"Judge, County Court at Law No. 2",0312,742,457,1199,3636,32.98%,808,337,1145
"Judge, County Court at Law No. 2",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Court at Law No. 2",0314,1121,913,2034,5647,36.02%,1294,670,1964
"Judge, County Court at Law No. 2",0315,478,388,866,1608,53.86%,529,282,811
"Judge, County Court at Law No. 2",0316,412,341,753,1537,48.99%,440,256,696
"Judge, County Court at Law No. 2",0317,248,209,457,1588,28.78%,153,283,436
"Judge, County Court at Law No. 2",0318,834,568,1402,3660,38.31%,79,1275,1354
"Judge, County Court at Law No. 2",0319,512,230,742,2158,34.38%,47,669,716
"Judge, County Court at Law No. 2",0320,234,168,402,1537,26.15%,201,180,381
"Judge, County Court at Law No. 2",0321,262,191,453,2346,19.31%,168,258,426
"Judge, County Court at Law No. 2",0322,181,129,310,1226,25.29%,104,194,298
"Judge, County Court at Law No. 2",0323,278,211,489,1722,28.40%,237,221,458
"Judge, County Court at Law No. 2",0324,532,646,1178,2336,50.43%,748,339,1087
"Judge, County Court at Law No. 2",0325,289,193,482,2112,22.82%,113,348,461
"Judge, County Court at Law No. 2",0326,87,74,161,698,23.07%,78,75,153
"Judge, County Court at Law No. 2",0327,380,129,509,1729,29.44%,13,479,492
"Judge, County Court at Law No. 2",0328,151,140,291,1434,20.29%,131,146,277
"Judge, County Court at Law No. 2",0329,189,184,373,1397,26.70%,152,202,354
"Judge, County Court at Law No. 2",0330,334,253,587,1936,30.32%,345,215,560
"Judge, County Court at Law No. 2",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0332,18,7,25,138,18.12%,15,8,23
"Judge, County Court at Law No. 2",0333,524,714,1238,3021,40.98%,870,303,1173
"Judge, County Court at Law No. 2",0334,83,42,125,742,16.85%,23,99,122
"Judge, County Court at Law No. 2",0335,121,98,219,1300,16.85%,88,118,206
"Judge, County Court at Law No. 2",0336,866,624,1490,4051,36.78%,144,1306,1450
"Judge, County Court at Law No. 2",0337,124,103,227,1029,22.06%,44,169,213
"Judge, County Court at Law No. 2",0338,730,391,1121,4934,22.72%,406,645,1051
"Judge, County Court at Law No. 2",0339,202,222,424,1757,24.13%,101,293,394
"Judge, County Court at Law No. 2",0340,1038,594,1632,3765,43.35%,1235,316,1551
"Judge, County Court at Law No. 2",0341,91,167,258,1290,20.00%,92,158,250
"Judge, County Court at Law No. 2",0342,675,605,1280,6526,19.61%,221,1025,1246
