Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0257,204,245,449,2523,17.80%,133,292,425
"District Judge, 280th Judicial District",0258,839,800,1539,3322,49.34%,1154,379,1533
"District Judge, 280th Judicial District",0259,555,382,1038,2361,43.96%,30,983,1013
"District Judge, 280th Judicial District",0260,162,145,307,1260,24.37%,180,107,287
"District Judge, 280th Judicial District",0261,124,120,244,1417,17.22%,104,130,234
"District Judge, 280th Judicial District",0262,758,600,1358,4397,30.88%,830,444,1274
"District Judge, 280th Judicial District",0263,858,712,1570,3693,42.51%,1190,324,1514
"District Judge, 280th Judicial District",0264,480,457,937,2963,31.62%,567,313,880
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0265,988,759,1747,3584,48.74%,1273,356,1629
"District Judge, 280th Judicial District",0266,259,257,516,2104,24.52%,254,233,487
"District Judge, 280th Judicial District",0267,146,166,312,1327,23.51%,163,130,293
"District Judge, 280th Judicial District",0268,435,717,1152,2493,46.21%,642,398,1040
"District Judge, 280th Judicial District",0269,702,453,1155,2030,56.90%,877,214,1091
"District Judge, 280th Judicial District",0270,817,672,1489,3605,41.30%,801,606,1407
"District Judge, 280th Judicial District",0271,656,382,1038,2518,41.22%,25,1000,1025
"District Judge, 280th Judicial District",0272,264,292,555,2162,25.72%,217,312,529
"District Judge, 280th Judicial District",0273,548,689,1237,2470,50.08%,973,200,1173
"District Judge, 280th Judicial District",0274,588,346,934,2153,43.38%,616,256,872
"District Judge, 280th Judicial District",0275,207,236,443,1850,23.95%,108,322,430
"District Judge, 280th Judicial District",0276,572,231,803,2536,31.66%,11,778,789
"District Judge, 280th Judicial District",0277,170,186,356,1492,23.86%,163,178,341
"District Judge, 280th Judicial District",0278,421,320,741,2454,30.20%,405,303,708
"District Judge, 280th Judicial District",0279,250,223,473,1941,24.37%,281,169,450
"District Judge, 280th Judicial District",0280,130,188,318,1524,20.87%,129,169,298
"District Judge, 280th Judicial District",0281,655,742,1397,2633,53.06%,626,639,1265
"District Judge, 280th Judicial District",0282,314,455,769,2042,37.66%,478,250,728
"District Judge, 280th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 280th Judicial District",0284,574,336,910,3172,28.69%,425,444,869
"District Judge, 280th Judicial District",0285,448,378,826,2540,32.52%,78,722,800
"District Judge, 280th Judicial District",0286,1255,821,2076,6170,33.65%,191,1820,2011
"District Judge, 280th Judicial District",0287,370,477,847,1621,52.25%,397,398,795
"District Judge, 280th Judicial District",0288,532,313,845,2210,38.24%,16,816,832
"District Judge, 280th Judicial District",0289,186,212,398,1564,25.45%,197,179,376
"District Judge, 280th Judicial District",0290,245,298,543,1642,33.07%,404,120,524
"District Judge, 280th Judicial District",0291,325,235,560,1225,45.71%,273,256,529
"District Judge, 280th Judicial District",0292,207,147,354,1356,26.11%,40,307,347
"District Judge, 280th Judicial District",0293,356,447,803,1759,45.65%,358,389,747
"District Judge, 280th Judicial District",0294,488,221,709,2097,33.81%,9,686,695
"District Judge, 280th Judicial District",0295,148,103,251,885,28.36%,9,238,247
"District Judge, 280th Judicial District",0296,327,340,667,1713,38.94%,375,247,622
"District Judge, 280th Judicial District",0297,280,249,529,2012,26.29%,227,266,493
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0298,415,358,773,2121,36.45%,449,280,729
"District Judge, 280th Judicial District",0299,178,117,295,1353,21.80%,112,162,274
"District Judge, 280th Judicial District",0300,1389,1016,2405,5406,44.49%,1889,418,2307
"District Judge, 280th Judicial District",0301,210,255,465,2352,19.77%,186,255,441
"District Judge, 280th Judicial District",0302,353,343,696,2720,25.59%,400,270,670
"District Judge, 280th Judicial District",0303,922,784,1706,3245,52.57%,1335,292,1627
"District Judge, 280th Judicial District",0304,606,505,1111,2298,48.35%,591,448,1039
"District Judge, 280th Judicial District",0305,524,432,956,4191,22.81%,400,526,926
"District Judge, 280th Judicial District",0306,649,342,991,1879,52.74%,686,246,932
"District Judge, 280th Judicial District",0307,733,670,1403,3099,45.27%,937,387,1324
"District Judge, 280th Judicial District",0308,199,130,329,1296,25.39%,114,198,312
"District Judge, 280th Judicial District",0309,708,593,1301,2524,51.55%,1002,220,1222
"District Judge, 280th Judicial District",0310,386,279,665,1435,46.34%,441,178,619
"District Judge, 280th Judicial District",0311,486,421,907,2986,30.38%,485,358,843
"District Judge, 280th Judicial District",0312,742,457,1199,3636,32.98%,748,396,1144
"District Judge, 280th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 280th Judicial District",0314,1121,913,2034,5647,36.02%,1277,693,1970
"District Judge, 280th Judicial District",0315,478,388,866,1608,53.86%,489,323,812
"District Judge, 280th Judicial District",0316,412,341,753,1537,48.99%,382,317,699
"District Judge, 280th Judicial District",0317,248,209,457,1588,28.78%,145,289,434
"District Judge, 280th Judicial District",0318,834,568,1402,3660,38.31%,70,1289,1359
"District Judge, 280th Judicial District",0319,512,230,742,2158,34.38%,45,675,720
"District Judge, 280th Judicial District",0320,234,168,402,1537,26.15%,205,182,387
"District Judge, 280th Judicial District",0321,262,191,453,2346,19.31%,164,263,427
"District Judge, 280th Judicial District",0322,181,129,310,1226,25.29%,101,197,298
"District Judge, 280th Judicial District",0323,278,211,489,1722,28.40%,228,230,458
"District Judge, 280th Judicial District",0324,532,646,1178,2336,50.43%,715,373,1088
"District Judge, 280th Judicial District",0325,289,193,482,2112,22.82%,104,358,462
"District Judge, 280th Judicial District",0326,87,74,161,698,23.07%,80,72,152
"District Judge, 280th Judicial District",0327,380,129,509,1729,29.44%,9,486,495
"District Judge, 280th Judicial District",0328,151,140,291,1434,20.29%,127,151,278
"District Judge, 280th Judicial District",0329,189,184,373,1397,26.70%,146,209,355
"District Judge, 280th Judicial District",0330,334,253,587,1936,30.32%,324,230,554
