Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0284,574,336,910,3172,28.69%,416,448,864
"Judge, County Criminal Court No. 8",0285,448,378,826,2540,32.52%,72,726,798
"Judge, County Criminal Court No. 8",0286,1255,821,2076,6170,33.65%,187,1818,2005
"Judge, County Criminal Court No. 8",0287,370,477,847,1621,52.25%,410,376,786
"Judge, County Criminal Court No. 8",0288,532,313,845,2210,38.24%,18,810,828
"Judge, County Criminal Court No. 8",0289,186,212,398,1564,25.45%,200,176,376
"Judge, County Criminal Court No. 8",0290,245,298,543,1642,33.07%,409,116,525
"Judge, County Criminal Court No. 8",0291,325,235,560,1225,45.71%,278,242,520
"Judge, County Criminal Court No. 8",0292,207,147,354,1356,26.11%,40,303,343
"Judge, County Criminal Court No. 8",0293,356,447,803,1759,45.65%,374,373,747
"Judge, County Criminal Court No. 8",0294,488,221,709,2097,33.81%,6,686,692
"Judge, County Criminal Court No. 8",0295,148,103,251,885,28.36%,7,239,246
"Judge, County Criminal Court No. 8",0296,327,340,667,1713,38.94%,380,229,609
"Judge, County Criminal Court No. 8",0297,280,249,529,2012,26.29%,232,260,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0298,415,358,773,2121,36.45%,449,273,722
"Judge, County Criminal Court No. 8",0299,178,117,295,1353,21.80%,117,156,273
"Judge, County Criminal Court No. 8",0300,1389,1016,2405,5406,44.49%,1908,394,2302
"Judge, County Criminal Court No. 8",0301,210,255,465,2352,19.77%,182,259,441
"Judge, County Criminal Court No. 8",0302,353,343,696,2720,25.59%,396,273,669
"Judge, County Criminal Court No. 8",0303,922,784,1706,3245,52.57%,1370,244,1614
"Judge, County Criminal Court No. 8",0304,606,505,1111,2298,48.35%,623,401,1024
"Judge, County Criminal Court No. 8",0305,524,432,956,4191,22.81%,402,525,927
"Judge, County Criminal Court No. 8",0306,649,342,991,1879,52.74%,718,214,932
"Judge, County Criminal Court No. 8",0307,733,670,1403,3099,45.27%,947,368,1315
"Judge, County Criminal Court No. 8",0308,199,130,329,1296,25.39%,112,204,316
"Judge, County Criminal Court No. 8",0309,708,593,1301,2524,51.55%,1033,183,1216
"Judge, County Criminal Court No. 8",0310,386,279,665,1435,46.34%,444,171,615
"Judge, County Criminal Court No. 8",0311,486,421,907,2986,30.38%,493,351,844
"Judge, County Criminal Court No. 8",0312,742,457,1199,3636,32.98%,787,357,1144
"Judge, County Criminal Court No. 8",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Criminal Court No. 8",0314,1121,913,2034,5647,36.02%,1281,686,1967
"Judge, County Criminal Court No. 8",0315,478,388,866,1608,53.86%,513,292,805
"Judge, County Criminal Court No. 8",0316,412,341,753,1537,48.99%,419,274,693
"Judge, County Criminal Court No. 8",0317,248,209,457,1588,28.78%,141,294,435
