Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0205,858,201,1057,1887,83.41%,22,994,4,5,1025
Railroad Commissioner,0208,e52,859,1311,2882,49.25%,399,759,37,51,1248
Railroad Commissioner,0207,410,310,720,1144,82.94%,248,393,14,20,875
Railroad Commissioner,0208,808,384,1172,2201,53.25%,300,782,10,22,1114
Railroad Commissioner,0209,0,4,4,0,0.00%,4,0,0,0,4
Railroad Commissioner,0210,1018,542,1580,2300,87.83%,184,1281,19,35,1499
Railroad Commissioner,0211,710,888,1398,2797,49.91%,474,779,18,37,1308
Railroad Commissioner,0212,219,314,533,1288,42.10%,92,398,8,8,504
Railroad Commissioner,0213,1803,939,2542,3308,78.84%,2034,384,33,18,2449
Railroad Commissioner,0214,800,544,1344,1795,74.87%,834,358,38,31,1281
Railroad Commissioner,0215,845,788,1831,2188,75.23%,1000,459,48,32,1537
Railroad Commissioner,0218,784,320,1104,1917,57.59%,77,985,8,7,1077
Railroad Commissioner,0217,1399,851,2050,2837,77.74%,1384,502,32,27,1945
Railroad Commissioner,0218,890,808,1298,2274,57.08%,371,777,28,38,1212
Railroad Commissioner,0219,1119,587,1708,2854,84.28%,128,1455,17,31,1829
Railroad Commissioner,0220,711,353,1084,2380,45.08%,722,281,15,19,1017
Railroad Commissioner,0221,700,811,1311,2489,52.87%,515,882,20,38,1233
Railroad Commissioner,0222,1001,792,1793,2384,75.21%,925,892,31,41,1889
Railroad Commissioner,0223,1381,780,2121,3528,80.12%,807,1270,85,59,2001
Railroad Commissioner,0224,898,849,1547,2259,88.48%,748,848,28,34,1452
Railroad Commissioner,0225,1113,720,1833,3155,58.10%,771,988,28,17,1782
Railroad Commissioner,0228,529,545,1074,2393,44.88%,215,747,13,19,994
Railroad Commissioner,0227,949,451,1400,1787,79.23%,1093,212,18,12,1335
Railroad Commissioner,0228,584,185,749,1073,89.80%,33,879,4,9,725
Railroad Commissioner,0229,152,207,359,811,44.27%,103,234,1,8,348
Railroad Commissioner,0230,421,153,574,1098,52.37%,10,533,3,4,550
Railroad Commissioner,0231,583,471,1034,2219,48.80%,235,898,15,31,979
Railroad Commissioner,0232,888,548,1232,1898,72.84%,730,388,18,19,1151
Railroad Commissioner,0233,1835,1083,2898,4132,70.14%,1490,1080,89,88,2725
Railroad Commissioner,0234,2093,885,2978,3854,77.27%,2328,453,42,20,2843
Railroad Commissioner,0235,488,242,708,1305,54.25%,23,882,3,4,892
Railroad Commissioner,0238,779,342,1121,2144,52.29%,28,1044,4,4,1080
Railroad Commissioner,0237,793,441,1234,2181,58.58%,18,1180,5,7,1210
Railroad Commissioner,0238,841,422,1083,1901,55.92%,18,998,9,8,1031
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0239,765,357,1122,1997,56.18%,30,1054,4,5,1093
Railroad Commissioner,0240,1158,402,1560,2688,58.04%,13,1483,8,11,1515
Railroad Commissioner,0241,494,479,973,2296,42.38%,363,533,11,22,929
Railroad Commissioner,0242,363,323,686,1570,43.69%,346,286,11,17,660
Railroad Commissioner,0243,254,50,304,452,67.26%,4,290,1,2,297
Railroad Commissioner,0244,1102,656,1758,2912,60.37%,895,746,31,30,1702
Railroad Commissioner,0245,2344,1115,3459,5240,66.01%,2270,978,65,44,3357
Railroad Commissioner,0246,1584,624,2208,2999,73.62%,1467,620,38,15,2140
Railroad Commissioner,0247,422,403,825,1607,51.34%,18,775,4,6,803
Railroad Commissioner,0248,408,405,813,2122,38.31%,176,568,12,13,769
Railroad Commissioner,0249,1031,481,1512,2676,56.50%,975,435,23,24,1457
Railroad Commissioner,0250,306,247,553,951,58.15%,12,527,2,2,543
Railroad Commissioner,0251,809,529,1338,2072,64.58%,53,1229,7,6,1295
Railroad Commissioner,0252,1111,356,1467,2350,62.43%,24,1392,5,8,1429
Railroad Commissioner,0253,923,325,1248,2252,55.42%,18,1206,3,2,1229
Railroad Commissioner,0254,220,282,502,1476,34.01%,111,340,6,17,474
Railroad Commissioner,0255,996,797,1793,2411,74.37%,853,778,42,41,1714
Railroad Commissioner,0256,1060,766,1826,3226,56.60%,717,925,28,46,1716
Railroad Commissioner,0257,554,571,1125,2403,46.82%,256,789,6,21,1072
Railroad Commissioner,0258,1578,888,2466,3286,75.05%,1847,448,27,34,2356
Railroad Commissioner,0259,1210,460,1670,2408,69.35%,26,1595,5,10,1636
Railroad Commissioner,0260,420,290,710,1187,59.81%,369,279,22,11,681
Railroad Commissioner,0261,176,133,309,749,41.26%,88,196,3,7,294
Railroad Commissioner,0262,1472,906,2378,4232,56.19%,1348,796,62,46,2252
Railroad Commissioner,0263,1787,719,2506,3319,75.50%,1834,524,46,31,2435
Railroad Commissioner,0264,938,639,1577,2939,53.66%,844,571,28,46,1489
Railroad Commissioner,0265,1937,674,2611,3617,72.19%,1951,470,40,28,2489
Railroad Commissioner,0266,552,542,1094,2119,51.63%,488,516,25,21,1050
Railroad Commissioner,0267,294,305,599,1346,44.50%,263,286,8,9,566
Railroad Commissioner,0268,932,810,1742,2387,72.98%,1076,481,29,29,1615
Railroad Commissioner,0269,1143,444,1587,1981,80.11%,1269,221,20,11,1521
Railroad Commissioner,0270,1403,870,2273,3517,64.63%,1281,787,45,60,2173
Railroad Commissioner,0271,1303,371,1674,2469,67.80%,16,1602,5,13,1636
Railroad Commissioner,0272,614,484,1098,2112,51.99%,393,601,33,24,1051
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0273,1141,634,1775,2426,73.17%,1442,233,31,17,1723
Railroad Commissioner,0274,1054,364,1418,2063,68.73%,953,345,35,32,1365
Railroad Commissioner,0275,570,410,980,1730,56.65%,165,755,6,16,942
Railroad Commissioner,0276,1139,404,1543,2532,60.94%,15,1477,4,15,1511
Railroad Commissioner,0277,342,305,647,1473,43.92%,271,332,12,16,631
Railroad Commissioner,0278,756,607,1363,2405,56.67%,693,561,18,31,1303
Railroad Commissioner,0279,548,383,931,1899,49.03%,549,309,13,21,892
Railroad Commissioner,0280,303,360,663,1515,43.76%,232,381,12,6,631
Railroad Commissioner,0281,1088,903,1991,2610,76.28%,1085,683,32,45,1845
Railroad Commissioner,0282,691,591,1282,1988,64.49%,758,440,27,13,1238
Railroad Commissioner,0283,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0284,1136,595,1731,3262,53.07%,656,958,22,32,1668
Railroad Commissioner,0285,989,509,1498,2505,59.80%,103,1334,7,13,1457
