Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0229,152,207,359,811,44.27%,93,244,337
"District Judge, 165th Judicial District",0230,421,153,574,1096,52.37%,11,537,548
"District Judge, 165th Judicial District",0231,562,471,1033,2219,46.55%,240,741,981
"District Judge, 165th Judicial District",0232,685,546,1231,1696,72.58%,741,385,1126
"District Judge, 165th Judicial District",0233,1826,1063,2889,4132,69.92%,1513,1134,2647
"District Judge, 165th Judicial District",0234,2088,885,2973,3854,77.14%,2282,488,2770
"District Judge, 165th Judicial District",0235,466,242,708,1305,54.25%,23,665,688
"District Judge, 165th Judicial District",0236,779,342,1121,2144,52.29%,27,1044,1071
"District Judge, 165th Judicial District",0237,793,441,1234,2181,56.58%,19,1184,1203
"District Judge, 165th Judicial District",0238,640,422,1062,1901,55.87%,18,1004,1022
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0239,765,357,1122,1997,56.18%,30,1057,1087
"District Judge, 165th Judicial District",0240,1157,402,1559,2688,58.00%,19,1487,1506
"District Judge, 165th Judicial District",0241,494,479,973,2296,42.38%,362,560,922
"District Judge, 165th Judicial District",0242,363,323,686,1570,43.69%,351,301,652
"District Judge, 165th Judicial District",0243,254,50,304,452,67.26%,4,291,295
"District Judge, 165th Judicial District",0244,1100,656,1756,2912,60.30%,897,776,1673
"District Judge, 165th Judicial District",0245,2340,1115,3455,5240,65.94%,2272,1037,3309
"District Judge, 165th Judicial District",0246,1584,624,2208,2999,73.62%,1465,638,2103
"District Judge, 165th Judicial District",0247,421,403,824,1607,51.28%,11,791,802
"District Judge, 165th Judicial District",0248,408,405,813,2122,38.31%,184,582,766
"District Judge, 165th Judicial District",0249,1028,481,1509,2676,56.39%,987,444,1431
"District Judge, 165th Judicial District",0250,306,247,553,951,58.15%,12,533,545
"District Judge, 165th Judicial District",0251,809,529,1338,2072,64.58%,56,1230,1286
"District Judge, 165th Judicial District",0252,1111,356,1467,2350,62.43%,22,1400,1422
"District Judge, 165th Judicial District",0253,923,325,1248,2252,55.42%,18,1210,1228
"District Judge, 165th Judicial District",0254,220,282,502,1476,34.01%,112,354,466
"District Judge, 165th Judicial District",0255,995,797,1792,2411,74.33%,854,801,1655
"District Judge, 165th Judicial District",0256,1059,766,1825,3226,56.57%,719,968,1687
"District Judge, 165th Judicial District",0257,553,571,1124,2403,46.77%,250,825,1075
"District Judge, 165th Judicial District",0258,1577,888,2465,3286,75.02%,1803,454,2257
"District Judge, 165th Judicial District",0259,1210,460,1670,2408,69.35%,28,1597,1625
"District Judge, 165th Judicial District",0260,420,290,710,1187,59.81%,373,299,672
"District Judge, 165th Judicial District",0261,176,133,309,749,41.26%,87,203,290
"District Judge, 165th Judicial District",0262,1470,906,2376,4232,56.14%,1360,833,2193
"District Judge, 165th Judicial District",0263,1785,719,2504,3319,75.44%,1845,546,2391
"District Judge, 165th Judicial District",0264,936,639,1575,2939,53.59%,831,619,1450
"District Judge, 165th Judicial District",0265,1936,674,2610,3617,72.16%,1926,482,2408
"District Judge, 165th Judicial District",0266,552,542,1094,2119,51.63%,487,542,1029
"District Judge, 165th Judicial District",0267,294,305,599,1346,44.50%,258,296,554
"District Judge, 165th Judicial District",0268,931,810,1741,2387,72.94%,1051,512,1563
"District Judge, 165th Judicial District",0269,1143,444,1587,1981,80.11%,1266,215,1481
"District Judge, 165th Judicial District",0270,1401,870,2271,3517,64.57%,1265,836,2101
"District Judge, 165th Judicial District",0271,1303,371,1674,2469,67.80%,21,1604,1625
"District Judge, 165th Judicial District",0272,610,484,1094,2112,51.80%,406,627,1033
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0273,1139,634,1773,2426,73.08%,1431,230,1661
"District Judge, 165th Judicial District",0274,1049,364,1413,2063,68.49%,953,380,1333
"District Judge, 165th Judicial District",0275,567,410,977,1730,56.47%,156,781,937
"District Judge, 165th Judicial District",0276,1139,404,1543,2532,60.94%,14,1490,1504
"District Judge, 165th Judicial District",0277,342,305,647,1473,43.92%,279,342,621
"District Judge, 165th Judicial District",0278,756,607,1363,2405,56.67%,676,607,1283
"District Judge, 165th Judicial District",0279,548,383,931,1899,49.03%,553,325,878
"District Judge, 165th Judicial District",0280,303,360,663,1515,43.76%,219,403,622
"District Judge, 165th Judicial District",0281,1087,903,1990,2610,76.25%,1001,741,1742
"District Judge, 165th Judicial District",0282,690,591,1281,1988,64.44%,752,455,1207
