Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0312,1600,718,2318,3669,63.18%,1269,898,2167
"District Judge, 351st Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 351st Judicial District",0314,2494,1221,3715,5225,71.10%,2243,1312,3555
"District Judge, 351st Judicial District",0315,711,479,1190,1618,73.55%,702,387,1089
"District Judge, 351st Judicial District",0316,682,411,1093,1522,71.81%,621,372,993
"District Judge, 351st Judicial District",0317,551,336,887,1469,60.38%,262,579,841
"District Judge, 351st Judicial District",0318,1708,611,2319,3531,65.68%,106,2117,2223
"District Judge, 351st Judicial District",0319,965,290,1255,2081,60.31%,80,1122,1202
"District Judge, 351st Judicial District",0320,464,300,764,1505,50.76%,326,386,712
"District Judge, 351st Judicial District",0321,442,305,748,2029,36.87%,251,454,705
"District Judge, 351st Judicial District",0322,397,237,634,1322,47.96%,163,447,610
"District Judge, 351st Judicial District",0323,482,332,814,1719,47.35%,334,417,751
"District Judge, 351st Judicial District",0324,967,718,1685,2339,72.04%,1080,464,1544
"District Judge, 351st Judicial District",0325,656,397,1053,2251,46.78%,235,761,996
"District Judge, 351st Judicial District",0326,202,128,330,678,48.67%,127,166,293
"District Judge, 351st Judicial District",0327,725,244,970,1751,55.40%,19,920,939
"District Judge, 351st Judicial District",0328,344,270,614,1361,45.11%,225,354,579
"District Judge, 351st Judicial District",0329,405,307,712,1367,52.08%,232,431,663
"District Judge, 351st Judicial District",0330,590,376,966,1849,52.24%,436,460,896
"District Judge, 351st Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 351st Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 351st Judicial District",0333,1018,939,1957,2901,67.46%,1387,455,1842
"District Judge, 351st Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 351st Judicial District",0335,285,246,531,1227,43.28%,162,311,473
"District Judge, 351st Judicial District",0336,1818,588,2406,3161,76.12%,220,2095,2315
"District Judge, 351st Judicial District",0337,309,207,516,951,54.26%,88,412,500
"District Judge, 351st Judicial District",0338,1540,824,2364,4673,50.59%,676,1537,2213
"District Judge, 351st Judicial District",0339,369,373,742,1716,43.24%,161,508,669
"District Judge, 351st Judicial District",0340,1778,833,2611,3717,70.24%,1905,534,2439
"District Judge, 351st Judicial District",0341,246,316,562,1248,45.03%,141,390,531
