Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0205,856,201,1057,1667,63.41%,22,1009,1031
"Justice, 1st Court of Appeals District, Place 2",0206,651,659,1310,2662,49.21%,399,826,1225
"Justice, 1st Court of Appeals District, Place 2",0207,410,310,720,1144,62.94%,240,414,654
"Justice, 1st Court of Appeals District, Place 2",0208,806,364,1170,2201,53.16%,283,823,1106
"Justice, 1st Court of Appeals District, Place 2",0209,0,4,4,0,0.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 2",0210,1013,542,1555,2300,67.61%,168,1316,1484
"Justice, 1st Court of Appeals District, Place 2",0211,710,686,1396,2797,49.91%,470,827,1297
"Justice, 1st Court of Appeals District, Place 2",0212,218,314,532,1266,42.02%,92,408,500
"Justice, 1st Court of Appeals District, Place 2",0213,1603,939,2542,3308,76.84%,2024,383,2407
"Justice, 1st Court of Appeals District, Place 2",0214,798,544,1342,1795,74.76%,847,389,1236
"Justice, 1st Court of Appeals District, Place 2",0215,844,786,1630,2168,75.18%,1027,485,1512
"Justice, 1st Court of Appeals District, Place 2",0216,784,320,1104,1917,57.59%,75,993,1068
"Justice, 1st Court of Appeals District, Place 2",0217,1396,651,2047,2637,77.63%,1423,487,1910
"Justice, 1st Court of Appeals District, Place 2",0218,690,608,1298,2274,57.08%,394,804,1198
"Justice, 1st Court of Appeals District, Place 2",0219,1117,587,1704,2654,64.20%,139,1485,1624
"Justice, 1st Court of Appeals District, Place 2",0220,711,353,1064,2360,45.08%,710,294,1004
"Justice, 1st Court of Appeals District, Place 2",0221,699,611,1310,2489,52.63%,505,705,1210
"Justice, 1st Court of Appeals District, Place 2",0222,1000,792,1792,2384,75.17%,938,696,1634
"Justice, 1st Court of Appeals District, Place 2",0223,1350,760,2110,3528,59.81%,629,1324,1953
"Justice, 1st Court of Appeals District, Place 2",0224,896,649,1545,2259,68.39%,743,678,1421
"Justice, 1st Court of Appeals District, Place 2",0225,1111,720,1831,3155,58.03%,754,994,1748
"Justice, 1st Court of Appeals District, Place 2",0226,529,545,1074,2393,44.88%,218,770,988
"Justice, 1st Court of Appeals District, Place 2",0227,947,451,1398,1767,79.12%,1107,210,1317
"Justice, 1st Court of Appeals District, Place 2",0228,583,165,748,1073,69.71%,33,691,724
"Justice, 1st Court of Appeals District, Place 2",0229,152,207,359,811,44.27%,96,246,342
"Justice, 1st Court of Appeals District, Place 2",0230,421,153,574,1096,52.37%,10,537,547
"Justice, 1st Court of Appeals District, Place 2",0231,562,471,1033,2219,46.55%,246,725,971
"Justice, 1st Court of Appeals District, Place 2",0232,685,546,1231,1696,72.58%,744,390,1134
"Justice, 1st Court of Appeals District, Place 2",0233,1830,1063,2893,4132,70.01%,1502,1179,2681
"Justice, 1st Court of Appeals District, Place 2",0234,2090,885,2975,3854,77.19%,2297,489,2786
"Justice, 1st Court of Appeals District, Place 2",0235,466,242,708,1305,54.25%,21,665,686
"Justice, 1st Court of Appeals District, Place 2",0236,779,342,1121,2144,52.29%,27,1049,1076
"Justice, 1st Court of Appeals District, Place 2",0237,793,441,1234,2181,56.58%,18,1192,1210
"Justice, 1st Court of Appeals District, Place 2",0238,640,422,1062,1901,55.87%,22,1005,1027
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
