Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0230,421,153,574,1096,52.37%,8,538,546
"District Judge, 164th Judicial District",0231,562,471,1033,2219,46.55%,232,737,969
"District Judge, 164th Judicial District",0232,685,546,1231,1696,72.58%,637,484,1121
"District Judge, 164th Judicial District",0233,1826,1063,2889,4132,69.92%,1405,1243,2648
"District Judge, 164th Judicial District",0234,2088,885,2973,3854,77.14%,2090,669,2759
"District Judge, 164th Judicial District",0235,466,242,708,1305,54.25%,17,669,686
"District Judge, 164th Judicial District",0236,779,342,1121,2144,52.29%,19,1053,1072
"District Judge, 164th Judicial District",0237,793,441,1234,2181,56.58%,15,1188,1203
"District Judge, 164th Judicial District",0238,640,422,1062,1901,55.87%,16,1006,1022
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0239,765,357,1122,1997,56.18%,24,1060,1084
"District Judge, 164th Judicial District",0240,1157,402,1559,2688,58.00%,15,1492,1507
"District Judge, 164th Judicial District",0241,494,479,973,2296,42.38%,363,557,920
"District Judge, 164th Judicial District",0242,363,323,686,1570,43.69%,341,310,651
"District Judge, 164th Judicial District",0243,254,50,304,452,67.26%,3,291,294
"District Judge, 164th Judicial District",0244,1100,656,1756,2912,60.30%,884,788,1672
"District Judge, 164th Judicial District",0245,2340,1115,3455,5240,65.94%,2242,1062,3304
"District Judge, 164th Judicial District",0246,1584,624,2208,2999,73.62%,1443,657,2100
"District Judge, 164th Judicial District",0247,421,403,824,1607,51.28%,12,789,801
"District Judge, 164th Judicial District",0248,408,405,813,2122,38.31%,175,590,765
"District Judge, 164th Judicial District",0249,1028,481,1509,2676,56.39%,962,468,1430
"District Judge, 164th Judicial District",0250,306,247,553,951,58.15%,8,537,545
"District Judge, 164th Judicial District",0251,809,529,1338,2072,64.58%,48,1238,1286
"District Judge, 164th Judicial District",0252,1111,356,1467,2350,62.43%,18,1403,1421
"District Judge, 164th Judicial District",0253,923,325,1248,2252,55.42%,12,1218,1230
"District Judge, 164th Judicial District",0254,220,282,502,1476,34.01%,113,351,464
"District Judge, 164th Judicial District",0255,995,797,1792,2411,74.33%,772,885,1657
"District Judge, 164th Judicial District",0256,1059,766,1825,3226,56.57%,672,1014,1686
"District Judge, 164th Judicial District",0257,553,571,1124,2403,46.77%,248,817,1065
"District Judge, 164th Judicial District",0258,1577,888,2465,3286,75.02%,1670,577,2247
