Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0360,969,515,1484,2190,67.76%,870,471,1341
District Attorney,0361,135,691,826,1585,52.11%,168,536,704
District Attorney,0362,2131,1200,3331,4952,67.27%,2415,740,3155
District Attorney,0363,1346,687,2033,3291,61.77%,908,1054,1962
District Attorney,0364,912,602,1514,2539,59.63%,791,648,1439
District Attorney,0365,734,245,979,1302,75.19%,105,837,942
District Attorney,0366,638,466,1104,2089,52.85%,246,821,1067
District Attorney,0367,328,212,540,1019,52.99%,102,417,519
District Attorney,0368,418,143,561,929,60.39%,155,390,545
District Attorney,0369,107,53,160,490,32.65%,64,87,151
District Attorney,0370,3143,1178,4321,5781,74.74%,3253,881,4134
District Attorney,0371,226,69,295,475,62.11%,8,279,287
District Attorney,0372,498,231,729,1215,60.00%,88,608,696
District Attorney,0373,61,16,77,159,48.43%,1,72,73
District Attorney,0374,139,187,326,748,43.58%,105,202,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0375,577,524,1101,2607,42.23%,472,577,1049
District Attorney,0376,629,334,963,1916,50.26%,396,509,905
District Attorney,0377,1055,707,1762,2871,61.37%,1329,339,1668
District Attorney,0378,559,521,1080,1777,60.78%,680,346,1026
District Attorney,0379,800,338,1138,2017,56.42%,96,991,1087
District Attorney,0380,2500,1183,3683,4753,77.49%,2124,1392,3516
District Attorney,0381,957,424,1381,2715,50.87%,574,736,1310
District Attorney,0382,276,231,507,841,60.29%,355,131,486
District Attorney,0383,599,493,1092,2076,52.60%,350,693,1043
District Attorney,0384,1172,505,1677,2596,64.60%,360,1248,1608
District Attorney,0385,1099,621,1720,2175,79.08%,1370,244,1614
District Attorney,0386,1464,460,1924,2872,66.99%,1394,464,1858
District Attorney,0387,1369,802,2171,3727,58.25%,1501,572,2073
District Attorney,0388,2780,1222,4002,5329,75.10%,2248,1589,3837
District Attorney,0389,283,261,544,975,55.79%,90,411,501
District Attorney,0390,644,368,1012,1565,64.66%,146,814,960
District Attorney,0391,856,355,1211,1805,67.09%,807,338,1145
District Attorney,0392,737,197,934,1441,64.82%,11,899,910
District Attorney,0393,346,318,664,1206,55.06%,297,322,619
District Attorney,0394,166,176,342,860,39.77%,136,189,325
District Attorney,0395,830,491,1321,1820,72.58%,944,300,1244
District Attorney,0396,1157,219,1376,2073,66.38%,20,1312,1332
District Attorney,0397,163,148,311,750,41.47%,129,158,287
District Attorney,0398,1438,840,2278,3816,59.70%,1127,1055,2182
District Attorney,0399,896,593,1489,2542,58.58%,748,684,1432
District Attorney,0400,1048,506,1554,2238,69.44%,1109,363,1472
District Attorney,0401,723,284,1007,1876,53.68%,40,943,983
District Attorney,0402,891,245,1136,1737,65.40%,54,1044,1098
District Attorney,0403,791,527,1318,1703,77.39%,826,382,1208
District Attorney,0404,778,552,1330,2589,51.37%,697,572,1269
District Attorney,0405,0,1,1,0,0.00%,0,1,1
District Attorney,0406,281,72,353,610,57.87%,8,327,335
District Attorney,0407,1317,1000,2317,3652,63.44%,1521,650,2171
District Attorney,0408,154,179,333,933,35.69%,146,168,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
