Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0231,562,471,1033,2219,46.55%,258,721,979
"Judge, County Court at Law No. 1, Unexpired Term",0232,685,546,1231,1696,72.58%,706,408,1114
"Judge, County Court at Law No. 1, Unexpired Term",0233,1826,1063,2889,4132,69.92%,1466,1173,2639
"Judge, County Court at Law No. 1, Unexpired Term",0234,2088,885,2973,3854,77.14%,2245,489,2734
"Judge, County Court at Law No. 1, Unexpired Term",0235,466,242,708,1305,54.25%,22,666,688
"Judge, County Court at Law No. 1, Unexpired Term",0236,779,342,1121,2144,52.29%,27,1045,1072
"Judge, County Court at Law No. 1, Unexpired Term",0237,793,441,1234,2181,56.58%,17,1188,1205
"Judge, County Court at Law No. 1, Unexpired Term",0238,640,422,1062,1901,55.87%,17,1007,1024
"Judge, County Court at Law No. 1, Unexpired Term",0239,765,357,1122,1997,56.18%,29,1058,1087
"Judge, County Court at Law No. 1, Unexpired Term",0240,1157,402,1559,2688,58.00%,18,1489,1507
"Judge, County Court at Law No. 1, Unexpired Term",0241,494,479,973,2296,42.38%,371,549,920
"Judge, County Court at Law No. 1, Unexpired Term",0242,363,323,686,1570,43.69%,350,300,650
"Judge, County Court at Law No. 1, Unexpired Term",0243,254,50,304,452,67.26%,2,294,296
"Judge, County Court at Law No. 1, Unexpired Term",0244,1100,656,1756,2912,60.30%,902,773,1675
"Judge, County Court at Law No. 1, Unexpired Term",0245,2340,1115,3455,5240,65.94%,2271,1033,3304
"Judge, County Court at Law No. 1, Unexpired Term",0246,1584,624,2208,2999,73.62%,1462,640,2102
"Judge, County Court at Law No. 1, Unexpired Term",0247,421,403,824,1607,51.28%,11,790,801
"Judge, County Court at Law No. 1, Unexpired Term",0248,408,405,813,2122,38.31%,181,588,769
"Judge, County Court at Law No. 1, Unexpired Term",0249,1028,481,1509,2676,56.39%,966,468,1434
"Judge, County Court at Law No. 1, Unexpired Term",0250,306,247,553,951,58.15%,9,536,545
"Judge, County Court at Law No. 1, Unexpired Term",0251,809,529,1338,2072,64.58%,49,1239,1288
"Judge, County Court at Law No. 1, Unexpired Term",0252,1111,356,1467,2350,62.43%,20,1407,1427
"Judge, County Court at Law No. 1, Unexpired Term",0253,923,325,1248,2252,55.42%,13,1214,1227
