Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0190,275,401,676,1720,39.30%,240,408,5,5,0,0,0,0
President and Vice President,0191,197,313,510,1391,36.66%,194,303,2,0,0,0,0,0
President and Vice President,0192,746,332,1078,2045,52.71%,36,1018,1,2,0,0,0,0
President and Vice President,0193,341,269,610,1050,58.10%,11,587,1,2,0,0,0,0
President and Vice President,0194,711,504,1215,1735,70.03%,348,829,17,10,0,3,0,0
President and Vice President,0195,539,419,958,1721,55.67%,26,914,5,1,0,0,0,0
President and Vice President,0196,121,55,176,323,54.49%,11,164,0,0,0,0,0,0
President and Vice President,0197,1111,497,1608,2895,55.54%,27,1553,2,4,1,0,0,0
President and Vice President,0198,144,158,302,657,45.97%,3,294,1,1,0,0,0,0
President and Vice President,0199,1410,773,2183,3159,69.10%,1662,463,19,11,0,0,0,0
President and Vice President,0200,1654,585,2239,3222,69.49%,1064,1110,29,19,0,1,0,0
President and Vice President,0201,229,125,354,728,48.63%,11,334,0,3,0,0,0,0
President and Vice President,0202,488,332,820,1479,55.44%,14,794,0,2,0,0,0,0
President and Vice President,0203,266,156,422,900,46.89%,91,318,1,1,0,0,0,0
President and Vice President,0204,1505,914,2419,3462,69.87%,1411,939,25,11,0,0,0,0
President and Vice President,0205,856,201,1057,1667,63.41%,17,1027,0,0,0,0,0,0
President and Vice President,0206652,559,1311,2662,49.25%,410,854,20,11,0,0,0,0
President and Vice President,0207,410,310,720,1144,62.94%,273,419,12,3,0,0,0,0
President and Vice President,0208,808,364,1172,2201,53.25%,336,801,5,1,0,0,0,0
President and Vice President,0209,0,4,4,0,0.00%,4,0,0,0,0,0,0,0
President and Vice President,0210,1018,542,1560,2300,67.83%,158,1370,11,8,0,0,0,0
President and Vice President,0211,712,686,1398,2797,49.98%,516,832,11,8,0,0,0,0
President and Vice President,0212,219,314,533,1266,42.10%,93,421,3,1,0,0,0,0
President and Vice President,0213,1613,939,2552,3308,77.15%,2033,472,17,3,0,0,0,0
President and Vice President,0214,804,544,1348,1795,75.10%,844,478,13,3,0,0,0,0
President and Vice President,0215,850,786,1636,2168,75.46%,982,597,26,12,0,0,0,0
President and Vice President,0216,784,320,1104,1917,57.59%,78,1001,4,0,0,0,0,0
President and Vice President,0217,1404,651,2055,2637,77.93%,1388,633,12,9,0,0,0,0
President and Vice President,0218,692,608,1300,2274,57.17%,410,844,17,11,0,0,0,0
President and Vice President,0219,1122,587,1709,2654,64.39%,134,1532,9,7,0,0,0,0
President and Vice President,0220,711,353,1064,2360,45.08%,757,266,9,3,0,0,0,0
President and Vice President,0221,700,611,1311,2489,52.67%,567,691,13,5,0,0,0,0
President and Vice President,0222,1017,792,1809,2384,75.88%,887,881,20,9,0,1,0,0
President and Vice President,0223,1361,760,2121,3528,60.12%,609,1438,45,17,0,0,0,0
President and Vice President,0224,906,649,1555,2259,68.84%,725,786,24,8,0,0,0,0
President and Vice President,0225,1114,720,1834,3155,58.13%,777,1013,17,2,0,0,0,0
President and Vice President,0226,529,545,1074,2393,44.88%,251,794,7,3,0,0,0,0
President and Vice President,0227,952,451,1403,1767,79.40%,1089,289,13,4,0,0,0,0
President and Vice President,0228,584,165,749,1073,69.80%,30,705,3,0,0,0,0,0
President and Vice President,0229,152,207,359,811,44.27%,110,231,1,3,0,0,0,0
President and Vice President,0230,421,153,574,1096,52.37%,14,549,3,2,0,0,0,0
President and Vice President,0231,564,471,1035,2219,46.64%,243,752,9,4,0,0,0,0
President and Vice President,0232,691,546,1237,1696,72.94%,708,497,17,4,0,0,0,0
President and Vice President,0233,1847,1063,2910,4132,70.43%,1496,1310,64,15,0,0,0,0
President and Vice President,0234,2104,885,2989,3854,77.56%,2327,606,24,3,0,0,0,0
President and Vice President,0235,466,242,708,1305,54.25%,18,676,0,0,0,0,0,0
President and Vice President,0236,779,342,1121,2144,52.29%,30,1062,2,1,0,0,0,0
President and Vice President,0237,794,441,1235,2181,56.63%,17,1198,1,0,0,0,0,0
President and Vice President,0238,641,422,1063,1901,55.92%,17,1029,2,0,0,0,0,0
President and Vice President,0239,766,357,1123,1997,56.23%,26,1074,5,4,0,0,0,0
President and Vice President,0240,1160,402,1562,2688,58.11%,13,1515,3,4,0,0,0,0
President and Vice President,0241,494,479,973,2296,42.38%,409,526,10,1,0,0,0,0
President and Vice President,0242,363,323,686,1570,43.69%,376,290,5,2,0,0,0,0
President and Vice President,0243,254,50,304,452,67.26%,3,295,0,0,0,0,0,0
President and Vice President,0244,1102,656,1758,2912,60.37%,920,794,23,2,0,0,0,0
President and Vice President,0245,2344,1115,3459,5240,66.01%,2309,1051,47,12,0,0,0,0
President and Vice President,0246,1585,524,2209,2999,73.66%,1479,680,21,5,0,0,0,0
President and Vice President,0247,422,403,825,1607,51.34%,19,791,2,3,0,0,0,0
President and Vice President,0248,408,405,813,2122,38.31%,198,573,13,4,0,0,0,0
President and Vice President,0249,1032,481,1513,2676,56.54%,1034,444,13,2,0,0,0,0
President and Vice President,0250,307,247,554,951,58.25%,14,529,0,0,0,0,0,0
President and Vice President,0251,810,529,1339,2072,64.62%,56,1263,0,2,0,0,0,0
President and Vice President,0252,1111,356,1467,2350,62.43%,21,1415,1,2,0,0,0,0
President and Vice President,0253,924,325,1249,2252,55.46%,14,1214,0,3,0,0,0,0
President and Vice President,0254,220,282,502,1476,34.01%,123,364,4,2,0,0,0,0
President and Vice President,0255,1004,797,1801,2411,74.70%,836,927,13,9,0,0,0,0
President and Vice President,0256,1060,766,1826,3226,56.60%,729,1023,19,17,0,0,0,0
President and Vice President,0257,554,571,1125,2403,46.82%,285,813,2,7,0,1,0,0
President and Vice President,0258,1586,888,2474,3286,75.29%,1825,607,15,6,0,0,0,0
President and Vice President,0259,1210,450,1670,2408,69.35%,19,1632,2,3,0,0,0,0
President and Vice President,0260,420,290,710,1187,59.81%,376,314,7,0,0,0,0,0
President and Vice President,0261,176,133,309,749,41.26%,106,195,1,0,0,0,0,0
President and Vice President,0262,1474,906,2380,4232,56.24%,1378,916,41,6,0,0,0,0
President and Vice President,0263,1789,719,2508,3319,75.56%,1881,583,21,4,0,0,0,0
President and Vice President,0264,938,639,1577,2939,53.66%,869,648,23,4,0,0,0,0
President and Vice President,0265,1944,574,2618,3617,72.38%,1946,608,28,3,0,1,0,0
President and Vice President,0266,553,542,1095,2119,51.68%,526,526,20,3,0,0,0,0
President and Vice President,0267,294,305,599,1346,44.50%,280,290,9,0,0,0,0,0
President and Vice President,0268,936,810,1746,2387,73.15%,1095,610,17,9,0,0,0,0
President and Vice President,0269,1148,444,1592,1981,80.36%,1278,282,15,2,0,0,0,0
President and Vice President,0270,1403,870,2273,3517,64.63%,1298,876,34,28,0,0,0,0
President and Vice President,0271,1303,371,1674,2469,67.80%,13,1624,1,3,0,0,0,0
President and Vice President,0272,614,484,1098,2112,51.99%,404,660,17,5,0,0,0,0
President and Vice President,0273,1143,634,1777,2426,73.25%,1455,295,14,3,0,0,0,0
President and Vice President,0274,1056,364,1420,2063,68.83%,967,416,19,10,0,0,0,0
President and Vice President,0275,570,410,980,1730,56.65%,164,799,2,3,0,0,0,0
President and Vice President,0276,1140,404,1544,2532,60.98%,12,1492,2,5,0,0,0,0
President and Vice President,0277,344,305,649,1473,44.06%,295,332,7,3,0,0,0,0
President and Vice President,0278,758,607,1365,2405,56.76%,726,591,9,6,0,0,0,0
President and Vice President,0279,549,383,932,1899,49.08%,582,318,10,1,0,0,0,0
President and Vice President,0280,303,360,663,1515,43.76%,243,395,8,1,0,0,0,0
President and Vice President,0281,1091,903,1994,2610,76.40%,1065,868,20,14,0,1,0,0
President and Vice President,0282,694,591,1285,1988,64.64%,765,481,23,4,0,0,0,0
President and Vice President,0283,0,0,0,0,0.00%,0,0,0,0,0,0,0,0
President and Vice President,0284,1139,595,1734,3262,53.16%,664,1033,8,6,0,0,0,0
President and Vice President,0285,989,509,1498,2505,59.80%,104,1358,3,5,0,0,0,0
President and Vice President,0286,2659,1053,3712,5719,64.91%,312,3312,16,7,0,0,0,0
President and Vice President,0287,649,542,1191,1616,73.70%,640,513,21,10,0,0,0,0
President and Vice President,0288,1036,380,1416,2259,62.68%,17,1377,2,3,0,0,0,0
President and Vice President,0289,376,397,773,1510,51.19%,333,413,2,2,0,0,0,0
President and Vice President,0290,579,429,1008,1567,64.33%,778,206,7,1,1,0,0,0
President and Vice President,0291,543,298,841,1203,69.91%,419,405,6,5,0,0,0,0
President and Vice President,0292,479,236,715,1272,56.21%,93,608,0,2,0,0,0,0
President and Vice President,0293,622,557,1179,1733,68.03%,527,604,26,5,0,0,0,0
President and Vice President,0294,989,298,1287,2107,61.08%,12,1258,1,1,0,0,0,0
President and Vice President,0295,315,189,504,862,58.47%,6,485,2,0,0,0,0,0
President and Vice President,0296,605,432,1037,1693,61.25%,599,398,16,6,0,0,0,0
President and Vice President,0297,580,445,1025,1978,51.82%,386,611,6,5,0,0,0,0
President and Vice President,0298,851,475,1326,2083,63.66%,735,548,19,6,0,0,0,0
President and Vice President,0299,328,213,541,1231,43.95%,171,348,6,3,0,0,0,0
President and Vice President,0300,3020,922,3942,5040,78.21%,3079,808,26,6,0,0,0,0
President and Vice President,0301,450,655,1105,2397,46.10%,428,639,9,4,0,0,0,0
President and Vice President,0302,713,635,1348,2724,49.49%,754,553,15,3,0,0,0,0
President and Vice President,0303,1780,755,2535,3172,79.92%,2052,434,18,2,0,0,0,0
President and Vice President,0304,979,648,1627,2266,71.80%,939,638,13,11,0,1,0,0
President and Vice President,0305,1321,858,2179,3621,60.18%,795,1307,18,12,0,0,0,0
President and Vice President,0306,1020,323,1343,1847,72.71%,988,327,17,2,0,0,0,0
President and Vice President,0307,1248,876,2124,2931,72.47%,1474,576,29,18,0,0,0,0
President and Vice President,0308,445,238,683,1266,53.95%,197,464,3,2,0,0,0,0
President and Vice President,0309,1389,612,2001,2529,79.12%,1629,339,14,5,0,0,0,0
President and Vice President,0310,625,348,973,1437,67.71%,643,298,14,5,0,0,0,0
President and Vice President,0311,866,699,1565,2997,52.22%,724,776,9,7,0,0,0,0
President and Vice President,0312,1603,718,2321,3669,63.26%,1286,982,26,8,0,0,0,0
President and Vice President,0313,22,1,23,60,38.33%,14,9,0,0,0,0,0,0
President and Vice President,0314,2499,1221,3720,5225,71.20%,2269,1387,29,8,0,1,0,0
