Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0207,410,310,720,1144,62.94%,241,416,657
"Justice, 1st Court of Appeals District, Place 9",0208,806,364,1170,2201,53.16%,297,802,1099
"Justice, 1st Court of Appeals District, Place 9",0209,0,4,4,0,0.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 9",0210,1013,542,1555,2300,67.61%,172,1305,1477
"Justice, 1st Court of Appeals District, Place 9",0211,710,686,1396,2797,49.91%,478,814,1292
"Justice, 1st Court of Appeals District, Place 9",0212,218,314,532,1266,42.02%,91,414,505
"Justice, 1st Court of Appeals District, Place 9",0213,1603,939,2542,3308,76.84%,1968,416,2384
"Justice, 1st Court of Appeals District, Place 9",0214,798,544,1342,1795,74.76%,822,403,1225
"Justice, 1st Court of Appeals District, Place 9",0215,844,786,1630,2168,75.18%,992,521,1513
"Justice, 1st Court of Appeals District, Place 9",0216,784,320,1104,1917,57.59%,78,983,1061
"Justice, 1st Court of Appeals District, Place 9",0217,1396,651,2047,2637,77.63%,1361,525,1886
"Justice, 1st Court of Appeals District, Place 9",0218,690,608,1298,2274,57.08%,360,832,1192
"Justice, 1st Court of Appeals District, Place 9",0219,1117,587,1704,2654,64.20%,136,1481,1617
"Justice, 1st Court of Appeals District, Place 9",0220,711,353,1064,2360,45.08%,718,280,998
"Justice, 1st Court of Appeals District, Place 9",0221,699,611,1310,2489,52.63%,532,675,1207
"Justice, 1st Court of Appeals District, Place 9",0222,1000,792,1792,2384,75.17%,863,741,1604
"Justice, 1st Court of Appeals District, Place 9",0223,1350,760,2110,3528,59.81%,596,1351,1947
"Justice, 1st Court of Appeals District, Place 9",0224,896,649,1545,2259,68.39%,719,699,1418
"Justice, 1st Court of Appeals District, Place 9",0225,1111,720,1831,3155,58.03%,761,983,1744
"Justice, 1st Court of Appeals District, Place 9",0226,529,545,1074,2393,44.88%,210,777,987
"Justice, 1st Court of Appeals District, Place 9",0227,947,451,1398,1767,79.12%,1071,235,1306
"Justice, 1st Court of Appeals District, Place 9",0228,583,165,748,1073,69.71%,29,696,725
"Justice, 1st Court of Appeals District, Place 9",0229,152,207,359,811,44.27%,99,240,339
"Justice, 1st Court of Appeals District, Place 9",0230,421,153,574,1096,52.37%,10,539,549
"Justice, 1st Court of Appeals District, Place 9",0231,562,471,1033,2219,46.55%,260,717,977
"Justice, 1st Court of Appeals District, Place 9",0232,685,546,1231,1696,72.58%,692,432,1124
