Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0839,353,240,593,1122,52.85%,106,451,557
"Justice, 1st Court of Appeals District, Place 9",0840,712,251,963,1621,59.41%,309,614,923
"Justice, 1st Court of Appeals District, Place 9",0841,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 9",0842,988,715,1703,3091,55.10%,727,896,1623
"Justice, 1st Court of Appeals District, Place 9",0843,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 9",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 1st Court of Appeals District, Place 9",0845,85,10,95,100,95.00%,55,33,88
"Justice, 1st Court of Appeals District, Place 9",0846,70,29,99,210,47.14%,5,92,97
"Justice, 1st Court of Appeals District, Place 9",0847,795,321,1116,1804,61.86%,293,775,1068
"Justice, 1st Court of Appeals District, Place 9",0848,782,431,1213,1873,64.76%,365,792,1157
"Justice, 1st Court of Appeals District, Place 9",0849,553,514,1067,2073,51.47%,340,662,1002
"Justice, 1st Court of Appeals District, Place 9",0850,87,38,125,205,60.98%,50,70,120
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0851,2192,816,3008,4317,69.68%,1925,936,2861
"Justice, 1st Court of Appeals District, Place 9",0852,0,4,4,2,200.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 9",0853,1413,605,2018,2773,72.77%,1521,394,1915
"Justice, 1st Court of Appeals District, Place 9",0854,41,30,71,175,40.57%,6,64,70
"Justice, 1st Court of Appeals District, Place 9",0855,4,13,17,18,94.44%,8,9,17
"Justice, 1st Court of Appeals District, Place 9",0856,0,4,4,0,0.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 9",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0858,132,18,150,372,40.32%,4,141,145
"Justice, 1st Court of Appeals District, Place 9",0859,309,201,510,860,59.30%,103,396,499
"Justice, 1st Court of Appeals District, Place 9",0860,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 9",0861,705,319,1024,1786,57.33%,178,820,998
"Justice, 1st Court of Appeals District, Place 9",0862,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0863,210,69,279,620,45.00%,13,258,271
"Justice, 1st Court of Appeals District, Place 9",0864,497,609,1106,2464,44.89%,269,784,1053
"Justice, 1st Court of Appeals District, Place 9",0865,9,2,11,23,47.83%,0,11,11
"Justice, 1st Court of Appeals District, Place 9",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0868,573,586,1159,2292,50.57%,346,756,1102
"Justice, 1st Court of Appeals District, Place 9",0869,153,76,229,473,48.41%,35,186,221
"Justice, 1st Court of Appeals District, Place 9",0870,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0871,3,0,3,4,75.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 9",0872,13,5,18,66,27.27%,9,7,16
"Justice, 1st Court of Appeals District, Place 9",0873,253,125,378,701,53.92%,94,278,372
"Justice, 1st Court of Appeals District, Place 9",0874,1534,748,2282,3107,73.45%,1723,458,2181
"Justice, 1st Court of Appeals District, Place 9",0875,1719,927,2646,4031,65.64%,1240,1292,2532
"Justice, 1st Court of Appeals District, Place 9",0876,1629,639,2268,3013,75.27%,1622,558,2180
"Justice, 1st Court of Appeals District, Place 9",0877,1031,542,1673,2480,67.46%,700,926,1626
"Justice, 1st Court of Appeals District, Place 9",0878,853,350,1203,1641,73.31%,989,152,1141
"Justice, 1st Court of Appeals District, Place 9",0879,890,527,1417,2334,60.71%,643,718,1361
"Justice, 1st Court of Appeals District, Place 9",0880,1068,472,1540,2007,76.73%,1160,303,1463
"Justice, 1st Court of Appeals District, Place 9",0881,1510,877,2387,3619,65.96%,756,1546,2302
"Justice, 1st Court of Appeals District, Place 9",0882,940,457,1397,2328,60.01%,768,563,1331
"Justice, 1st Court of Appeals District, Place 9",0883,1918,1042,2960,4651,63.64%,511,2363,2874
"Justice, 1st Court of Appeals District, Place 9",0884,118,37,155,330,46.97%,21,129,150
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0885,1222,541,1763,2466,71.49%,1029,654,1683
"Justice, 1st Court of Appeals District, Place 9",0886,301,154,455,713,63.81%,236,174,410
"Justice, 1st Court of Appeals District, Place 9",0887,138,83,221,313,70.61%,123,75,198
"Justice, 1st Court of Appeals District, Place 9",0888,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0889,22,0,22,61,36.07%,13,8,21
"Justice, 1st Court of Appeals District, Place 9",0890,321,118,439,994,44.16%,173,241,414
"Justice, 1st Court of Appeals District, Place 9",0891,539,392,931,1413,65.89%,371,504,875
"Justice, 1st Court of Appeals District, Place 9",0892,194,130,324,696,46.55%,90,208,298
"Justice, 1st Court of Appeals District, Place 9",0893,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0894,0,31,31,0,0.00%,8,20,28
"Justice, 1st Court of Appeals District, Place 9",0895,335,325,660,784,84.18%,321,281,602
"Justice, 1st Court of Appeals District, Place 9",0896,670,303,973,1437,67.71%,390,503,893
"Justice, 1st Court of Appeals District, Place 9",0897,742,375,1117,1624,68.78%,610,457,1067
"Justice, 1st Court of Appeals District, Place 9",0898,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0899,4,0,4,8,50.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 9",0900,5,0,5,12,41.67%,1,3,4
"Justice, 1st Court of Appeals District, Place 9",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0902,865,621,1486,2065,71.96%,845,523,1368
"Justice, 1st Court of Appeals District, Place 9",0903,10,1,11,41,26.83%,6,4,10
"Justice, 1st Court of Appeals District, Place 9",0904,0,1,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0905,290,158,458,908,50.44%,175,248,423
"Justice, 1st Court of Appeals District, Place 9",0906,12,6,18,26,69.23%,9,8,17
"Justice, 1st Court of Appeals District, Place 9",0907,60,43,103,134,76.87%,23,78,101
"Justice, 1st Court of Appeals District, Place 9",0908,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0909,5,7,12,19,63.16%,5,6,11
"Justice, 1st Court of Appeals District, Place 9",0910,55,34,89,226,39.38%,35,47,82
"Justice, 1st Court of Appeals District, Place 9",0911,227,79,306,570,53.68%,193,94,287
"Justice, 1st Court of Appeals District, Place 9",0912,675,221,896,1235,72.55%,544,293,837
"Justice, 1st Court of Appeals District, Place 9",0913,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0914,169,67,236,221,106.79%,181,40,221
"Justice, 1st Court of Appeals District, Place 9",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0916,504,182,786,1045,75.22%,641,110,751
"Justice, 1st Court of Appeals District, Place 9",0917,280,137,417,481,86.69%,287,99,386
"Justice, 1st Court of Appeals District, Place 9",0918,489,135,624,883,70.67%,487,99,586
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0919,0,3,3,3,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 9",0920,6,0,6,13,46.15%,6,0,6
"Justice, 1st Court of Appeals District, Place 9",0921,71,9,80,87,91.95%,61,19,80
"Justice, 1st Court of Appeals District, Place 9",0922,0,2,2,0,0.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 9",0923,664,87,751,826,90.92%,572,154,726
"Justice, 1st Court of Appeals District, Place 9",0924,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0926,351,1,20,481,621,77.46%,357,102,459
"Justice, 1st Court of Appeals District, Place 9",0927,84,74,158,262,60.31%,81,70,151
"Justice, 1st Court of Appeals District, Place 9",0928,4,2,6,9,66.67%,0,6,6
"Justice, 1st Court of Appeals District, Place 9",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0930,200,77,277,567,48.85%,6,264,270
"Justice, 1st Court of Appeals District, Place 9",0931,48,53,101,122,82.79%,48,38,86
"Justice, 1st Court of Appeals District, Place 9",0932,0,5,5,0,0.00%,1,4,5
"Justice, 1st Court of Appeals District, Place 9",0933,235,1,21,356,566,62.90%,91,247,338
"Justice, 1st Court of Appeals District, Place 9",0934,12,1,13,41,31.71%,5,8,13
"Justice, 1st Court of Appeals District, Place 9",0935,8,17,25,65,38.46%,12,12,24
"Justice, 1st Court of Appeals District, Place 9",0936,12,10,22,70,31.43%,7,12,19
"Justice, 1st Court of Appeals District, Place 9",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0938,73,14,87,256,33.98%,29,53,82
"Justice, 1st Court of Appeals District, Place 9",0939,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0940,1,0,1,13,7.69%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0941,13,9,22,25,88.00%,20,1,21
"Justice, 1st Court of Appeals District, Place 9",0942,68,24,92,159,57.86%,73,12,85
"Justice, 1st Court of Appeals District, Place 9",0943,297,63,360,536,67.16%,251,77,328
"Justice, 1st Court of Appeals District, Place 9",0944,30,6,36,39,92.31%,30,3,33
"Justice, 1st Court of Appeals District, Place 9",0945,4,7,11,16,68.75%,0,9,9
"Justice, 1st Court of Appeals District, Place 9",0946,3,3,6,14,42.86%,0,4,4
"Justice, 1st Court of Appeals District, Place 9",0947,320,292,612,822,74.45%,319,229,548
"Justice, 1st Court of Appeals District, Place 9",0948,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0949,59,37,96,201,47.76%,44,46,90
"Justice, 1st Court of Appeals District, Place 9",0950,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0951,79,44,123,218,56.42%,27,93,120
"Justice, 1st Court of Appeals District, Place 9",0952,24,16,40,70,57.14%,20,16,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0953,59,52,111,420,26.43%,6,104,110
"Justice, 1st Court of Appeals District, Place 9",0954,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0955,5,20,25,18,138.89%,14,9,23
"Justice, 1st Court of Appeals District, Place 9",0956,5,2,7,12,58.33%,4,3,7
"Justice, 1st Court of Appeals District, Place 9",0957,261,115,376,551,68.24%,58,304,362
"Justice, 1st Court of Appeals District, Place 9",0958,289,266,555,989,56.12%,119,407,526
"Justice, 1st Court of Appeals District, Place 9",0959,0,4,4,0,0.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 9",0960,363,143,506,586,86.35%,131,358,489
"Justice, 1st Court of Appeals District, Place 9",0961,23,11,34,53,64.15%,9,25,34
"Justice, 1st Court of Appeals District, Place 9",0962,24,13,37,73,50.68%,8,26,34
"Justice, 1st Court of Appeals District, Place 9",0963,130,69,199,353,56.37%,110,76,186
"Justice, 1st Court of Appeals District, Place 9",0964,947,447,1394,1571,88.73%,846,497,1343
"Justice, 1st Court of Appeals District, Place 9",0965,93,27,120,355,33.80%,78,35,113
"Justice, 1st Court of Appeals District, Place 9",0966,305,160,465,1073,43.34%,129,311,440
"Justice, 1st Court of Appeals District, Place 9",0967,48,15,63,98,64.29%,26,36,62
"Justice, 1st Court of Appeals District, Place 9",0968,243,83,326,517,63.06%,63,253,316
"Justice, 1st Court of Appeals District, Place 9",0969,335,82,417,584,71.40%,1,401,402
"Justice, 1st Court of Appeals District, Place 9",0970,212,76,288,704,40.91%,28,241,269
"Justice, 1st Court of Appeals District, Place 9",0971,27,21,48,129,37.21%,1,47,48
"Justice, 1st Court of Appeals District, Place 9",0972,10,7,17,29,58.62%,11,5,16
"Justice, 1st Court of Appeals District, Place 9",0973,49,24,73,107,68.22%,42,28,70
"Justice, 1st Court of Appeals District, Place 9",0974,101,71,172,299,57.53%,109,55,164
"Justice, 1st Court of Appeals District, Place 9",0975,72,41,113,170,66.47%,53,50,103
"Justice, 1st Court of Appeals District, Place 9",0976,159,131,290,684,42.40%,164,106,270
"Justice, 1st Court of Appeals District, Place 9",0977,104,83,187,535,34.95%,67,111,178
"Justice, 1st Court of Appeals District, Place 9",0978,201,102,303,506,59.88%,50,243,293
"Justice, 1st Court of Appeals District, Place 9",0979,5,e,11,26,42.31%,11,0,11
"Justice, 1st Court of Appeals District, Place 9",0980,595,356,951,1323,71.88%,681,214,895
"Justice, 1st Court of Appeals District, Place 9",0981,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0982,534,218,752,1021,73.65%,580,134,714
"Justice, 1st Court of Appeals District, Place 9",0983,41,28,69,165,41.82%,40,25,65
"Justice, 1st Court of Appeals District, Place 9",0984,43,49,92,198,46.46%,6,83,89
"Justice, 1st Court of Appeals District, Place 9",0985,172,67,239,336,71.13%,121,102,223
"Justice, 1st Court of Appeals District, Place 9",0986,129,86,215,404,53.22%,19,182,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0987,465,191,656,1138,57.64%,48,589,637
"Justice, 1st Court of Appeals District, Place 9",0988,44,21,65,111,58.56%,53,8,61
"Justice, 1st Court of Appeals District, Place 9",0989,18,8,26,36,72.22%,12,13,25
"Justice, 1st Court of Appeals District, Place 9",0990,37,15,52,154,33.77%,12,34,46
"Justice, 1st Court of Appeals District, Place 9",0991,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0992,310,202,512,1015,50.44%,283,208,491
"Justice, 1st Court of Appeals District, Place 9",0993,272,91,363,551,65.88%,284,55,339
"Justice, 1st Court of Appeals District, Place 9",0994,6,5,11,8,137.50%,2,8,10
"Justice, 1st Court of Appeals District, Place 9",0995,596,190,786,1269,61.94%,34,723,757
"Justice, 1st Court of Appeals District, Place 9",0996,297,125,422,699,60.37%,233,164,397
"Justice, 1st Court of Appeals District, Place 9",0997,429,328,757,1439,52.61%,126,609,735
"Justice, 1st Court of Appeals District, Place 9",0998,15,9,24,35,68.57%,15,8,23
"Justice, 1st Court of Appeals District, Place 9",0999,30,16,46,65,70.77%,36,7,43
"Justice, 1st Court of Appeals District, Place 9",1000,105,0,105,458,22.93%,16,82,98
"Justice, 1st Court of Appeals District, Place 9",1001,496,294,790,1566,50.45%,144,605,749
"Justice, 1st Court of Appeals District, Place 9",1002,464,314,778,1738,44.76%,84,664,748
"Justice, 1st Court of Appeals District, Place 9",1003,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1004,224,153,377,656,57.47%,193,141,334
"Justice, 1st Court of Appeals District, Place 9",1005,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1006,3,0,3,5,60.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 9",1007,555,295,850,1371,62.00%,202,624,826
"Justice, 1st Court of Appeals District, Place 9",1008,86,21,107,150,71.33%,81,20,101
"Justice, 1st Court of Appeals District, Place 9",1009,3,1,4,8,50.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 9",1010,125,74,199,317,62.78%,28,161,189
"Justice, 1st Court of Appeals District, Place 9",1011,12,3,15,29,51.72%,5,7,12
"Justice, 1st Court of Appeals District, Place 9",1012,395,318,713,1235,57.73%,190,495,685
"Justice, 1st Court of Appeals District, Place 9",1013,8,14,22,60,36.67%,15,7,22
"Justice, 1st Court of Appeals District, Place 9",1014,9,7,16,36,44.44%,4,12,16
"Justice, 1st Court of Appeals District, Place 9",1015,11,7,18,29,62.07%,4,13,17
"Justice, 1st Court of Appeals District, Place 9",1016,591,364,955,1626,58.73%,421,487,908
"Justice, 1st Court of Appeals District, Place 9",1017,127,50,177,232,76.29%,47,122,169
"Justice, 1st Court of Appeals District, Place 9",1018,209,92,301,468,64.32%,137,154,291
"Justice, 1st Court of Appeals District, Place 9",1019,426,4,430,1518,28.33%,15,400,415
"Justice, 1st Court of Appeals District, Place 9",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",1021,1,0,1,2,50.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",1022,190,30,220,426,51.64%,171,38,209
"Justice, 1st Court of Appeals District, Place 9",1023,894,401,1295,1964,65.94%,834,398,1232
"Justice, 1st Court of Appeals District, Place 9",1024,113,77,190,259,73.36%,98,75,173
"Justice, 1st Court of Appeals District, Place 9",1025,4,0,4,18,22.22%,1,3,4
"Justice, 1st Court of Appeals District, Place 9",1026,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1027,0,1,1,1,100.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1028,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 9",1029,1021,641,1662,1802,92.23%,1280,293,1573
"Justice, 1st Court of Appeals District, Place 9",1030,397,105,502,655,76.64%,435,52,487
"Justice, 1st Court of Appeals District, Place 9",1031,3,3,6,6,100.00%,5,1,6
"Justice, 1st Court of Appeals District, Place 9",1032,59,80,139,241,57.68%,97,33,130
"Justice, 1st Court of Appeals District, Place 9",1033,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1034,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1035,24,13,37,139,26.62%,3,33,36
"Justice, 1st Court of Appeals District, Place 9",1036,144,46,190,433,43.88%,145,35,180
"Justice, 1st Court of Appeals District, Place 9",1037,27,16,43,73,58.90%,22,16,38
"Justice, 1st Court of Appeals District, Place 9",1038,133,43,176,266,66.17%,10,162,172
"Justice, 1st Court of Appeals District, Place 9",1039,3,5,8,20,40.00%,1,7,8
"Justice, 1st Court of Appeals District, Place 9",1040,194,146,340,607,56.01%,180,142,322
"Justice, 1st Court of Appeals District, Place 9",1041,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1042,227,50,277,498,55.62%,79,192,271
"Justice, 1st Court of Appeals District, Place 9",1043,12,2,14,31,45.16%,3,11,14
"Justice, 1st Court of Appeals District, Place 9",1044,29,5,34,59,57.63%,9,24,33
"Justice, 1st Court of Appeals District, Place 9",1045,612,321,933,1439,64.84%,120,789,909
"Justice, 1st Court of Appeals District, Place 9",1046,19,18,37,54,68.52%,5,31,36
"Justice, 1st Court of Appeals District, Place 9",1047,553,288,851,1242,68.52%,253,563,816
"Justice, 1st Court of Appeals District, Place 9",1048,3,1,4,18,22.22%,2,2,4
"Justice, 1st Court of Appeals District, Place 9",1049,57,71,128,266,48.12%,39,83,122
"Justice, 1st Court of Appeals District, Place 9",1050,148,153,301,506,59.49%,67,221,288
"Justice, 1st Court of Appeals District, Place 9",1,051,0,1,2,1,2,0,0.00%,9,2,1,1
"Justice, 1st Court of Appeals District, Place 9",1052,0,2,2,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 9",1053,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",1055,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",1056,4,0,4,6,66.67%,0,4,4
"Justice, 1st Court of Appeals District, Place 9",1057,34,7,41,115,35.65%,1,36,37
"Justice, 1st Court of Appeals District, Place 9",1058,540,246,786,1190,66.05%,125,634,759
"Justice, 1st Court of Appeals District, Place 9",1059,7,3,10,23,43.48%,1,9,10
"Justice, 1st Court of Appeals District, Place 9",1060,13,4,17,49,34.69%,9,8,17
"Justice, 1st Court of Appeals District, Place 9",1061,665,300,965,1613,59.83%,516,410,926
"Justice, 1st Court of Appeals District, Place 9",1062,59,25,85,168,50.60%,21,60,81
"Justice, 1st Court of Appeals District, Place 9",1063,226,63,289,792,36.49%,30,250,280
"Justice, 1st Court of Appeals District, Place 9",1064,45,1,46,120,38.33%,34,10,44
"Justice, 1st Court of Appeals District, Place 9",Totals:,774863,427100,1201963,1942566,,570529,567466,1137995
