Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0423,190,309,499,894,55.82%,203,267,470
"Member, State Board of Education, District 4",0429,1093,777,1870,3929,47.59%,347,1383,1730
"Member, State Board of Education, District 4",0448,1239,869,2108,3081,68.42%,1223,732,1955
"Member, State Board of Education, District 4",0449,62,37,99,164,60.37%,12,81,93
"Member, State Board of Education, District 4",0450,856,537,1393,2622,53.13%,346,988,1334
"Member, State Board of Education, District 4",0453,559,475,1034,1885,54.85%,343,631,974
"Member, State Board of Education, District 4",0454,1226,311,1537,2571,59.78%,13,1482,1495
"Member, State Board of Education, District 4",0455,748,216,964,1679,57.42%,29,895,924
"Member, State Board of Education, District 4",0457,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0458,908,271,1179,1893,62.28%,54,1081,1135
"Member, State Board of Education, District 4",0460,1250,402,1652,2346,70.42%,439,1159,1598
"Member, State Board of Education, District 4",0462,1319,865,2184,3367,64.86%,753,1298,2051
"Member, State Board of Education, District 4",0467,478,229,707,1230,57.48%,170,506,676
"Member, State Board of Education, District 4",0468,985,793,1778,3354,53.01%,513,1159,1672
"Member, State Board of Education, District 4",0475,485,473,958,1651,58.03%,413,490,903
"Member, State Board of Education, District 4",0489,784,378,1162,1823,63.74%,328,758,1086
"Member, State Board of Education, District 4",0490,877,439,1316,1944,67.70%,474,782,1256
"Member, State Board of Education, District 4",0494,760,431,1191,2176,54.73%,150,1004,1154
"Member, State Board of Education, District 4",0497,1124,303,1427,2226,64.11%,54,1324,1378
"Member, State Board of Education, District 4",0505,1209,829,2038,3654,55.77%,885,1023,1908
"Member, State Board of Education, District 4",0506,1470,801,2271,3380,67.19%,376,1820,2196
"Member, State Board of Education, District 4",0511,0,6,6,0,0.00%,1,5,6
"Member, State Board of Education, District 4",0520,1542,857,2399,4064,59.03%,378,1930,2308
