Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0426,415,283,698,1224,57.03%,355,271,19,5,650
"Member, State Board of Education, District 6",0427,325,249,574,1115,51.48%,189,332,17,3,541
"Member, State Board of Education, District 6",0428,1284,907,2191,4316,50.76%,610,1401,26,22,2059
"Member, State Board of Education, District 6",0430,403,335,738,1654,44.62%,134,523,20,8,685
"Member, State Board of Education, District 6",0431,819,403,1222,3188,38.33%,281,824,33,13,1151
"Member, State Board of Education, District 6",0432,311,271,582,1344,43.30%,143,382,23,9,557
"Member, State Board of Education, District 6",0433,139,106,245,573,42.76%,40,186,6,4,236
"Member, State Board of Education, District 6",0434,628,371,999,1386,72.08%,567,326,40,6,939
"Member, State Board of Education, District 6",0435,1534,758,2302,3097,74.33%,1385,684,66,25,2160
"Member, State Board of Education, District 6",0436,1334,709,2043,3012,67.83%,1125,726,53,17,1921
"Member, State Board of Education, District 6",0437,951,542,1493,2007,74.39%,952,406,46,13,1417
"Member, State Board of Education, District 6",0438,1046,387,1433,1802,79.52%,990,314,21,8,1333
"Member, State Board of Education, District 6",0439,1526,905,2431,3416,71.17%,1580,624,59,21,2284
"Member, State Board of Education, District 6",0440,1326,876,2202,2867,76.81%,1611,406,38,9,2064
"Member, State Board of Education, District 6",0441,598,513,1211,1616,74.94%,817,285,32,7,1141
"Member, State Board of Education, District 6",0442,1366,513,1879,2504,75.04%,1446,291,43,23,1803
"Member, State Board of Education, District 6",0443,335,148,483,605,79.83%,314,111,25,3,453
"Member, State Board of Education, District 6",0444,1258,731,1989,3172,62.70%,1096,693,61,23,1873
"Member, State Board of Education, District 6",0445,860,443,1303,1938,67.23%,748,442,31,9,1230
"Member, State Board of Education, District 6",0446,70,52,122,268,45.52%,42,70,2,1,115
"Member, State Board of Education, District 6",0447,271,108,379,583,65.01%,109,229,13,4,355
"Member, State Board of Education, District 6",0451,1575,515,2090,2674,78.16%,1605,338,42,11,1996
"Member, State Board of Education, District 6",0452,1109,639,1748,2810,62.21%,1233,401,49,13,1696
"Member, State Board of Education, District 6",0461,1958,828,2786,3733,74.63%,1679,816,70,18,2583
"Member, State Board of Education, District 6",0463,1124,656,1780,2962,60.09%,644,998,57,14,1713
"Member, State Board of Education, District 6",0464,786,612,1398,2126,65.76%,890,389,45,18,1342
"Member, State Board of Education, District 6",0465,1465,702,2167,3343,64.82%,1057,977,56,27,2117
"Member, State Board of Education, District 6",0466,2052,729,2781,4072,68.30%,1455,1163,52,18,2688
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0472,370,337,707,1027,88.84%,279,337,17,11,844
"Member, State Board of Education, District 6",0477,1441,742,2183,3195,88.33%,1531,497,85,12,2105
"Member, State Board of Education, District 6",0478,1959,898,2857,4150,88.84%,1741,881,91,21,2734
"Member, State Board of Education, District 6",0479,1298,588,1888,2848,71.22%,1273,483,84,18,1818
"Member, State Board of Education, District 6",0480,938,555,1491,2287,85.77%,983,398,38,17,1414
"Member, State Board of Education, District 6",0481,1483,852,2315,3298,70.19%,1598,525,89,28,2218
"Member, State Board of Education, District 6",0482,1983,838,2799,4129,87.79%,1812,799,70,25,2708
"Member, State Board of Education, District 6",0483,1888,759,2827,4141,83.44%,1282,1118,89,29,2518
"Member, State Board of Education, District 6",0484,2238,1008,3244,4594,70.81%,2148,851,98,25,3120
"Member, State Board of Education, District 6",0485,2421,990,3411,4838,70.50%,2379,798,104,27,3308
"Member, State Board of Education, District 6",0488,1843,805,2848,3572,74.13%,1928,525,85,17,2553
"Member, State Board of Education, District 6",0487,1005,812,1817,3318,48.73%,437,1014,31,9,1491
