Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0885,1222,541,1763,2466,71.49%,1018,662,1680
"Justice, 14th Court of Appeals District, Place 3",0886,301,154,455,713,63.81%,233,176,409
"Justice, 14th Court of Appeals District, Place 3",0887,138,83,221,313,70.61%,123,74,197
"Justice, 14th Court of Appeals District, Place 3",0888,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0889,22,0,22,61,36.07%,13,8,21
"Justice, 14th Court of Appeals District, Place 3",0890,321,118,439,994,44.16%,162,251,413
"Justice, 14th Court of Appeals District, Place 3",0891,539,392,931,1413,65.89%,354,514,868
"Justice, 14th Court of Appeals District, Place 3",0892,194,130,324,696,46.55%,89,210,299
"Justice, 14th Court of Appeals District, Place 3",0893,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0894,0,31,31,0,0.00%,8,20,28
"Justice, 14th Court of Appeals District, Place 3",0895,335,325,660,784,84.18%,288,312,600
"Justice, 14th Court of Appeals District, Place 3",0896,670,303,973,1437,67.71%,373,518,891
"Justice, 14th Court of Appeals District, Place 3",0897,742,375,1117,1624,68.78%,600,470,1070
"Justice, 14th Court of Appeals District, Place 3",0898,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0899,4,0,4,8,50.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 3",0900,5,0,5,12,41.67%,1,3,4
"Justice, 14th Court of Appeals District, Place 3",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0902,865,621,1486,2065,71.96%,819,547,1366
"Justice, 14th Court of Appeals District, Place 3",0903,10,1,11,41,26.83%,5,5,10
"Justice, 14th Court of Appeals District, Place 3",0904,0,1,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0905,290,168,458,908,50.44%,164,254,418
"Justice, 14th Court of Appeals District, Place 3",0906,12,6,18,26,69.23%,9,8,17
"Justice, 14th Court of Appeals District, Place 3",0907,60,43,103,134,76.87%,21,80,101
"Justice, 14th Court of Appeals District, Place 3",0908,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0909,5,7,12,19,63.16%,6,5,11
"Justice, 14th Court of Appeals District, Place 3",0910,55,34,89,226,39.38%,34,50,84
"Justice, 14th Court of Appeals District, Place 3",0911,227,79,306,570,53.68%,188,100,288
"Justice, 14th Court of Appeals District, Place 3",0912,675,221,896,1235,72.55%,529,306,835
"Justice, 14th Court of Appeals District, Place 3",0913,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0914,169,67,236,221,106.79%,181,40,221
"Justice, 14th Court of Appeals District, Place 3",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0916,604,182,786,1045,75.22%,631,120,751
"Justice, 14th Court of Appeals District, Place 3",0917,280,137,417,481,86.69%,287,98,385
"Justice, 14th Court of Appeals District, Place 3",0918,489,135,624,883,70.67%,462,121,583
"Justice, 14th Court of Appeals District, Place 3",0919,0,3,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 3",0920,6,0,6,13,46.15%,6,0,6
"Justice, 14th Court of Appeals District, Place 3",0921,71,9,80,87,91.95%,61,19,80
"Justice, 14th Court of Appeals District, Place 3",0922,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 3",0923,664,87,751,826,90.92%,565,158,723
"Justice, 14th Court of Appeals District, Place 3",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0926,351,1,20,481,621,77.46%,352,104,456
"Justice, 14th Court of Appeals District, Place 3",0927,84,74,158,262,60.31%,79,72,151
"Justice, 14th Court of Appeals District, Place 3",0928,4,2,6,9,66.67%,0,6,6
"Justice, 14th Court of Appeals District, Place 3",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0930,200,77,277,567,48.85%,4,266,270
"Justice, 14th Court of Appeals District, Place 3",0931,48,53,101,122,82.79%,48,37,85
"Justice, 14th Court of Appeals District, Place 3",0932,0,5,5,0,0.00%,1,4,5
"Justice, 14th Court of Appeals District, Place 3",0933,235,121,356,566,62.90%,91,250,341
"Justice, 14th Court of Appeals District, Place 3",0934,12,1,13,41,31.71%,5,8,13
"Justice, 14th Court of Appeals District, Place 3",0935,8,17,25,65,38.46%,10,14,24
"Justice, 14th Court of Appeals District, Place 3",0936,12,10,22,70,31.43%,6,13,19
"Justice, 14th Court of Appeals District, Place 3",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0938,73,14,87,256,33.98%,26,57,83
"Justice, 14th Court of Appeals District, Place 3",0939,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0940,1,0,1,13,7.69%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0941,13,9,22,25,88.00%,19,3,22
"Justice, 14th Court of Appeals District, Place 3",0942,68,24,92,159,57.86%,74,12,86
"Justice, 14th Court of Appeals District, Place 3",0943,297,63,360,536,67.16%,250,79,329
"Justice, 14th Court of Appeals District, Place 3",0944,30,6,36,39,92.31%,29,4,33
"Justice, 14th Court of Appeals District, Place 3",0945,4,7,11,16,68.75%,1,8,9
"Justice, 14th Court of Appeals District, Place 3",0946,3,3,6,14,42.86%,0,4,4
"Justice, 14th Court of Appeals District, Place 3",0947,320,292,612,822,74.45%,303,241,544
"Justice, 14th Court of Appeals District, Place 3",0948,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0949,59,37,96,201,47.76%,40,50,90
"Justice, 14th Court of Appeals District, Place 3",0950,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0951,79,44,123,218,56.42%,24,93,117
"Justice, 14th Court of Appeals District, Place 3",0952,24,16,40,70,57.14%,20,16,36
"Justice, 14th Court of Appeals District, Place 3",0953,59,52,111,420,26.43%,6,104,110
"Justice, 14th Court of Appeals District, Place 3",0954,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0955,5,20,25,18,138.89%,14,10,24
"Justice, 14th Court of Appeals District, Place 3",0956,5,2,7,12,58.33%,4,3,7
"Justice, 14th Court of Appeals District, Place 3",0957,261,115,376,551,68.24%,57,305,362
"Justice, 14th Court of Appeals District, Place 3",0958,289,266,555,989,56.12%,114,411,525
"Justice, 14th Court of Appeals District, Place 3",0959,0,4,4,0,0.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 3",0960,363,143,506,586,86.35%,130,360,490
"Justice, 14th Court of Appeals District, Place 3",0961,23,11,34,53,64.15%,7,27,34
"Justice, 14th Court of Appeals District, Place 3",0962,24,13,37,73,50.68%,8,25,33
"Justice, 14th Court of Appeals District, Place 3",0963,130,69,199,353,56.37%,105,79,184
"Justice, 14th Court of Appeals District, Place 3",0964,947,447,1394,1571,88.73%,826,518,1344
"Justice, 14th Court of Appeals District, Place 3",0965,93,27,120,355,33.80%,74,39,113
"Justice, 14th Court of Appeals District, Place 3",0966,305,160,465,1073,43.34%,131,309,440
"Justice, 14th Court of Appeals District, Place 3",0967,48,15,63,98,64.29%,27,35,62
"Justice, 14th Court of Appeals District, Place 3",0968,243,83,326,517,63.06%,61,256,317
"Justice, 14th Court of Appeals District, Place 3",0969,335,82,417,584,71.40%,2,402,404
"Justice, 14th Court of Appeals District, Place 3",0970,212,76,288,704,40.91%,25,243,268
"Justice, 14th Court of Appeals District, Place 3",0971,27,21,48,129,37.21%,1,46,47
"Justice, 14th Court of Appeals District, Place 3",0972,10,7,17,29,58.62%,11,5,16
"Justice, 14th Court of Appeals District, Place 3",0973,49,24,73,107,68.22%,39,31,70
"Justice, 14th Court of Appeals District, Place 3",0974,101,71,172,299,57.53%,108,56,164
"Justice, 14th Court of Appeals District, Place 3",0975,72,41,113,170,66.47%,50,53,103
"Justice, 14th Court of Appeals District, Place 3",0976,159,131,290,684,42.40%,161,110,271
"Justice, 14th Court of Appeals District, Place 3",0977,104,83,187,535,34.95%,65,112,177
"Justice, 14th Court of Appeals District, Place 3",0978,201,102,303,506,59.88%,49,244,293
"Justice, 14th Court of Appeals District, Place 3",0979,56,11,26,42.31%,11,0,11
"Justice, 14th Court of Appeals District, Place 3",0980,595,356,951,1323,71.88%,666,228,894
"Justice, 14th Court of Appeals District, Place 3",0981,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0982,534,218,752,1021,73.65%,578,137,715
"Justice, 14th Court of Appeals District, Place 3",0983,41,28,69,165,41.82%,39,26,65
"Justice, 14th Court of Appeals District, Place 3",0984,43,49,92,198,46.46%,6,83,89
"Justice, 14th Court of Appeals District, Place 3",0985,172,67,239,336,71.13%,115,110,225
"Justice, 14th Court of Appeals District, Place 3",0986,129,86,215,404,53.22%,19,181,200
"Justice, 14th Court of Appeals District, Place 3",0987,465,191,656,1138,57.64%,52,586,638
"Justice, 14th Court of Appeals District, Place 3",0988,44,21,65,111,58.56%,51,11,62
"Justice, 14th Court of Appeals District, Place 3",0989,18,8,26,36,72.22%,12,13,25
"Justice, 14th Court of Appeals District, Place 3",0990,37,15,52,154,33.77%,13,32,45
"Justice, 14th Court of Appeals District, Place 3",0991,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0992,310,202,512,1015,50.44%,279,213,492
"Justice, 14th Court of Appeals District, Place 3",0993,272,91,363,551,65.88%,281,57,338
"Justice, 14th Court of Appeals District, Place 3",0994,6,5,11,8,137.50%,2,8,10
"Justice, 14th Court of Appeals District, Place 3",0995,596,190,786,1269,61.94%,32,724,756
"Justice, 14th Court of Appeals District, Place 3",0996,297,125,422,699,60.37%,226,168,394
"Justice, 14th Court of Appeals District, Place 3",0997,429,328,757,1439,52.61%,116,620,736
"Justice, 14th Court of Appeals District, Place 3",0998,15,9,24,35,68.57%,16,7,23
"Justice, 14th Court of Appeals District, Place 3",0999,30,16,46,65,70.77%,35,8,43
"Justice, 14th Court of Appeals District, Place 3",1000,105,0,105,458,22.93%,18,80,98
"Justice, 14th Court of Appeals District, Place 3",1001,496,294,790,1566,50.45%,141,608,749
"Justice, 14th Court of Appeals District, Place 3",1002,464,314,778,1738,44.76%,83,665,748
"Justice, 14th Court of Appeals District, Place 3",1003,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1,004,224,1,53,377,656,57.47%,184,149,333
"Justice, 14th Court of Appeals District, Place 3",1005,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1006,3,0,3,5,60.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 3",1007,555,295,850,1371,62.00%,199,622,821
"Justice, 14th Court of Appeals District, Place 3",1008,86,21,107,150,71.33%,77,24,101
"Justice, 14th Court of Appeals District, Place 3",1009,3,1,4,8,50.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 3",1010,125,74,199,317,62.78%,28,163,191
"Justice, 14th Court of Appeals District, Place 3",1011,12,3,15,29,51.72%,4,9,13
"Justice, 14th Court of Appeals District, Place 3",1012,395,318,713,1235,57.73%,189,498,687
"Justice, 14th Court of Appeals District, Place 3",1013,8,14,22,60,36.67%,15,7,22
"Justice, 14th Court of Appeals District, Place 3",1014,9,7,16,36,44.44%,3,13,16
"Justice, 14th Court of Appeals District, Place 3",1015,11,7,18,29,62.07%,4,13,17
"Justice, 14th Court of Appeals District, Place 3",1016,591,364,955,1626,58.73%,413,494,907
"Justice, 14th Court of Appeals District, Place 3",1017,127,50,177,232,76.29%,45,124,169
"Justice, 14th Court of Appeals District, Place 3",1018,209,92,301,468,64.32%,136,154,290
"Justice, 14th Court of Appeals District, Place 3",1019,426,4,430,1518,28.33%,16,396,412
"Justice, 14th Court of Appeals District, Place 3",1020,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1021,1,0,1,2,50.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",1022,190,30,220,426,51.64%,170,40,210
"Justice, 14th Court of Appeals District, Place 3",1023,894,401,1295,1964,65.94%,824,407,1231
"Justice, 14th Court of Appeals District, Place 3",1024,113,77,190,259,73.36%,100,74,174
"Justice, 14th Court of Appeals District, Place 3",1025,4,0,4,18,22.22%,1,3,4
"Justice, 14th Court of Appeals District, Place 3",1026,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1027,0,1,1,1,100.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1028,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 3",1029,1021,641,1662,1802,92.23%,1263,308,1571
"Justice, 14th Court of Appeals District, Place 3",1030,397,105,502,655,76.64%,426,59,485
"Justice, 14th Court of Appeals District, Place 3",1031,3,3,6,6,100.00%,5,1,6
"Justice, 14th Court of Appeals District, Place 3",1032,59,80,139,241,57.68%,98,32,130
"Justice, 14th Court of Appeals District, Place 3",1033,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1034,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1035,24,13,37,139,26.62%,3,33,36
"Justice, 14th Court of Appeals District, Place 3",1036,144,46,190,433,43.88%,144,36,180
"Justice, 14th Court of Appeals District, Place 3",1037,27,16,43,73,58.90%,21,16,37
"Justice, 14th Court of Appeals District, Place 3",1038,133,43,176,266,66.17%,10,162,172
"Justice, 14th Court of Appeals District, Place 3",1039,3,5,8,20,40.00%,1,7,8
"Justice, 14th Court of Appeals District, Place 3",1040,194,146,340,607,56.01%,174,147,321
"Justice, 14th Court of Appeals District, Place 3",1041,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1042,227,50,277,498,55.62%,78,193,271
"Justice, 14th Court of Appeals District, Place 3",1043,12,2,14,31,45.16%,3,11,14
"Justice, 14th Court of Appeals District, Place 3",1044,29,5,34,59,57.63%,7,26,33
"Justice, 14th Court of Appeals District, Place 3",1045,612,321,933,1439,64.84%,118,791,909
"Justice, 14th Court of Appeals District, Place 3",1046,19,18,37,54,68.52%,4,32,36
"Justice, 14th Court of Appeals District, Place 3",1047,553,288,851,1242,68.52%,252,563,815
"Justice, 14th Court of Appeals District, Place 3",1048,3,1,4,18,22.22%,2,2,4
"Justice, 14th Court of Appeals District, Place 3",1049,57,71,128,266,48.12%,38,83,121
"Justice, 14th Court of Appeals District, Place 3",1050,148,153,301,506,59.49%,59,227,286
"Justice, 14th Court of Appeals District, Place 3",1,051,0,1,2,1,2,0,0.00%,9,3,1,2
"Justice, 14th Court of Appeals District, Place 3",1052,0,2,2,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 3",1053,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1054,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1055,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",1056,4,0,4,6,66.67%,0,4,4
"Justice, 14th Court of Appeals District, Place 3",1057,34,7,41,115,35.65%,2,35,37
"Justice, 14th Court of Appeals District, Place 3",1058,540,246,786,1190,66.05%,117,644,761
"Justice, 14th Court of Appeals District, Place 3",1059,7,3,10,23,43.48%,1,9,10
"Justice, 14th Court of Appeals District, Place 3",1060,13,4,17,49,34.69%,9,8,17
"Justice, 14th Court of Appeals District, Place 3",1061,665,300,965,1613,59.83%,503,422,925
"Justice, 14th Court of Appeals District, Place 3",1062,59,25,85,168,50.60%,20,61,81
"Justice, 14th Court of Appeals District, Place 3",1063,226,63,289,792,36.49%,31,249,280
"Justice, 14th Court of Appeals District, Place 3",1064,45,1,46,120,38.33%,33,11,44
"Justice, 14th Court of Appeals District, Place 3",Totals:,774863,427100,1201963,1942566,,557224,580356,1137580
