Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0216,784,320,1104,1917,57.59%,78,981,1059
"Judge, County Court at Law No. 2, Unexpired Term",0217,1396,651,2047,2637,77.63%,1368,492,1860
"Judge, County Court at Law No. 2, Unexpired Term",0218,690,608,1298,2274,57.08%,403,787,1190
"Judge, County Court at Law No. 2, Unexpired Term",0219,1117,587,1704,2654,64.20%,140,1469,1609
"Judge, County Court at Law No. 2, Unexpired Term",0220,711,353,1064,2360,45.08%,702,296,998
"Judge, County Court at Law No. 2, Unexpired Term",0221,699,611,1310,2489,52.63%,532,671,1203
"Judge, County Court at Law No. 2, Unexpired Term",0222,1000,792,1792,2384,75.17%,877,704,1581
"Judge, County Court at Law No. 2, Unexpired Term",0223,1350,760,2110,3528,59.81%,625,1299,1924
"Judge, County Court at Law No. 2, Unexpired Term",0224,894,649,1543,2259,68.30%,735,663,1398
"Judge, County Court at Law No. 2, Unexpired Term",0225,1109,720,1829,3155,57.97%,765,970,1735
"Judge, County Court at Law No. 2, Unexpired Term",0226,529,545,1074,2393,44.88%,235,749,984
"Judge, County Court at Law No. 2, Unexpired Term",0227,947,451,1398,1767,79.12%,1063,215,1278
"Judge, County Court at Law No. 2, Unexpired Term",0228,583,165,748,1073,69.71%,40,680,720
"Judge, County Court at Law No. 2, Unexpired Term",0229,152,207,359,811,44.27%,105,236,341
"Judge, County Court at Law No. 2, Unexpired Term",0230,421,153,574,1096,52.37%,10,537,547
"Judge, County Court at Law No. 2, Unexpired Term",0231,562,471,1033,2219,46.55%,262,719,981
"Judge, County Court at Law No. 2, Unexpired Term",0232,685,546,1231,1696,72.58%,728,388,1116
"Judge, County Court at Law No. 2, Unexpired Term",0233,1826,1063,2889,4132,69.92%,1487,1142,2629
"Judge, County Court at Law No. 2, Unexpired Term",0234,2088,885,2973,3854,77.14%,2275,476,2751
"Judge, County Court at Law No. 2, Unexpired Term",0235,466,242,708,1305,54.25%,26,663,689
"Judge, County Court at Law No. 2, Unexpired Term",0236,779,342,1121,2144,52.29%,28,1043,1071
"Judge, County Court at Law No. 2, Unexpired Term",0237,793,441,1234,2181,56.58%,22,1185,1207
"Judge, County Court at Law No. 2, Unexpired Term",0238,640,422,1062,1901,55.87%,21,1002,1023
"Judge, County Court at Law No. 2, Unexpired Term",0239,765,357,1122,1997,56.18%,29,1058,1087
"Judge, County Court at Law No. 2, Unexpired Term",0240,1157,402,1559,2688,58.00%,23,1486,1509
"Judge, County Court at Law No. 2, Unexpired Term",0241,494,479,973,2296,42.38%,382,540,922
"Judge, County Court at Law No. 2, Unexpired Term",0242,363,323,686,1570,43.69%,348,303,651
"Judge, County Court at Law No. 2, Unexpired Term",0243,254,50,304,452,67.26%,5,292,297
"Judge, County Court at Law No. 2, Unexpired Term",0244,1100,656,1756,2912,60.30%,909,769,1678
"Judge, County Court at Law No. 2, Unexpired Term",0245,2340,1115,3455,5240,65.94%,2278,1029,3307
"Judge, County Court at Law No. 2, Unexpired Term",0246,1584,624,2208,2999,73.62%,1469,631,2100
"Judge, County Court at Law No. 2, Unexpired Term",0247,421,403,824,1607,51.28%,13,787,800
"Judge, County Court at Law No. 2, Unexpired Term",0248,408,405,813,2122,38.31%,199,569,768
"Judge, County Court at Law No. 2, Unexpired Term",0249,1028,481,1509,2676,56.39%,965,466,1431
"Judge, County Court at Law No. 2, Unexpired Term",0250,306,247,553,951,58.15%,12,533,545
"Judge, County Court at Law No. 2, Unexpired Term",0251,809,529,1338,2072,64.58%,56,1229,1285
"Judge, County Court at Law No. 2, Unexpired Term",0252,1111,356,1467,2350,62.43%,21,1402,1423
"Judge, County Court at Law No. 2, Unexpired Term",0253,923,325,1248,2252,55.42%,16,1212,1228
"Judge, County Court at Law No. 2, Unexpired Term",0254,220,282,502,1476,34.01%,122,342,464
"Judge, County Court at Law No. 2, Unexpired Term",0255,995,797,1792,2411,74.33%,851,801,1652
"Judge, County Court at Law No. 2, Unexpired Term",0256,1059,766,1825,3226,56.57%,726,959,1685
"Judge, County Court at Law No. 2, Unexpired Term",0257,553,571,1124,2403,46.77%,262,810,1072
"Judge, County Court at Law No. 2, Unexpired Term",0258,1577,888,2465,3286,75.02%,1784,470,2254
"Judge, County Court at Law No. 2, Unexpired Term",0259,1210,460,1670,2408,69.35%,27,1606,1633
"Judge, County Court at Law No. 2, Unexpired Term",0260,420,290,710,1187,59.81%,378,297,675
"Judge, County Court at Law No. 2, Unexpired Term",0261,176,133,309,749,41.26%,93,198,291
"Judge, County Court at Law No. 2, Unexpired Term",0262,1470,906,2376,4232,56.14%,1357,842,2199
"Judge, County Court at Law No. 2, Unexpired Term",0263,1785,719,2504,3319,75.44%,1829,562,2391
"Judge, County Court at Law No. 2, Unexpired Term",0264,936,639,1575,2939,53.59%,840,616,1456
"Judge, County Court at Law No. 2, Unexpired Term",0265,1936,674,2610,3617,72.16%,1915,486,2401
"Judge, County Court at Law No. 2, Unexpired Term",0266,552,542,1094,2119,51.63%,482,547,1029
"Judge, County Court at Law No. 2, Unexpired Term",0267,294,305,599,1346,44.50%,261,291,552
"Judge, County Court at Law No. 2, Unexpired Term",0268,931,810,1741,2387,72.94%,1068,500,1568
"Judge, County Court at Law No. 2, Unexpired Term",0269,1143,444,1587,1981,80.11%,1246,221,1467
"Judge, County Court at Law No. 2, Unexpired Term",0270,1401,870,2271,3517,64.57%,1266,832,2098
"Judge, County Court at Law No. 2, Unexpired Term",0271,1303,371,1674,2469,67.80%,12,1615,1627
"Judge, County Court at Law No. 2, Unexpired Term",0272,610,484,1094,2112,51.80%,413,612,1025
"Judge, County Court at Law No. 2, Unexpired Term",0273,1139,634,1773,2426,73.08%,1441,220,1661
"Judge, County Court at Law No. 2, Unexpired Term",0274,1049,364,1413,2063,68.49%,937,378,1315
"Judge, County Court at Law No. 2, Unexpired Term",0275,567,410,977,1730,56.47%,170,766,936
"Judge, County Court at Law No. 2, Unexpired Term",0276,1139,404,1543,2532,60.94%,17,1484,1501
"Judge, County Court at Law No. 2, Unexpired Term",0277,342,305,647,1473,43.92%,268,351,619
"Judge, County Court at Law No. 2, Unexpired Term",0278,756,607,1363,2405,56.67%,692,594,1286
