Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0162,232,262,494,1249,39.55%,133,313,446
"County School Trustee, Position 3, At Large",0163,778,635,1413,3054,46.27%,379,872,1251
"County School Trustee, Position 3, At Large",0164,505,304,809,1434,56.42%,11,775,786
"County School Trustee, Position 3, At Large",0165,918,557,1475,2284,64.58%,899,492,1391
"County School Trustee, Position 3, At Large",0166,281,311,592,1016,58.27%,183,370,553
"County School Trustee, Position 3, At Large",0167,5,2,7,23,30.43%,0,7,7
"County School Trustee, Position 3, At Large",0168,188,126,314,519,60.50%,6,294,300
"County School Trustee, Position 3, At Large",0169,1059,433,1492,2531,58.95%,21,1439,1460
"County School Trustee, Position 3, At Large",0170,481,353,834,1887,44.20%,391,386,777
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0171,514,294,808,1813,50.09%,31,749,780
"County School Trustee, Position 3, At Large",0172,181,147,308,800,51.33%,90,188,278
"County School Trustee, Position 3, At Large",0173,1798,819,2417,3105,77.84%,1803,497,2300
"County School Trustee, Position 3, At Large",0174,1554,787,2321,3159,73.47%,1487,882,2189
"County School Trustee, Position 3, At Large",0175,1084,887,1931,2508,77.08%,890,874,1784
"County School Trustee, Position 3, At Large",0178,828,530,1158,1581,73.12%,544,498,1042
"County School Trustee, Position 3, At Large",0177,872,385,1057,1478,71.52%,807,379,988
"County School Trustee, Position 3, At Large",0178,913,388,1281,1718,74.58%,804,374,1178
"County School Trustee, Position 3, At Large",0179,449,321,770,1508,51.08%,331,384,715
"County School Trustee, Position 3, At Large",0180,966,552,1518,2795,54.31%,30,1420,1450
"County School Trustee, Position 3, At Large",0181,418,514,930,1988,47.28%,249,820,889
"County School Trustee, Position 3, At Large",0182,1321,1081,2402,3289,73.03%,1331,841,2172
"County School Trustee, Position 3, At Large",0183,970,943,1913,2451,78.05%,1182,557,1739
"County School Trustee, Position 3, At Large",0184,214,258,470,989,48.50%,125,312,437
"County School Trustee, Position 3, At Large",0185,592,494,1088,1910,58.88%,329,884,1013
"County School Trustee, Position 3, At Large",0188,204,170,374,795,47.04%,42,308,350
"County School Trustee, Position 3, At Large",0187,48,85,113,309,38.57%,27,82,109
"County School Trustee, Position 3, At Large",0188,307,378,885,1818,42.39%,228,421,849
"County School Trustee, Position 3, At Large",0189,492,473,985,1453,88.41%,489,390,879
"County School Trustee, Position 3, At Large",0190,275,401,878,1720,39.30%,215,419,834
"County School Trustee, Position 3, At Large",0191,195,313,509,1391,38.59%,188,318,484
"County School Trustee, Position 3, At Large",0192,748,332,1078,2045,52.71%,37,1008,1043
"County School Trustee, Position 3, At Large",0193,341,289,810,1050,58.10%,12,578,590
"County School Trustee, Position 3, At Large",0194,704,504,1208,1735,89.83%,328,807,1133
"County School Trustee, Position 3, At Large",0195,539,419,958,1721,55.87%,28,894,922
"County School Trustee, Position 3, At Large",0198,121,55,178,323,54.49%,7,183,170
"County School Trustee, Position 3, At Large",0197,1109,497,1808,2895,55.47%,33,1527,1580
"County School Trustee, Position 3, At Large",0198,143,158,301,857,45.81%,4,287,291
"County School Trustee, Position 3, At Large",0199,1407,773,2180,3159,89.01%,1570,508,2078
"County School Trustee, Position 3, At Large",0200,1838,585,2223,3222,88.99%,980,1071,2031
"County School Trustee, Position 3, At Large",0201,229,125,354,728,48.83%,11,334,345
"County School Trustee, Position 3, At Large",0202,488,332,820,1479,55.44%,14,772,788
"County School Trustee, Position 3, At Large",0203,288,158,422,900,48.89%,79,319,398
"County School Trustee, Position 3, At Large",0204,1489,914,2403,3482,89.41%,1302,912,2214
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0205,856,201,1057,1667,63.41%,21,1008,1029
"County School Trustee, Position 3, At Large",0206,651,659,1310,2662,49.21%,380,838,1218
"County School Trustee, Position 3, At Large",0207,409,310,719,1144,62.85%,229,424,653
"County School Trustee, Position 3, At Large",0208,806,364,1170,2201,53.16%,283,813,1096
"County School Trustee, Position 3, At Large",0209,0,4,4,0,0.00%,4,0,4
