Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0281,1087,903,1990,2610,76.25%,995,748,1743
"District Judge, 129th Judicial District",0282,690,591,1281,1988,64.44%,745,469,1214
"District Judge, 129th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0284,1135,595,1730,3262,53.03%,630,1013,1643
"District Judge, 129th Judicial District",0285,988,509,1497,2505,59.76%,96,1347,1443
"District Judge, 129th Judicial District",0286,2657,1053,3710,5719,64.87%,288,3267,3555
"District Judge, 129th Judicial District",0287,647,542,1189,1616,73.58%,625,478,1103
"District Judge, 129th Judicial District",0288,1036,380,1416,2259,62.68%,22,1347,1369
"District Judge, 129th Judicial District",0289,374,397,771,1510,51.06%,283,431,714
"District Judge, 129th Judicial District",0290,577,429,1006,1567,64.20%,756,214,970
"District Judge, 129th Judicial District",0291,541,298,839,1203,69.74%,397,385,782
"District Judge, 129th Judicial District",0292,477,236,713,1272,56.05%,79,611,690
"District Judge, 129th Judicial District",0293,620,557,1177,1733,67.92%,532,558,1090
"District Judge, 129th Judicial District",0294,989,298,1287,2107,61.08%,11,1230,1241
"District Judge, 129th Judicial District",0295,314,189,503,862,58.35%,7,481,488
"District Judge, 129th Judicial District",0296,602,432,1034,1693,61.08%,581,360,941
"District Judge, 129th Judicial District",0297,576,445,1021,1978,51.62%,376,571,947
"District Judge, 129th Judicial District",0298,847,475,1322,2083,63.47%,719,513,1232
"District Judge, 129th Judicial District",0299,328,213,541,1231,43.95%,170,335,505
"District Judge, 129th Judicial District",0300,3013,922,3935,5040,78.08%,2964,735,3699
"District Judge, 129th Judicial District",0301,450,655,1105,2397,46.10%,392,655,1047
"District Judge, 129th Judicial District",0302,713,635,1348,2724,49.49%,696,566,1262
"District Judge, 129th Judicial District",0303,1772,755,2527,3172,79.67%,2000,369,2369
"District Judge, 129th Judicial District",0304,970,648,1618,2266,71.40%,901,564,1465
"District Judge, 129th Judicial District",0305,1319,858,2177,3621,60.12%,778,1301,2079
"District Judge, 129th Judicial District",0306,1013,323,1336,1847,72.33%,975,270,1245
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0307,1242,876,2118,2931,72.26%,1458,530,1988
"District Judge, 129th Judicial District",0308,444,238,682,1266,53.87%,176,470,646
"District Judge, 129th Judicial District",0309,1385,612,1997,2529,78.96%,1610,271,1881
"District Judge, 129th Judicial District",0310,517,348,965,1437,67.15%,636,261,897
"District Judge, 129th Judicial District",0311,862,699,1561,2997,52.09%,664,732,1396
"District Judge, 129th Judicial District",0312,1600,718,2318,3669,63.18%,1270,901,2171
"District Judge, 129th Judicial District",0313,22,1,23,60,38.33%,11,9,20
"District Judge, 129th Judicial District",0314,2494,1221,3715,5225,71.10%,2210,1345,3555
"District Judge, 129th Judicial District",0315,711,479,1190,1618,73.55%,701,398,1099
"District Judge, 129th Judicial District",0316,682,411,1093,1522,71.81%,595,400,995
