Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0232,666,546,1232,1696,72.64%,670,444,23,6,1143
"Justice, Supreme Court, Place 6",0233,1635,1063,2696,4132,70.14%,1391,1166,126,40,2723
"Justice, Supreme Court, Place 6",0234,2093,665,2976,3654,77.27%,2266,506,43,14,2629
"Justice, Supreme Court, Place 6",0235,466,242,706,1305,54.25%,16,654,2,12,666
"Justice, Supreme Court, Place 6",0236,779,342,1121,2144,52.29%,20,1046,5,1,1074
"Justice, Supreme Court, Place 6",0237,793,441,1234,2161,56.56%,16,1166,5,2,1209
"Justice, Supreme Court, Place 6",0236,641,422,1063,1901,55.92%,16,1007,7,4,1034
"Justice, Supreme Court, Place 6",0239,765,357,1122,1997,56.18%,28,1056,5,3,1092
"Justice, Supreme Court, Place 6",0240,1158,402,1560,2688,58.04%,12,1487,9,6,1514
"Justice, Supreme Court, Place 6",0241,494,479,973,2296,42.38%,350,549,11,17,927
"Justice, Supreme Court, Place 6",0242,363,323,686,1570,43.69%,334,303,12,8,657
"Justice, Supreme Court, Place 6",0243,254,50,304,452,67.26%,3,290,1,2,296
"Justice, Supreme Court, Place 6",0244,1102,656,1758,2912,60.37%,862,778,41,13,1694
"Justice, Supreme Court, Place 6",0245,2344,1115,3459,5240,66.01%,2181,1028,91,44,3344
"Justice, Supreme Court, Place 6",0246,1584,624,2208,2999,73.62%,1406,665,40,17,2128
"Justice, Supreme Court, Place 6",0247,422,403,825,1607,51.34%,12,774,9,8,803
"Justice, Supreme Court, Place 6",0248,408,405,813,2122,38.31%,169,568,23,9,769
"Justice, Supreme Court, Place 6",0249,1031,481,1512,2676,56.50%,945,461,31,13,1450
"Justice, Supreme Court, Place 6",0250,306,247,553,951,58.15%,11,525,1,3,540
"Justice, Supreme Court, Place 6",0251,809,529,1338,2072,64.58%,47,1232,6,1,1286
"Justice, Supreme Court, Place 6",0252,1111,356,1467,2350,62.43%,17,1391,11,5,1424
