Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0213,1603,939,2542,3308,76.84%,1824,542,2366
"District Judge, 80th Judicial District",0214,798,544,1342,1795,74.76%,772,446,1218
"District Judge, 80th Judicial District",0215,844,786,1630,2168,75.18%,919,585,1504
"District Judge, 80th Judicial District",0216,784,320,1104,1917,57.59%,73,985,1058
"District Judge, 80th Judicial District",0217,1396,651,2047,2637,77.63%,1194,686,1880
"District Judge, 80th Judicial District",0218,690,608,1298,2274,57.08%,358,831,1189
"District Judge, 80th Judicial District",0219,1117,587,1704,2654,64.20%,129,1476,1605
"District Judge, 80th Judicial District",0220,711,353,1064,2360,45.08%,712,295,1007
"District Judge, 80th Judicial District",0221,699,611,1310,2489,52.63%,518,684,1202
"District Judge, 80th Judicial District",0222,1000,792,1792,2384,75.17%,736,860,1596
"District Judge, 80th Judicial District",0223,1350,760,2110,3528,59.81%,576,1356,1932
"District Judge, 80th Judicial District",0224,894,649,1543,2259,68.30%,673,735,1408
"District Judge, 80th Judicial District",0225,1109,720,1829,3155,57.97%,762,978,1740
"District Judge, 80th Judicial District",0226,529,545,1074,2393,44.88%,209,771,980
"District Judge, 80th Judicial District",0227,947,451,1398,1767,79.12%,938,348,1286
"District Judge, 80th Judicial District",0228,583,165,748,1073,69.71%,29,697,726
"District Judge, 80th Judicial District",0229,152,207,359,811,44.27%,101,238,339
"District Judge, 80th Judicial District",0230,421,153,574,1096,52.37%,9,539,548
"District Judge, 80th Judicial District",0231,562,471,1033,2219,46.55%,244,726,970
"District Judge, 80th Judicial District",0232,685,546,1231,1696,72.58%,643,477,1120
"District Judge, 80th Judicial District",0233,1826,1063,2889,4132,69.92%,1411,1240,2651
"District Judge, 80th Judicial District",0234,2088,885,2973,3854,77.14%,2086,674,2760
"District Judge, 80th Judicial District",0235,466,242,708,1305,54.25%,22,666,688
"District Judge, 80th Judicial District",0236,779,342,1121,2144,52.29%,23,1050,1073
"District Judge, 80th Judicial District",0237,793,441,1234,2181,56.58%,18,1184,1202
"District Judge, 80th Judicial District",0238,640,422,1062,1901,55.87%,20,1000,1020
"District Judge, 80th Judicial District",0239,765,357,1122,1997,56.18%,23,1063,1086
"District Judge, 80th Judicial District",0240,1157,402,1559,2688,58.00%,19,1487,1506
"District Judge, 80th Judicial District",0241,494,479,973,2296,42.38%,366,549,915
"District Judge, 80th Judicial District",0242,363,323,686,1570,43.69%,354,299,653
"District Judge, 80th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 80th Judicial District",0244,1100,656,1756,2912,60.30%,892,779,1671
"District Judge, 80th Judicial District",0245,2340,1115,3455,5240,65.94%,2274,1041,3315
"District Judge, 80th Judicial District",0246,1,1584,624,2208,2999,73.62%,1446,650,2096
"District Judge, 80th Judicial District",0247,421,403,824,1607,51.28%,12,791,803
"District Judge, 80th Judicial District",0248,408,405,813,2122,38.31%,182,584,766
"District Judge, 80th Judicial District",0249,1028,481,1509,2676,56.39%,963,470,1433
"District Judge, 80th Judicial District",0250,306,247,553,951,58.1,5%,9,535,544
"District Judge, 80th Judicial District",0251,809,529,1338,2072,64.58%,52,1234,1286
"District Judge, 80th Judicial District",0252,1111,356,1467,2350,62.43%,25,1400,1425
"District Judge, 80th Judicial District",0253,923,325,1248,2252,55.42%,13,1212,1225
"District Judge, 80th Judicial District",0254,220,282,502,1476,34.01%,118,346,464
"District Judge, 80th Judicial District",0255,995,797,1792,2411,74.33%,768,893,1661
"District Judge, 80th Judicial District",0256,1059,766,1825,3226,56.57%,678,1004,1682
"District Judge, 80th Judicial District",0257,553,571,1124,2403,46.77%,255,810,1065
"District Judge, 80th Judicial District",0258,1577,888,2465,3286,75.02%,1694,563,2257
"District Judge, 80th Judicial District",0259,1,1210,460,1670,2408,69.35%,27,1603,1630
"District Judge, 80th Judicial District",0260,420,290,710,1187,59.81%,365,307,672
"District Judge, 80th Judicial District",0261,176,133,309,749,41.26%,96,195,291
"District Judge, 80th Judicial District",0262,1470,906,2376,4232,56.14%,1311,884,2195
"District Judge, 80th Judicial District",0263,1785,719,2504,3319,75.44%,1815,573,2388
"District Judge, 80th Judicial District",0264,936,639,1575,2939,53.59%,807,640,1447
"District Judge, 80th Judicial District",0265,1936,674,2610,3617,72.16%,1799,611,2410
"District Judge, 80th Judicial District",0266,552,542,1094,2119,51.63%,477,557,1034
"District Judge, 80th Judicial District",0267,294,305,599,1346,44.50%,266,289,555
"District Judge, 80th Judicial District",0268,931,810,1741,2387,72.94%,966,609,1575
"District Judge, 80th Judicial District",0269,1143,444,1587,1981,80.11%,1141,339,1480
"District Judge, 80th Judicial District",0270,1401,870,2271,3517,64.57%,1212,881,2093
"District Judge, 80th Judicial District",0271,1303,371,1674,2469,67.80%,12,1612,1624
"District Judge, 80th Judicial District",0272,610,484,1094,2112,51.80%,388,647,1035
"District Judge, 80th Judicial District",0273,1139,634,1773,2426,73.08%,1346,315,1661
"District Judge, 80th Judicial District",0274,1049,364,1413,2063,68.49%,875,455,1330
"District Judge, 80th Judicial District",0275,567,410,977,1730,56.47%,157,774,931
"District Judge, 80th Judicial District",0276,1139,404,1543,2532,60.94%,15,1495,1510
"District Judge, 80th Judicial District",0277,342,305,647,1473,43.92%,286,341,627
"District Judge, 80th Judicial District",0278,756,607,1363,2405,56.67%,698,594,1292
"District Judge, 80th Judicial District",0279,548,383,931,1899,49.03%,552,327,879
"District Judge, 80th Judicial District",0280,303,360,663,1515,43.76%,225,390,615
"District Judge, 80th Judicial District",0281,1087,903,1990,2610,76.25%,849,915,1764
"District Judge, 80th Judicial District",0282,690,591,1281,1988,64.44%,710,497,1207
"District Judge, 80th Judicial District",0283,0,0,0,0,0.00%,0,0,0
