Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0273,1139,634,1773,2426,73.08%,1292,382,25,1699
Sheriff,0274,1049,364,1413,2063,68.49%,825,488,33,1346
Sheriff,0275,567,410,977,1730,56.47%,133,799,13,945
Sheriff,0276,1139,404,1543,2532,60.94%,10,1490,15,1515
Sheriff,0277,342,305,647,1473,43.92%,236,374,15,625
Sheriff,0278,756,607,1363,2405,56.67%,607,687,18,1312
Sheriff,0279,548,383,931,1899,49.03%,515,361,21,897
Sheriff,0280,303,360,663,1515,43.76%,188,434,9,631
Sheriff,0281,1087,903,1990,2610,76.25%,818,960,45,1823
Sheriff,0282,690,591,1281,1988,64.44%,689,526,20,1235
Sheriff,0283,0,0,0,0,0.00%,0,0,0,0
Sheriff,0284,1135,595,1730,3262,53.03%,578,1062,32,1672
Sheriff,0285,988,509,1497,2505,59.76%,90,1359,12,1461
Sheriff,0286,2657,1053,3710,5719,64.87%,255,3296,39,3590
Sheriff,0287,547,542,1189,1616,73.58%,549,539,47,1135
Sheriff,0288,1036,380,1416,2259,62.68%,20,1341,14,1375
Sheriff,0289,374,397,771,1510,51.06%,262,464,11,737
Sheriff,0290,577,429,1006,1567,64.20%,717,246,18,981
Sheriff,0291,541,298,839,1203,69.74%,357,428,22,807
Sheriff,0292,477,236,713,1272,56.05%,74,610,10,694
Sheriff,0293,520,557,1177,1733,67.92%,464,624,39,1127
Sheriff,0294,989,298,1287,2107,61.08%,7,1238,9,1254
Sheriff,0295,314,189,503,862,58.35%,8,479,6,493
Sheriff,0296,602,432,1034,1693,61.08%,519,432,20,971
Sheriff,0297,576,445,1021,1978,51.62%,332,615,22,969
Sheriff,0298,847,475,1322,2083,63.47%,651,570,43,1264
Sheriff,0299,328,213,541,1231,43.95%,152,348,15,515
Sheriff,0300,3013,922,3935,5040,78.08%,2806,930,57,3793
Sheriff,0301,450,655,1105,2397,46.10%,348,699,16,1063
Sheriff,0302,713,635,1348,2724,49.49%,657,621,24,1302
Sheriff,0303,1772,755,2527,3172,79.67%,1774,601,21,2396
Sheriff,0304,970,648,1618,2266,71.40%,787,707,42,1536
Sheriff,0305,1319,858,2177,3621,60.12%,704,1374,40,2118
Sheriff,0306,1013,323,1336,1847,72.33%,881,387,14,1282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0307,1242,876,2118,2931,72.26%,1365,608,59,2032
Sheriff,0308,444,238,682,1266,53.87%,153,499,9,661
Sheriff,0309,1385,612,1997,2529,78.96%,1478,413,22,1913
Sheriff,0310,517,348,965,1437,67.15%,587,315,22,924
Sheriff,0311,862,699,1561,2997,52.09%,579,811,41,1431
Sheriff,0312,1600,718,2318,3669,63.18%,1167,1001,55,2223
Sheriff,0313,22,1,23,60,38.33%,11,9,0,20
Sheriff,0314,2494,1221,3715,5225,71.10%,2074,1494,46,3614
Sheriff,0315,711,479,1190,1618,73.55%,596,525,19,1140
Sheriff,0316,682,411,1093,1522,71.81%,511,492,32,1035
Sheriff,0317,551,336,887,1469,60.38%,232,607,18,857
Sheriff,0318,1708,611,2319,3531,65.68%,77,2154,22,2253
Sheriff,0319,965,290,1255,2081,60.31%,68,1135,16,1219
Sheriff,0320,464,300,764,1505,50.76%,287,444,10,741
Sheriff,0321,442,305,748,2029,36.87%,216,497,6,719
Sheriff,0322,397,237,634,1322,47.96%,140,464,17,621
Sheriff,0323,482,332,814,1719,47.35%,284,471,22,777
Sheriff,0324,967,718,1685,2339,72.04%,930,652,23,1605
Sheriff,0325,656,397,1053,2251,46.78%,196,814,11,1021
Sheriff,0326,202,128,330,678,48.67%,110,197,5,312
Sheriff,0327,725,244,970,1751,55.40%,15,916,11,942
Sheriff,0328,344,270,614,1361,45.11%,207,380,8,595
Sheriff,0329,405,307,712,1367,52.08%,183,495,11,689
Sheriff,0330,590,376,966,1849,52.24%,381,515,27,923
Sheriff,0331,0,1,1,0,0.00%,1,0,0,1
Sheriff,0332,23,4,27,128,21.09%,10,17,0,27
Sheriff,0333,1018,939,1957,2901,67.46%,1339,517,42,1898
Sheriff,0334,255,114,369,755,48.87%,69,284,5,358
Sheriff,0335,285,246,531,1227,43.28%,135,341,6,482
Sheriff,0336,1818,588,2406,3161,76.12%,196,2108,37,2341
Sheriff,0337,309,207,516,951,54.26%,73,419,12,504
Sheriff,0338,1540,824,2364,4673,50.59%,590,1630,21,2241
Sheriff,0339,369,373,742,1716,43.24%,109,589,13,711
Sheriff,0340,1778,833,2611,3717,70.24%,1796,631,83,2510
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0341,246,316,562,1248,45.03%,98,436,12,546
Sheriff,0342,2029,1113,3142,5718,54.95%,376,2651,41,3068
Sheriff,0343,436,483,919,1904,48.27%,165,686,16,867
Sheriff,0344,395,245,640,1207,53.02%,21,589,5,615
Sheriff,0345,428,357,785,1708,45.96%,153,578,20,751
Sheriff,0346,1,2,3,1,300.00%,3,0,0,3
Sheriff,0347,1250,614,1864,3299,56.50%,1064,712,31,1807
Sheriff,0348,751,280,1031,1740,59.25%,670,303,21,994
Sheriff,0349,405,407,812,1315,61.75%,443,308,23,774
