Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0526,167,171,338,731,46.24%,200,57,257
"Houston |.S.D., PROPOSITION",0527,0,2,2,0,0.00%,1,0,1
"Houston |.S.D., PROPOSITION",0528,36,12,48,92,52.17%,24,4,28
"Houston |.S.D., PROPOSITION",0530,259,235,494,1196,41.30%,292,85,377
"Houston |.S.D., PROPOSITION",0538,433,237,670,1282,52.26%,365,92,457
"Houston |.S.D., PROPOSITION",0539,26,209,235,71,330.99%,137,31,168
"Houston |.S.D., PROPOSITION",0540,666,380,1046,1491,70.15%,634,262,896
"Houston |.S.D., PROPOSITION",0541,1824,779,2603,4183,62.23%,1663,372,2035
"Houston |.S.D., PROPOSITION",0542,997,501,1498,2525,59.33%,905,215,1120
"Houston |.S.D., PROPOSITION",0543,287,378,665,1528,43.52%,393,164,557
"Houston |.S.D., PROPOSITION",0544,92,53,145,318,45.60%,75,29,104
"Houston |.S.D., PROPOSITION",0546,4,4,8,30,26.67%,5,2,7
"Houston |.S.D., PROPOSITION",0554,562,340,902,1731,52.11%,512,124,636
"Houston |.S.D., PROPOSITION",0555,597,447,1044,2119,49.27%,613,138,751
"Houston |.S.D., PROPOSITION",0560,172,289,461,1176,39.20%,240,92,332
"Houston |.S.D., PROPOSITION",0562,201,146,347,645,53.80%,176,56,232
"Houston |.S.D., PROPOSITION",0564,1150,713,1863,3096,60.17%,1176,374,1550
"Houston |.S.D., PROPOSITION",0565,0,1,1,0,0.00%,1,0,1
"Houston |.S.D., PROPOSITION",0566,365,146,511,885,57.74%,277,110,387
"Houston |.S.D., PROPOSITION",0567,672,394,1066,2198,48.50%,531,156,687
"Houston |.S.D., PROPOSITION",0569,1294,865,2159,3249,66.45%,1133,653,1786
"Houston |.S.D., PROPOSITION",0570,525,409,934,1473,63.41%,560,213,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0571,166,225,391,922,42.41%,216,64,280
"Houston |.S.D., PROPOSITION",0572,1283,574,1857,2998,61,94%,994,472,1466
"Houston |.S.D., PROPOSITION",0573,577,368,945,1618,58.41%,539,142,681
"Houston |.S.D., PROPOSITION",0574,98,79,177,391,45.27%,95,19,114
